rank,score
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,0.99642
9,0.97857
10,0.95714
11,0.94642
12,0.91428
13,0.88928
14,0.875
15,0.83214
16,0.79285
17,0.76785
18,0.75
19,0.74642
20,0.73928
21,0.73214
22,0.71071
23,0.58608
24,0.5
25,0.44964
26,0.42857
27,0.38928
28,0.34642
29,0.34285
30,0.33571
31,0.325
32,0.31785
33,0.31071
34,0.31071
35,0.30357
36,0.29642
37,0.29642
38,0.28928
39,0.27857
40,0.27857
41,0.275
42,0.26428
43,0.26428
44,0.26428
45,0.26428
46,0.25357
47,0.24642
48,0.24642
49,0.23928
50,0.23928
51,0.23571
52,0.23214
53,0.22857
54,0.22857
55,0.22857
56,0.22291
57,0.22207
58,0.21785
59,0.21785
60,0.21447
61,0.21428
62,0.21428
63,0.21428
64,0.21428
65,0.21428
66,0.21428
67,0.21428
68,0.21428
69,0.21428
70,0.21428
71,0.21428
72,0.21428
73,0.21428
74,0.21428
75,0.21428
76,0.21071
77,0.21071
78,0.20714
79,0.20568
80,0.20357
81,0.2
82,0.2
83,0.19642
84,0.19642
85,0.19285
86,0.18928
87,0.18928
88,0.17683
89,0.175
90,0.175
91,0.175
92,0.17142
93,0.17142
94,0.16785
95,0.16785
96,0.16428
97,0.16428
98,0.16428
99,0.16428
100,0.16428
101,0.16428
102,0.16428
103,0.16428
104,0.16428
105,0.16428
106,0.16428
107,0.16428
108,0.16428
109,0.16428
110,0.16428
111,0.16428
112,0.16428
113,0.16428
114,0.16428
115,0.16428
116,0.16428
117,0.16428
118,0.16428
119,0.16428
120,0.16428
121,0.16428
122,0.16428
123,0.16428
124,0.16428
125,0.16428
126,0.16428
127,0.16428
128,0.16428
129,0.16428
130,0.16428
131,0.16428
132,0.16428
133,0.16428
134,0.16428
135,0.16428
136,0.16428
137,0.16428
138,0.16428
139,0.16428
140,0.16428
141,0.16428
142,0.16428
143,0.16428
144,0.16428
145,0.16428
146,0.16428
147,0.16428
148,0.16428
149,0.16428
150,0.16071
151,0.15714
152,0.15714
153,0.15357
154,0.15
155,0.15
156,0.14642
157,0.14285
158,0.14285
159,0.14285
160,0.14285
161,0.14285
162,0.14285
163,0.14285
164,0.14285
165,0.14285
166,0.14285
167,0.14285
168,0.14285
169,0.14285
170,0.14285
171,0.14285
172,0.14285
173,0.14285
174,0.14285
175,0.14285
176,0.14285
