rank,score
1,0.8135
2,0.80895
3,0.80624
4,0.80526
5,0.80312
6,0.80306
7,0.7983
8,0.7966
9,0.79657
10,0.79479
11,0.79454
12,0.79139
13,0.79092
14,0.78561
15,0.78553
16,0.78523
17,0.78466
18,0.78422
19,0.78224
20,0.78198
21,0.78194
22,0.78174
23,0.78173
24,0.78137
25,0.781
26,0.78048
27,0.77962
28,0.77946
29,0.77814
30,0.7773
31,0.77698
32,0.77689
33,0.77688
34,0.77674
35,0.77595
36,0.77561
37,0.774
38,0.77291
39,0.77215
40,0.77095
41,0.77091
42,0.77045
43,0.76814
44,0.76587
45,0.7657
46,0.76544
47,0.76473
48,0.76317
49,0.76181
50,0.76177
51,0.75822
52,0.75427
53,0.7542
54,0.75408
55,0.75317
56,0.75181
57,0.75169
58,0.7516
59,0.75155
60,0.74827
61,0.74711
62,0.74705
63,0.74494
64,0.74464
65,0.74399
66,0.74021
67,0.74015
68,0.74014
69,0.73986
70,0.73899
71,0.73783
72,0.73636
73,0.73608
74,0.73594
75,0.7355
76,0.73443
77,0.73441
78,0.73264
79,0.73249
80,0.73162
81,0.73142
82,0.7307
83,0.72978
84,0.72975
85,0.72946
86,0.72884
87,0.72825
88,0.72721
89,0.72372
90,0.72141
91,0.72124
92,0.72118
93,0.72065
94,0.71923
95,0.71914
96,0.71618
97,0.71574
98,0.71435
99,0.7138
100,0.71345
101,0.71269
102,0.71266
103,0.71182
104,0.71155
105,0.71134
106,0.70962
107,0.70916
108,0.70856
109,0.70812
110,0.70488
111,0.7044
112,0.70308
113,0.70284
114,0.7015
115,0.70059
116,0.6986
117,0.69553
118,0.69457
119,0.69395
120,0.69394
121,0.69386
122,0.69342
123,0.69339
124,0.69188
125,0.69143
126,0.69087
127,0.68737
128,0.68678
129,0.68622
130,0.68617
131,0.68612
132,0.68524
133,0.68471
134,0.6837
135,0.68221
136,0.68062
137,0.68032
138,0.68012
139,0.67953
140,0.67855
141,0.67653
142,0.67646
143,0.67635
144,0.67534
145,0.67452
146,0.67414
147,0.6737
148,0.67321
149,0.67296
150,0.67249
151,0.67184
152,0.67118
153,0.67014
154,0.66965
155,0.66845
156,0.66783
157,0.66593
158,0.66565
159,0.66402
160,0.66286
161,0.65441
162,0.65379
163,0.65309
164,0.65245
165,0.65138
166,0.64475
167,0.6441
168,0.64074
169,0.63804
170,0.62409
171,0.62409
172,0.62026
173,0.62001
174,0.61506
175,0.61461
176,0.61327
177,0.61319
178,0.61229
179,0.61228
180,0.61206
181,0.61041
182,0.61025
183,0.60932
184,0.60932
185,0.60932
186,0.60685
187,0.60679
188,0.60618
189,0.60508
190,0.60382
191,0.59306
192,0.59281
193,0.58991
194,0.588
195,0.58725
196,0.58597
197,0.57484
198,0.57481
199,0.57461
200,0.57403
201,0.5732
202,0.57288
203,0.56884
204,0.56876
205,0.54812
206,0.54628
207,0.51995
208,0.49997
209,0.48363
210,0.47866
211,0.46883
212,0.46477
213,0.46145
214,0.4583
215,0.4476
216,0.44313
217,0.4395
218,0.43896
219,0.43563
220,0.4354
221,0.43503
222,0.4316
223,0.42525
224,0.42434
225,0.41965
226,0.41846
227,0.40952
228,0.40658
229,0.40211
230,0.39626
231,0.39158
232,0.3815
233,0.3802
234,0.38018
235,0.37838
236,0.36596
237,0.36522
238,0.36017
239,0.34396
240,0.33894
241,0.33557
242,0.33509
243,0.32819
244,0.32471
245,0.32405
246,0.31774
247,0.31472
248,0.30509
249,0.30339
250,0.29784
251,0.29774
252,0.29492
253,0.2933
254,0.28759
255,0.28479
256,0.28306
257,0.28171
258,0.28139
259,0.27871
260,0.27524
261,0.27484
262,0.27359
263,0.27151
264,0.27131
265,0.26901
266,0.2658
267,0.26294
268,0.26281
269,0.25936
270,0.25908
271,0.25864
272,0.25605
273,0.25174
274,0.25155
275,0.24911
276,0.24732
277,0.24421
278,0.2422
279,0.24055
280,0.2392
281,0.23873
282,0.23583
283,0.22923
284,0.22739
285,0.22719
286,0.22529
287,0.22492
288,0.22386
289,0.22158
290,0.21885
291,0.21484
292,0.21421
293,0.21411
294,0.20902
295,0.2072
296,0.20707
297,0.20648
298,0.20569
299,0.2024
300,0.20111
301,0.20011
302,0.19401
303,0.19333
304,0.18666
305,0.18499
306,0.18382
307,0.18074
308,0.17601
309,0.17192
310,0.16844
311,0.16616
312,0.162
313,0.15124
314,0.14586
315,0.14402
316,0.13806
317,0.12868
318,0.12823
319,0.12476
320,0.11389
321,0.10828
322,0.10358
323,0.09992
324,0.09946
325,0.09443
326,0.08298
327,0.08086
328,0.08086
329,0.08086
330,0.08086
331,0.08086
332,0.08086
333,0.08086
334,0.08086
335,0.08086
336,0.08086
337,0.07486
338,0.07486
339,0.07486
340,0.07486
341,0.07486
342,0.07486
343,0.07486
344,0.07486
345,0.07486
346,0.07486
347,0.07486
348,0.07486
349,0.07486
350,0.07486
351,0.07486
352,0.07486
353,0.07486
354,0.07486
355,0.07486
356,0.07486
357,0.07486
358,0.07486
359,0.07486
360,0.07486
361,0.03702
362,0.03485
363,0.03156
364,0.02516
365,0.01281
366,0.0
