rank,score
1,0.81381
2,0.80899
3,0.80625
4,0.80516
5,0.80333
6,0.80304
7,0.79836
8,0.79678
9,0.79666
10,0.79501
11,0.79473
12,0.79131
13,0.7911
14,0.78564
15,0.78562
16,0.78561
17,0.78489
18,0.78429
19,0.7827
20,0.78202
21,0.78193
22,0.78162
23,0.7816
24,0.78135
25,0.78118
26,0.78033
27,0.77961
28,0.77945
29,0.7784
30,0.7774
31,0.77712
32,0.77703
33,0.77668
34,0.77656
35,0.77625
36,0.77531
37,0.77407
38,0.77325
39,0.77224
40,0.77115
41,0.77099
42,0.77044
43,0.76769
44,0.76611
45,0.76533
46,0.76528
47,0.76464
48,0.76293
49,0.76167
50,0.76159
51,0.75829
52,0.75416
53,0.75392
54,0.75372
55,0.7525
56,0.7523
57,0.75166
58,0.75159
59,0.75104
60,0.74846
61,0.74725
62,0.74679
63,0.74466
64,0.74409
65,0.74389
66,0.73999
67,0.73995
68,0.73985
69,0.73981
70,0.73923
71,0.7379
72,0.73642
73,0.736
74,0.73577
75,0.73501
76,0.73425
77,0.73417
78,0.73301
79,0.73198
80,0.73176
81,0.73107
82,0.73038
83,0.73
84,0.72951
85,0.7293
86,0.72873
87,0.72804
88,0.72743
89,0.72329
90,0.72139
91,0.72103
92,0.72098
93,0.72004
94,0.71966
95,0.71907
96,0.71552
97,0.71542
98,0.71369
99,0.71316
100,0.71315
101,0.71307
102,0.7122
103,0.71142
104,0.71132
105,0.7113
106,0.70955
107,0.70954
108,0.70789
109,0.70746
110,0.70469
111,0.70465
112,0.70263
113,0.70224
114,0.7011
115,0.70011
116,0.69827
117,0.69534
118,0.69421
119,0.6935
120,0.69345
121,0.69344
122,0.69338
123,0.69263
124,0.69159
125,0.69095
126,0.69013
127,0.68726
128,0.68621
129,0.68591
130,0.68581
131,0.6858
132,0.68472
133,0.6846
134,0.68341
135,0.68141
136,0.68006
137,0.67979
138,0.67946
139,0.67907
140,0.67792
141,0.67689
142,0.67588
143,0.6757
144,0.6748
145,0.67395
146,0.67371
147,0.67323
148,0.67282
149,0.67277
150,0.67241
151,0.67125
152,0.67055
153,0.66977
154,0.66952
155,0.66776
156,0.66707
157,0.66586
158,0.66532
159,0.6637
160,0.6626
161,0.65417
162,0.6538
163,0.6528
164,0.65213
165,0.65134
166,0.64437
167,0.64365
168,0.64038
169,0.6379
170,0.62345
171,0.62345
172,0.61957
173,0.61939
174,0.61448
175,0.61431
176,0.613
177,0.61234
178,0.61192
179,0.6119
180,0.61135
181,0.60998
182,0.6096
183,0.60879
184,0.60877
185,0.60877
186,0.60644
187,0.60629
188,0.60556
189,0.60454
190,0.60324
191,0.59363
192,0.59289
193,0.58945
194,0.5875
195,0.58681
196,0.58647
197,0.57433
198,0.57428
199,0.57414
200,0.57319
201,0.57315
202,0.57286
203,0.56828
204,0.56819
205,0.54893
206,0.54567
207,0.51996
208,0.5006
209,0.48353
210,0.47866
211,0.46854
212,0.46528
213,0.46207
214,0.45913
215,0.44744
216,0.44322
217,0.44042
218,0.43915
219,0.43525
220,0.43515
221,0.43506
222,0.4316
223,0.42552
224,0.42443
225,0.41946
226,0.41862
227,0.40939
228,0.40619
229,0.40219
230,0.39589
231,0.39104
232,0.38239
233,0.38059
234,0.3804
235,0.37765
236,0.36551
237,0.36441
238,0.35977
239,0.34454
240,0.33852
241,0.33574
242,0.33519
243,0.32789
244,0.32502
245,0.3234
246,0.31778
247,0.31484
248,0.30439
249,0.30302
250,0.29846
251,0.29815
252,0.29476
253,0.29288
254,0.28704
255,0.28507
256,0.28272
257,0.28217
258,0.28132
259,0.27854
260,0.27528
261,0.27506
262,0.27378
263,0.27164
264,0.27092
265,0.26992
266,0.26545
267,0.26284
268,0.26268
269,0.25928
270,0.25915
271,0.25855
272,0.25557
273,0.25126
274,0.25071
275,0.24875
276,0.24748
277,0.24368
278,0.24278
279,0.24034
280,0.23941
281,0.23905
282,0.23557
283,0.22858
284,0.22691
285,0.22677
286,0.22537
287,0.22491
288,0.22367
289,0.2217
290,0.21933
291,0.21433
292,0.21347
293,0.21344
294,0.20813
295,0.20716
296,0.20662
297,0.20649
298,0.20647
299,0.20224
300,0.20115
301,0.19938
302,0.19304
303,0.19252
304,0.18684
305,0.18517
306,0.18382
307,0.17957
308,0.17601
309,0.1726
310,0.1675
311,0.16523
312,0.16167
313,0.15135
314,0.14618
315,0.14378
316,0.13824
317,0.1285
318,0.1275
319,0.12433
320,0.11325
321,0.10755
322,0.10358
323,0.09974
324,0.09954
325,0.0943
326,0.08322
327,0.08104
328,0.08104
329,0.08104
330,0.08104
331,0.08104
332,0.08104
333,0.08104
334,0.08104
335,0.08104
336,0.08104
337,0.07484
338,0.07484
339,0.07484
340,0.07484
341,0.07484
342,0.07484
343,0.07484
344,0.07484
345,0.07484
346,0.07484
347,0.07484
348,0.07484
349,0.07484
350,0.07484
351,0.07484
352,0.07484
353,0.07484
354,0.07484
355,0.07484
356,0.07484
357,0.07484
358,0.07484
359,0.07484
360,0.07484
361,0.03708
362,0.03473
363,0.03155
364,0.02518
365,0.01294
366,0.0
