rank,score
1,0.94254
2,0.94167
3,0.94113
4,0.94078
5,0.93992
6,0.93964
7,0.93939
8,0.93938
9,0.93926
10,0.93919
11,0.93889
12,0.93821
13,0.93801
14,0.93799
15,0.93791
16,0.93781
17,0.93724
18,0.93676
19,0.93664
20,0.93648
21,0.93609
22,0.93574
23,0.93572
24,0.93569
25,0.93539
26,0.93538
27,0.93535
28,0.93533
29,0.93504
30,0.93503
31,0.93498
32,0.9349
33,0.9349
34,0.93488
35,0.93466
36,0.93444
37,0.93426
38,0.93418
39,0.93409
40,0.93403
41,0.93398
42,0.93396
43,0.93373
44,0.93365
45,0.93363
46,0.93361
47,0.93354
48,0.93348
49,0.93324
50,0.93309
51,0.93293
52,0.93269
53,0.93264
54,0.93255
55,0.93236
56,0.93222
57,0.93201
58,0.93196
59,0.93195
60,0.93186
61,0.93184
62,0.93159
63,0.93147
64,0.93145
65,0.93137
66,0.93134
67,0.93123
68,0.9312
69,0.93109
70,0.93107
71,0.93098
72,0.93097
73,0.9309
74,0.93086
75,0.93075
76,0.93074
77,0.93068
78,0.93064
79,0.9306
80,0.93059
81,0.93058
82,0.93058
83,0.93055
84,0.93051
85,0.93042
86,0.93038
87,0.93032
88,0.93027
89,0.93026
90,0.9302
91,0.93014
92,0.92998
93,0.92996
94,0.92987
95,0.92987
96,0.92981
97,0.9298
98,0.92978
99,0.92976
100,0.92976
101,0.9297
102,0.92966
103,0.92947
104,0.92916
105,0.92908
106,0.92893
107,0.92883
108,0.92871
109,0.92867
110,0.92866
111,0.92865
112,0.92862
113,0.92857
114,0.92854
115,0.92846
116,0.92846
117,0.92842
118,0.92839
119,0.92834
120,0.92818
121,0.92815
122,0.92776
123,0.92774
124,0.92766
125,0.92763
126,0.92761
127,0.92753
128,0.9275
129,0.92749
130,0.92738
131,0.92731
132,0.92729
133,0.92717
134,0.92707
135,0.92697
136,0.92693
137,0.92676
138,0.92664
139,0.92662
140,0.92659
141,0.92647
142,0.92639
143,0.92631
144,0.92628
145,0.92627
146,0.92615
147,0.92607
148,0.92594
149,0.92578
150,0.92575
151,0.9257
152,0.92562
153,0.92548
154,0.92545
155,0.92529
156,0.92527
157,0.92525
158,0.92522
159,0.92513
160,0.92511
161,0.925
162,0.92494
163,0.92493
164,0.92481
165,0.92478
166,0.92475
167,0.92466
168,0.92463
169,0.92452
170,0.92448
171,0.92445
172,0.92442
173,0.92439
174,0.92436
175,0.92428
176,0.92426
177,0.92423
178,0.92407
179,0.92404
180,0.92401
181,0.92394
182,0.9239
183,0.92353
184,0.9235
185,0.92349
186,0.92344
187,0.9234
188,0.92338
189,0.92334
190,0.92325
191,0.92299
192,0.92299
193,0.92299
194,0.92292
195,0.92278
196,0.92275
197,0.92271
198,0.92267
199,0.92264
200,0.9224
201,0.9224
202,0.92239
203,0.92239
204,0.92234
205,0.92234
206,0.92223
207,0.92219
208,0.92218
209,0.92213
210,0.92209
211,0.92205
212,0.92201
213,0.92195
214,0.92179
215,0.92176
216,0.92173
217,0.9217
218,0.92168
219,0.92158
220,0.92155
221,0.92155
222,0.92151
223,0.92135
224,0.92134
225,0.92114
226,0.92088
227,0.92081
228,0.92069
229,0.92063
230,0.92061
231,0.9206
232,0.92047
233,0.92046
234,0.92028
235,0.92027
236,0.92025
237,0.92021
238,0.92011
239,0.92007
240,0.92005
241,0.92
242,0.91998
243,0.91991
244,0.91981
245,0.91948
246,0.91938
247,0.91935
248,0.91931
249,0.91925
250,0.91911
251,0.9191
252,0.91902
253,0.91901
254,0.91898
255,0.91889
256,0.91883
257,0.91876
258,0.91874
259,0.91862
260,0.91862
261,0.91857
262,0.91855
263,0.91846
264,0.91843
265,0.91839
266,0.91837
267,0.91824
268,0.91823
269,0.91817
270,0.91817
271,0.91811
272,0.91803
273,0.91797
274,0.91794
275,0.91788
276,0.91788
277,0.91778
278,0.9177
279,0.91764
280,0.91762
281,0.91729
282,0.91722
283,0.917
284,0.91695
285,0.91681
286,0.91681
287,0.91677
288,0.91675
289,0.91668
290,0.91661
291,0.91643
292,0.91634
293,0.91628
294,0.91622
295,0.91617
296,0.91605
297,0.91573
298,0.91566
299,0.91542
300,0.91541
301,0.91533
302,0.91512
303,0.91498
304,0.91494
305,0.91493
306,0.91486
307,0.91486
308,0.91483
309,0.91475
310,0.91473
311,0.91472
312,0.91464
313,0.91459
314,0.91458
315,0.91449
316,0.91435
317,0.91435
318,0.91428
319,0.91426
320,0.91421
321,0.9139
322,0.91389
323,0.91358
324,0.91355
325,0.91335
326,0.91275
327,0.91274
328,0.91252
329,0.91244
330,0.9124
331,0.91227
332,0.91219
333,0.91217
334,0.91205
335,0.91204
336,0.91201
337,0.91195
338,0.9119
339,0.91179
340,0.91176
341,0.91167
342,0.91123
343,0.91122
344,0.91112
345,0.91104
346,0.91104
347,0.91103
348,0.91089
349,0.91089
350,0.91077
351,0.91076
352,0.9107
353,0.91063
354,0.91053
355,0.91053
356,0.91045
357,0.91042
358,0.9104
359,0.91026
360,0.91023
361,0.91006
362,0.90999
363,0.90971
364,0.90962
365,0.90959
366,0.90957
367,0.90941
368,0.90937
369,0.90932
370,0.90928
371,0.90913
372,0.90907
373,0.90902
374,0.90883
375,0.90881
376,0.90853
377,0.90853
378,0.90848
379,0.90842
380,0.90829
381,0.90826
382,0.90801
383,0.90792
384,0.90776
385,0.90762
