rank,score
1,0.94313
2,0.93479
3,0.93356
4,0.93326
5,0.93321
6,0.93277
7,0.93209
8,0.93184
9,0.93133
10,0.93111
11,0.93103
12,0.93088
13,0.93073
14,0.9307
15,0.93066
16,0.92956
17,0.92929
18,0.92834
19,0.92825
20,0.92806
21,0.92777
22,0.92771
23,0.92707
24,0.92691
25,0.9269
26,0.92685
27,0.92668
28,0.92658
29,0.92655
30,0.92652
31,0.92628
32,0.92624
33,0.92614
34,0.92582
35,0.92569
36,0.925
37,0.92491
38,0.92473
39,0.92468
40,0.92446
41,0.92438
42,0.92435
43,0.92433
44,0.9241
45,0.92408
46,0.92407
47,0.92401
48,0.92385
49,0.92381
50,0.92371
51,0.92327
52,0.92319
53,0.92311
54,0.92288
55,0.92276
56,0.92256
57,0.92255
58,0.92241
59,0.92238
60,0.92227
61,0.92224
62,0.92176
63,0.92165
64,0.92157
65,0.92154
66,0.92145
67,0.9211
68,0.92108
69,0.921
70,0.92098
71,0.92097
72,0.92092
73,0.92074
74,0.92067
75,0.92061
76,0.9206
77,0.92053
78,0.92037
79,0.92035
80,0.9203
81,0.92027
82,0.92022
83,0.91989
84,0.91975
85,0.91968
86,0.91961
87,0.91957
88,0.91946
89,0.91937
90,0.91933
91,0.91929
92,0.91926
93,0.91925
94,0.91918
95,0.91917
96,0.91894
97,0.91894
98,0.91884
99,0.91869
100,0.91844
101,0.91844
102,0.91838
103,0.91822
104,0.91819
105,0.91803
106,0.91797
107,0.91786
108,0.91782
109,0.91776
110,0.91764
111,0.91762
112,0.9176
113,0.91754
114,0.91745
115,0.91737
116,0.91734
117,0.91706
118,0.91689
119,0.91647
120,0.91641
121,0.9162
122,0.91616
123,0.91616
124,0.91614
125,0.9161
126,0.91603
127,0.91591
128,0.91588
129,0.91586
130,0.91579
131,0.91559
132,0.91558
133,0.91543
134,0.91518
135,0.91502
136,0.91473
137,0.91469
138,0.91455
139,0.91444
140,0.91435
141,0.91424
142,0.91416
143,0.91411
144,0.91411
145,0.9141
146,0.91409
147,0.91405
148,0.91404
149,0.91398
150,0.91387
151,0.91368
152,0.91365
153,0.91347
154,0.91343
155,0.91342
156,0.91314
157,0.91307
158,0.91303
159,0.91282
160,0.91281
161,0.91273
162,0.91271
163,0.9127
164,0.91266
165,0.91266
166,0.91264
167,0.91263
168,0.91256
169,0.91247
170,0.91247
171,0.9124
172,0.9124
173,0.91222
174,0.91216
175,0.91205
176,0.91184
177,0.91176
178,0.91152
179,0.91147
180,0.91134
181,0.91127
182,0.91119
183,0.91114
184,0.91112
185,0.91106
186,0.91104
187,0.91096
188,0.91079
189,0.91079
190,0.91071
191,0.9106
192,0.91032
193,0.91032
194,0.91031
195,0.91028
196,0.91025
197,0.91018
198,0.91018
199,0.91013
200,0.91011
201,0.90994
202,0.90989
203,0.90987
204,0.90984
205,0.90974
206,0.90963
207,0.90937
208,0.90933
209,0.90932
210,0.9093
211,0.90911
212,0.90906
213,0.90886
214,0.90874
215,0.90873
216,0.90847
217,0.90846
218,0.90845
219,0.9082
220,0.90819
221,0.90771
222,0.90771
223,0.9077
224,0.90769
225,0.90769
226,0.90757
227,0.90756
228,0.90754
229,0.90752
230,0.90736
231,0.90735
232,0.90731
233,0.90718
234,0.90712
235,0.90706
236,0.90686
237,0.90677
238,0.90666
239,0.90641
240,0.90625
241,0.90606
242,0.90587
243,0.9058
244,0.90578
245,0.90551
246,0.9055
247,0.90529
248,0.90524
249,0.90499
250,0.90499
251,0.90482
252,0.90477
253,0.90475
254,0.90467
255,0.90456
256,0.90451
257,0.90448
258,0.90425
259,0.90423
260,0.90423
261,0.90406
262,0.90384
263,0.90359
264,0.9031
265,0.90294
266,0.90292
267,0.90278
268,0.90268
269,0.90264
270,0.90253
271,0.90217
272,0.9021
273,0.90178
274,0.90174
275,0.90173
276,0.90166
277,0.9016
278,0.90122
279,0.90117
280,0.90098
281,0.90064
282,0.90041
283,0.90038
284,0.9
285,0.89995
286,0.89993
287,0.89982
288,0.89981
289,0.89968
290,0.89966
291,0.89949
292,0.89927
293,0.89918
294,0.89902
295,0.89893
296,0.89893
297,0.89891
298,0.89858
299,0.89846
300,0.89822
301,0.89818
302,0.89813
303,0.898
304,0.89783
305,0.89767
306,0.89757
307,0.89751
308,0.89739
309,0.89733
310,0.8973
311,0.89704
312,0.89678
313,0.89673
314,0.8966
315,0.89656
316,0.89644
317,0.89642
318,0.89639
319,0.89627
320,0.89613
321,0.89612
322,0.89603
323,0.89568
324,0.89566
325,0.89558
326,0.89545
327,0.89523
328,0.89499
329,0.89475
330,0.89474
331,0.8945
332,0.89434
333,0.89381
334,0.89378
335,0.89368
336,0.89365
337,0.89352
338,0.89333
339,0.89333
340,0.89333
341,0.89331
342,0.89308
343,0.89298
344,0.89276
345,0.89274
346,0.89272
347,0.89267
348,0.89266
349,0.89265
350,0.89252
351,0.8925
352,0.89241
353,0.8924
354,0.89239
355,0.89236
356,0.8923
357,0.89199
358,0.89175
359,0.89165
360,0.89145
361,0.89145
362,0.89127
363,0.89119
364,0.89116
365,0.89107
366,0.89106
367,0.89092
368,0.8909
369,0.89085
370,0.89064
371,0.89012
372,0.88998
373,0.88995
374,0.88985
375,0.88962
376,0.88961
377,0.88942
378,0.88914
379,0.88912
380,0.88896
381,0.88885
382,0.88855
383,0.88831
384,0.88829
385,0.88817
386,0.88803
387,0.88797
388,0.88788
389,0.88756
390,0.88748
391,0.88734
392,0.88732
393,0.88702
394,0.88686
395,0.88685
396,0.88682
397,0.88681
398,0.88679
399,0.88679
400,0.88675
401,0.88669
402,0.88668
403,0.88659
404,0.88638
405,0.88638
406,0.88631
407,0.88629
408,0.88624
409,0.88622
410,0.88605
411,0.88597
412,0.88567
413,0.88514
414,0.88489
415,0.88475
416,0.8847
417,0.88447
418,0.88447
419,0.8836
420,0.88353
421,0.88344
422,0.88341
423,0.88334
424,0.88331
425,0.88311
426,0.88279
427,0.88238
428,0.88175
429,0.88172
430,0.88134
431,0.88121
432,0.88113
433,0.8811
434,0.88073
435,0.88056
436,0.88042
437,0.8797
438,0.87963
439,0.87946
440,0.87917
441,0.87905
442,0.87896
443,0.87887
444,0.87877
445,0.8786
446,0.87839
447,0.87833
448,0.87779
449,0.87778
450,0.87736
451,0.87731
452,0.87728
453,0.87705
454,0.877
455,0.87692
456,0.8768
457,0.87675
458,0.87671
459,0.87649
460,0.87624
461,0.87609
462,0.875
463,0.87497
464,0.87487
465,0.87404
466,0.87385
467,0.87374
468,0.87372
469,0.87328
470,0.87301
471,0.87271
472,0.87228
473,0.87164
474,0.87119
475,0.87087
476,0.87055
477,0.87033
478,0.87005
479,0.86961
480,0.8696
481,0.86943
482,0.86907
483,0.86886
484,0.86869
485,0.86828
486,0.86786
487,0.86776
488,0.86684
489,0.86614
490,0.86578
491,0.8652
492,0.86512
493,0.86504
494,0.86499
495,0.86426
496,0.86386
497,0.8638
498,0.86364
499,0.86179
500,0.86087
501,0.86083
502,0.85926
503,0.85922
504,0.85872
505,0.8583
506,0.8583
507,0.85761
508,0.85723
509,0.85706
510,0.85703
511,0.85687
512,0.85521
513,0.855
514,0.85483
515,0.85388
516,0.85315
517,0.85279
518,0.85277
519,0.85277
520,0.8523
521,0.85207
522,0.85107
523,0.85062
524,0.84907
525,0.84804
526,0.84804
527,0.84776
528,0.84708
529,0.84696
530,0.84515
531,0.84394
532,0.84365
533,0.84307
534,0.84242
535,0.84188
536,0.84174
537,0.8417
538,0.84156
539,0.84147
540,0.84139
541,0.84061
542,0.84059
543,0.83892
544,0.8387
545,0.83805
546,0.83766
547,0.83658
548,0.83652
549,0.83519
550,0.83506
551,0.835
552,0.83474
553,0.83471
554,0.8343
555,0.83366
556,0.83344
557,0.83284
558,0.83136
559,0.83085
560,0.83078
561,0.82977
562,0.82965
563,0.82892
564,0.82816
565,0.82814
566,0.82707
567,0.82647
568,0.82618
569,0.82453
570,0.82396
571,0.82196
572,0.82171
573,0.82027
574,0.81987
575,0.81874
576,0.81865
577,0.8183
578,0.81617
579,0.81604
580,0.81595
581,0.81511
582,0.81277
583,0.81262
584,0.80935
585,0.80708
586,0.80679
587,0.80623
588,0.80604
589,0.80591
590,0.8059
591,0.80566
592,0.80565
593,0.80452
594,0.80418
595,0.8035
596,0.8023
597,0.80008
598,0.79867
599,0.79826
600,0.79498
601,0.7948
602,0.79304
603,0.79297
604,0.78857
605,0.78783
606,0.785
607,0.78329
608,0.78228
609,0.78208
610,0.78122
