rank,score
1,1.28236
2,1.40046
3,1.40256
4,1.44245
5,1.48413
6,1.54363
7,1.69524
8,1.69677
9,1.71862
10,1.74049
11,1.76596
12,1.7813
13,1.78614
14,1.78763
15,1.79685
16,1.82947
17,1.83898
18,1.84922
19,1.86134
20,1.86257
21,1.8938
22,1.91123
23,1.93444
24,1.94866
25,1.95555
26,1.96697
27,1.97074
28,1.97686
29,1.97686
30,1.97798
31,1.97859
32,1.97953
33,1.98321
34,1.98391
35,2.00332
36,2.01094
37,2.01841
38,2.02079
39,2.02617
40,2.04165
41,2.05329
42,2.0569
43,2.06445
44,2.09476
45,2.09951
46,2.11501
47,2.15179
48,2.2096
49,2.21095
50,2.29842
51,2.38354
52,2.5075
53,2.6769
54,2.81847
55,2.85446
56,2.91297
57,2.95798
58,2.96004
59,3.01461
60,3.02085
61,3.04164
62,3.05225
63,3.07563
64,3.1062
65,3.11128
66,3.12872
67,3.18445
68,3.19512
69,3.22193
70,3.22389
71,3.22615
72,3.23948
73,3.26421
74,3.28008
75,3.30438
76,3.31022
77,3.31331
78,3.31476
79,3.34262
80,3.38486
81,3.45862
82,3.49952
83,3.52057
84,3.54294
85,3.59529
86,3.59529
87,3.59529
88,3.59529
89,3.59529
90,3.5969
91,3.61294
92,3.61294
93,3.61676
94,3.6221
95,3.62977
96,3.62977
97,3.63109
98,3.64208
99,3.65052
100,3.65092
101,3.65092
102,3.66142
103,3.66142
104,3.66142
105,3.66142
106,3.66142
107,3.66142
108,3.66142
109,3.66142
110,3.66142
111,3.66142
112,3.66142
113,3.66142
114,3.66142
115,3.66999
116,3.6758
117,3.71967
118,3.72892
119,3.77364
120,3.77712
121,3.78006
122,3.78006
123,3.78006
124,3.78006
125,3.78006
126,3.78006
127,3.78006
128,3.78006
129,3.78006
130,3.78006
131,3.78006
132,3.78006
133,3.78006
134,3.78006
135,3.78006
136,3.78006
137,3.79584
138,3.80205
139,3.89649
140,3.91448
141,3.97734
142,4.19239
143,4.24077
144,4.24608
145,4.2503
146,4.25181
147,4.28204
148,4.28507
149,4.37628
150,4.4684
151,4.69343
152,4.92856
153,5.01044
154,5.06837
155,5.19532
156,5.5709
157,12.10596
158,12.12504
159,17.92907
160,24.95756
161,24.97078
162,25.0651
163,25.11049
164,25.11049
165,51.76262
166,52.15754
167,52.15754
168,52.15754
169,52.15754
170,52.15754
171,52.15754
172,52.15754
173,52.15754
174,52.15754
175,52.15754
