rank,score
1,1.53319
2,1.55021
3,1.64096
4,1.73781
5,1.85774
6,1.88312
7,1.89203
8,1.9575
9,1.97115
10,2.03259
11,2.04092
12,2.08423
13,2.10009
14,2.10824
15,2.13319
16,2.16093
17,2.1633
18,2.17188
19,2.17633
20,2.17788
21,2.17895
22,2.17895
23,2.1792
24,2.18252
25,2.183
26,2.19653
27,2.20713
28,2.21687
29,2.21887
30,2.23045
31,2.23118
32,2.23313
33,2.24966
34,2.25233
35,2.25333
36,2.26266
37,2.2718
38,2.27455
39,2.28259
40,2.28634
41,2.28843
42,2.29223
43,2.2984
44,2.31785
45,2.33629
46,2.3402
47,2.41043
48,2.51476
49,2.52738
50,2.56286
51,2.58794
52,2.78009
53,2.88403
54,2.94991
55,3.01679
56,3.02189
57,3.07737
58,3.15304
59,3.18299
60,3.19033
61,3.19245
62,3.20966
63,3.21582
64,3.21857
65,3.24862
66,3.27156
67,3.29517
68,3.29923
69,3.32852
70,3.34851
71,3.37378
72,3.38349
73,3.39335
74,3.46227
75,3.48894
76,3.49903
77,3.49918
78,3.52454
79,3.54118
80,3.54362
81,3.54496
82,3.5792
83,3.66003
84,3.69749
85,3.70732
86,3.72015
87,3.75538
88,3.75736
89,3.75736
90,3.75736
91,3.75736
92,3.76099
93,3.77162
94,3.77381
95,3.77381
96,3.77755
97,3.77755
98,3.78964
99,3.80278
100,3.80685
101,3.80685
102,3.80685
103,3.80685
104,3.80685
105,3.80685
106,3.80685
107,3.80685
108,3.80685
109,3.80685
110,3.80685
111,3.80685
112,3.80685
113,3.80685
114,3.80987
115,3.81367
116,3.8468
117,3.90531
118,3.91911
119,3.92928
120,3.96009
121,3.9623
122,3.96243
123,3.96243
124,3.96243
125,3.96243
126,3.96243
127,3.96243
128,3.96243
129,3.96243
130,3.96243
131,3.96243
132,3.96243
133,3.96243
134,3.96243
135,3.96243
136,3.96243
137,3.96243
138,3.96451
139,3.97444
140,3.99237
141,4.02294
142,4.02345
143,4.24291
144,4.27637
145,4.28183
146,4.30103
147,4.3053
148,4.31309
149,4.31433
150,4.3347
151,4.38881
152,4.49452
153,4.70642
154,4.99008
155,5.13816
156,5.29529
157,5.51021
158,12.05348
159,12.10503
160,24.14517
161,24.18817
162,24.19335
163,24.19335
164,24.87101
165,51.67913
166,52.07722
167,52.07722
168,52.07722
169,52.07722
170,52.07722
171,52.07722
172,52.07722
173,52.07722
174,52.07722
175,52.07722
