rank,score
1,0.433356
2,0.43363
3,0.433736
4,0.433984
5,0.43407
6,0.434121
7,0.434145
8,0.434223
9,0.434244
10,0.434295
11,0.434388
12,0.434556
13,0.434565
14,0.434604
15,0.434655
16,0.43467
17,0.434772
18,0.434786
19,0.43482
20,0.434902
21,0.434983
22,0.435011
23,0.435032
24,0.435067
25,0.435103
26,0.435131
27,0.435198
28,0.43522
29,0.435225
30,0.435229
31,0.435287
32,0.435317
33,0.435341
34,0.435346
35,0.435351
36,0.4354
37,0.435417
38,0.435427
39,0.435447
40,0.43545
41,0.435473
42,0.435475
43,0.43554
44,0.435586
45,0.43559
46,0.435599
47,0.435615
48,0.435616
49,0.43562
50,0.435621
51,0.435646
52,0.435649
53,0.435652
54,0.435666
55,0.435667
56,0.435673
57,0.435702
58,0.435702
59,0.435713
60,0.43572
61,0.435722
62,0.435752
63,0.435777
64,0.435788
65,0.435788
66,0.435814
67,0.435829
68,0.435861
69,0.435866
70,0.435873
71,0.435877
72,0.435885
73,0.435888
74,0.435895
75,0.435905
76,0.435934
77,0.435952
78,0.435955
79,0.435956
80,0.435959
81,0.435961
82,0.435966
83,0.435971
84,0.435978
85,0.43601
86,0.43601
87,0.436034
88,0.436039
89,0.436045
90,0.436048
91,0.436092
92,0.436095
93,0.436099
94,0.4361
95,0.436105
96,0.436106
97,0.436107
98,0.436108
99,0.43611
100,0.436124
101,0.436127
102,0.436131
103,0.436137
104,0.436144
105,0.436145
106,0.436148
107,0.436155
108,0.436156
109,0.436162
110,0.436164
111,0.436165
112,0.436169
113,0.436169
114,0.436172
115,0.436173
116,0.43618
117,0.43618
118,0.436181
119,0.4362
120,0.436201
121,0.436203
122,0.436208
123,0.436211
124,0.436221
125,0.436228
126,0.436228
127,0.43623
128,0.43625
129,0.436255
130,0.436256
131,0.436259
132,0.436262
133,0.436268
134,0.436272
135,0.436273
136,0.436273
137,0.436276
138,0.43628
139,0.436283
140,0.436285
141,0.436293
142,0.436294
143,0.436296
144,0.436304
145,0.43631
146,0.436315
147,0.436318
148,0.436319
149,0.43632
150,0.436323
151,0.436324
152,0.436326
153,0.436327
154,0.436328
155,0.436334
156,0.436337
157,0.43634
158,0.436347
159,0.436349
160,0.436351
161,0.436351
162,0.436352
163,0.436365
164,0.436365
165,0.436366
166,0.436368
167,0.436371
168,0.436372
169,0.436373
170,0.436373
171,0.436376
172,0.436378
173,0.436379
174,0.436381
175,0.436381
176,0.436381
177,0.436383
178,0.436383
179,0.436386
180,0.436386
181,0.436387
182,0.436388
183,0.436388
184,0.436391
185,0.436393
186,0.436394
187,0.436394
188,0.436396
189,0.436397
190,0.436401
191,0.436403
192,0.436404
193,0.436405
194,0.436405
195,0.436405
196,0.436407
197,0.436409
198,0.436409
199,0.43641
200,0.436411
201,0.436411
202,0.436411
203,0.436414
204,0.436417
205,0.436417
206,0.436419
207,0.436423
208,0.436425
209,0.436425
210,0.436426
211,0.436426
212,0.436427
213,0.436429
214,0.436429
215,0.43643
216,0.436431
217,0.436431
218,0.436434
219,0.436434
220,0.436435
221,0.436437
222,0.436439
223,0.43644
224,0.436442
225,0.436443
226,0.436443
227,0.436445
228,0.436446
229,0.436448
230,0.436448
231,0.436449
232,0.436449
233,0.43645
234,0.43645
235,0.436452
236,0.436452
237,0.436453
238,0.436453
239,0.436454
240,0.436454
241,0.436454
242,0.436454
243,0.436454
244,0.436454
245,0.436454
246,0.436454
247,0.436454
248,0.436454
249,0.436454
250,0.436454
251,0.436454
252,0.436454
253,0.436454
254,0.436454
255,0.436454
256,0.436454
257,0.436454
258,0.436454
259,0.436454
260,0.436454
261,0.436454
262,0.436454
263,0.436454
264,0.436454
265,0.436454
266,0.436454
267,0.436454
268,0.436454
269,0.436454
270,0.436454
271,0.436454
272,0.436454
273,0.436454
274,0.436454
275,0.436454
276,0.436454
277,0.436454
278,0.436454
279,0.436454
280,0.436454
281,0.436454
282,0.436454
283,0.436454
284,0.436454
285,0.436454
286,0.436454
287,0.436454
288,0.436454
