rank,score
1,0.433436
2,0.433478
3,0.433719
4,0.433803
5,0.433901
6,0.434031
7,0.434031
8,0.434127
9,0.434232
10,0.434482
11,0.434531
12,0.43461
13,0.434741
14,0.43477
15,0.434837
16,0.434872
17,0.434911
18,0.434933
19,0.435005
20,0.435025
21,0.435036
22,0.435047
23,0.435166
24,0.435179
25,0.435198
26,0.435232
27,0.435321
28,0.435347
29,0.435348
30,0.435351
31,0.435389
32,0.435402
33,0.43542
34,0.435421
35,0.435454
36,0.43547
37,0.435495
38,0.4355
39,0.435528
40,0.435541
41,0.435543
42,0.435544
43,0.435574
44,0.435607
45,0.435621
46,0.435624
47,0.435671
48,0.435673
49,0.43568
50,0.435724
51,0.435761
52,0.435761
53,0.435779
54,0.435782
55,0.435796
56,0.435799
57,0.435801
58,0.435806
59,0.435809
60,0.435811
61,0.435814
62,0.435821
63,0.435826
64,0.435829
65,0.435829
66,0.435841
67,0.435844
68,0.435863
69,0.435867
70,0.435883
71,0.435894
72,0.435897
73,0.435901
74,0.435929
75,0.435961
76,0.435965
77,0.435977
78,0.435985
79,0.43599
80,0.435991
81,0.436004
82,0.436008
83,0.436011
84,0.436012
85,0.436015
86,0.436016
87,0.436028
88,0.436034
89,0.436052
90,0.436076
91,0.436099
92,0.436114
93,0.436115
94,0.436118
95,0.436131
96,0.436132
97,0.436137
98,0.436138
99,0.436141
100,0.436153
101,0.436158
102,0.436176
103,0.436183
104,0.436186
105,0.436192
106,0.436193
107,0.436193
108,0.436198
109,0.436221
110,0.436227
111,0.436236
112,0.436238
113,0.436253
114,0.436275
115,0.436281
116,0.436285
117,0.436285
118,0.436288
119,0.436297
120,0.436298
121,0.436302
122,0.436304
123,0.436309
124,0.43631
125,0.43631
126,0.436312
127,0.436319
128,0.436324
129,0.436326
130,0.436327
131,0.436328
132,0.436358
133,0.436368
134,0.436374
135,0.436389
136,0.436394
137,0.436397
138,0.436398
139,0.436412
140,0.436433
141,0.436455
142,0.436463
143,0.436467
144,0.436468
145,0.436471
146,0.436474
147,0.436476
148,0.436476
149,0.436479
150,0.436486
151,0.436492
152,0.436494
153,0.436506
154,0.43656
155,0.436561
156,0.436564
157,0.436567
158,0.436586
159,0.436588
160,0.43662
161,0.436623
162,0.436627
163,0.436644
164,0.436654
165,0.436655
166,0.436665
167,0.43667
168,0.43668
169,0.436688
170,0.436697
171,0.436703
172,0.436714
173,0.436717
174,0.436726
175,0.436744
176,0.436767
177,0.436769
178,0.43678
179,0.436784
180,0.436792
181,0.436793
182,0.436793
183,0.436836
184,0.436839
185,0.436842
186,0.436852
187,0.436856
188,0.436868
189,0.436873
190,0.436882
191,0.436892
192,0.436898
193,0.436901
194,0.436914
195,0.43696
196,0.436968
197,0.436972
198,0.436983
199,0.436985
200,0.436999
201,0.437001
202,0.437011
203,0.437017
204,0.437019
205,0.437019
206,0.437027
207,0.437037
208,0.437038
209,0.437054
210,0.437059
211,0.437074
212,0.437088
213,0.437098
214,0.437104
215,0.437115
216,0.437116
217,0.437118
218,0.437123
219,0.437125
220,0.437126
221,0.437137
222,0.437155
223,0.437158
224,0.437158
225,0.437171
226,0.437185
227,0.437185
228,0.437185
229,0.437189
230,0.43719
231,0.437194
232,0.437198
233,0.4372
234,0.437206
235,0.437207
236,0.437212
237,0.437217
238,0.437217
239,0.437219
240,0.437222
241,0.437227
242,0.437228
243,0.43723
244,0.437231
245,0.437231
246,0.437231
247,0.437233
248,0.437233
249,0.437235
250,0.437235
251,0.437236
252,0.437236
253,0.437237
254,0.437237
255,0.437237
256,0.437237
257,0.437237
258,0.437237
259,0.437237
260,0.437237
261,0.437237
262,0.437237
263,0.437237
264,0.437237
265,0.437237
266,0.437237
267,0.437237
268,0.437237
269,0.437237
270,0.437237
271,0.437237
272,0.437237
273,0.437237
274,0.437237
275,0.437237
276,0.437237
277,0.437237
278,0.437237
279,0.437237
280,0.437237
281,0.437237
282,0.437237
283,0.437237
284,0.437237
285,0.437237
286,0.437237
287,0.437237
288,0.437237
289,0.437237
290,0.437237
291,0.437237
292,0.437237
293,0.437237
294,0.437237
295,0.437237
296,0.437237
297,0.437237
298,0.437237
299,0.437237
300,0.437237
301,0.437237
302,0.437237
303,0.437237
304,0.437237
305,0.437237
306,0.437237
307,0.437237
308,0.437237
309,0.437237
310,0.437237
311,0.437237
312,0.437237
313,0.437237
314,0.437237
315,0.437237
316,0.437237
317,0.437237
318,0.437237
319,0.437237
320,0.437237
321,0.437237
322,0.437237
323,0.437237
324,0.437237
325,0.437237
326,0.437237
327,0.437237
328,0.437237
329,0.437237
330,0.437237
331,0.437237
332,0.437237
333,0.437237
334,0.437237
335,0.437237
336,0.437237
337,0.437237
338,0.437237
339,0.437237
340,0.437237
341,0.437237
342,0.437237
343,0.437237
344,0.437237
345,0.437237
346,0.437237
347,0.437237
348,0.437237
349,0.437237
350,0.437237
351,0.437237
352,0.437237
353,0.437237
354,0.437237
355,0.437237
356,0.437237
357,0.437237
358,0.437237
359,0.437237
360,0.437237
361,0.437237
362,0.437237
363,0.437237
364,0.437237
365,0.437237
366,0.437237
367,0.437237
368,0.437237
369,0.437237
370,0.437237
371,0.437237
372,0.437237
373,0.437237
374,0.437237
375,0.437237
376,0.437237
377,0.437237
378,0.437237
379,0.437237
380,0.437237
381,0.437237
382,0.437237
383,0.437237
384,0.437237
385,0.437237
386,0.437237
387,0.437237
388,0.437237
389,0.437237
390,0.437237
391,0.437237
392,0.437237
393,0.437237
394,0.437237
395,0.437237
396,0.437237
397,0.437237
398,0.437237
399,0.437237
400,0.437237
401,0.437237
402,0.437237
403,0.437237
404,0.437237
405,0.437237
406,0.437237
407,0.437237
408,0.437237
409,0.437237
410,0.437237
411,0.437237
412,0.437237
413,0.437237
414,0.437237
415,0.437237
416,0.437237
417,0.437237
418,0.437237
419,0.437237
420,0.437237
421,0.437237
422,0.437238
423,0.437243
424,0.43725
425,0.437251
426,0.437251
427,0.437252
428,0.437253
429,0.437255
430,0.437257
431,0.437257
432,0.43726
433,0.437265
434,0.437265
435,0.437279
436,0.437279
437,0.437279
438,0.437285
439,0.437286
440,0.437287
441,0.437296
442,0.437298
443,0.437313
444,0.437315
445,0.437315
446,0.437316
447,0.437329
448,0.43733
449,0.43733
450,0.437344
451,0.43735
452,0.437356
453,0.437359
454,0.437363
455,0.437365
456,0.437368
457,0.437382
458,0.437382
459,0.437382
460,0.437382
461,0.437382
462,0.437382
463,0.437382
464,0.437385
465,0.437391
466,0.437393
467,0.437405
468,0.437405
469,0.437409
470,0.437416
471,0.437417
472,0.437424
473,0.437431
474,0.437435
475,0.437448
476,0.437448
477,0.43745
478,0.437454
479,0.437454
480,0.437454
481,0.437454
482,0.437454
483,0.437454
484,0.437454
485,0.437454
486,0.437454
487,0.437454
488,0.437454
489,0.437454
490,0.437454
491,0.437454
492,0.437454
493,0.437454
494,0.437454
495,0.437454
496,0.437454
497,0.437454
498,0.437454
499,0.437454
500,0.437454
501,0.437454
502,0.437454
503,0.437454
504,0.437454
505,0.437454
506,0.437454
507,0.437454
508,0.437454
509,0.437454
510,0.437454
511,0.437454
512,0.437454
513,0.437454
514,0.437454
515,0.437454
516,0.437454
517,0.437454
518,0.437454
519,0.437454
520,0.437454
521,0.437454
522,0.437454
523,0.437454
524,0.437454
525,0.437454
526,0.437454
527,0.437454
528,0.437454
529,0.437454
530,0.437454
531,0.437454
532,0.437454
533,0.437454
534,0.437454
535,0.437454
536,0.437454
537,0.437454
538,0.437454
539,0.437454
540,0.437454
541,0.437454
542,0.437454
543,0.437454
544,0.437454
545,0.437454
546,0.437454
547,0.437454
548,0.437454
549,0.437454
550,0.437454
551,0.437454
552,0.437454
553,0.437454
554,0.437454
555,0.437454
556,0.437454
557,0.437454
558,0.437454
559,0.437454
560,0.437454
561,0.437454
562,0.437454
563,0.437454
564,0.437454
565,0.437454
566,0.437454
567,0.437454
568,0.437454
569,0.437454
570,0.437454
571,0.437454
572,0.437454
573,0.437454
574,0.437454
575,0.437454
576,0.437454
577,0.437454
578,0.437454
579,0.437454
580,0.437454
581,0.437454
582,0.437454
583,0.437454
584,0.437454
585,0.437454
586,0.437454
587,0.437454
588,0.437454
589,0.437454
590,0.437454
591,0.437454
592,0.437454
593,0.437454
594,0.437454
595,0.437454
596,0.437454
597,0.437454
598,0.437454
599,0.437454
600,0.437454
601,0.437454
602,0.437454
603,0.437454
604,0.437454
605,0.437454
606,0.437454
607,0.437454
608,0.437454
609,0.437454
610,0.437454
611,0.437454
612,0.437454
613,0.437454
614,0.437454
615,0.437454
616,0.437454
617,0.437454
618,0.437454
619,0.437454
620,0.437454
621,0.437454
622,0.437454
623,0.437454
624,0.437454
625,0.437454
626,0.437454
627,0.437454
628,0.437454
629,0.437454
630,0.437454
631,0.437454
632,0.437454
633,0.437454
634,0.437454
635,0.437454
636,0.437454
637,0.437454
638,0.437454
639,0.437454
640,0.437455
641,0.437461
642,0.43747
643,0.437471
644,0.437472
645,0.437472
646,0.437475
647,0.437478
648,0.437481
649,0.437482
650,0.437483
651,0.437484
652,0.437494
653,0.437504
654,0.437507
655,0.437508
656,0.437517
657,0.437523
658,0.437526
659,0.437531
660,0.437534
661,0.437536
662,0.437538
663,0.437548
664,0.437561
665,0.437578
666,0.437585
667,0.437586
668,0.437591
669,0.437591
670,0.437593
671,0.437603
672,0.437614
673,0.437621
674,0.437621
675,0.437624
676,0.437624
677,0.437624
678,0.437624
679,0.437624
680,0.437624
681,0.437624
682,0.437624
683,0.437624
684,0.437624
685,0.437624
686,0.437624
687,0.437624
688,0.437624
689,0.437624
690,0.437624
691,0.437624
692,0.437624
693,0.437624
694,0.437624
695,0.437624
696,0.437624
697,0.437624
698,0.437624
699,0.437624
700,0.437624
701,0.437624
702,0.437624
703,0.437624
704,0.437624
705,0.437624
706,0.437624
707,0.437628
708,0.437634
709,0.437653
710,0.437666
711,0.437697
712,0.437703
713,0.437711
714,0.437713
715,0.437713
716,0.437716
717,0.437717
718,0.437737
719,0.437768
720,0.437792
721,0.437807
722,0.437818
723,0.437833
724,0.437851
725,0.437854
726,0.437882
727,0.437897
728,0.437916
729,0.43793
730,0.437935
731,0.437936
732,0.437951
733,0.437969
734,0.438
735,0.438005
736,0.438006
737,0.438048
738,0.438054
739,0.438056
740,0.438056
741,0.438078
742,0.438089
743,0.438098
744,0.438102
745,0.438123
746,0.438131
747,0.438133
748,0.438138
749,0.438168
750,0.438184
751,0.438187
752,0.438195
753,0.438195
754,0.438197
755,0.438198
756,0.438216
757,0.438216
758,0.438216
759,0.438216
760,0.438216
761,0.438216
762,0.438216
763,0.438216
764,0.438216
765,0.438216
766,0.438216
767,0.438216
768,0.438216
769,0.438216
770,0.438216
771,0.438216
772,0.438216
773,0.438216
774,0.438216
775,0.438216
776,0.438216
777,0.438216
778,0.438216
779,0.438218
780,0.438224
781,0.438239
782,0.43825
783,0.438252
784,0.43826
785,0.438262
786,0.438268
787,0.438269
788,0.43827
789,0.438278
790,0.43829
791,0.4383
792,0.438307
793,0.438312
794,0.438331
795,0.438331
796,0.438331
797,0.438331
798,0.438331
799,0.438333
800,0.438334
801,0.438334
802,0.438335
803,0.43837
804,0.438398
805,0.438424
806,0.438424
807,0.438424
808,0.438424
809,0.438431
810,0.438436
811,0.438455
812,0.438485
813,0.438505
814,0.438509
815,0.438516
816,0.43852
817,0.438524
818,0.438526
819,0.438528
820,0.438535
821,0.438542
822,0.438548
823,0.438548
824,0.438548
825,0.438548
826,0.438548
827,0.438548
828,0.438548
829,0.438548
830,0.438548
831,0.438548
832,0.438548
833,0.438548
834,0.438548
835,0.438548
836,0.438548
837,0.438548
838,0.438548
839,0.438548
840,0.438548
841,0.438548
842,0.438548
843,0.438548
844,0.438548
845,0.438548
846,0.438548
847,0.438548
848,0.438548
849,0.438548
850,0.438548
851,0.438548
852,0.438548
853,0.438548
854,0.438548
855,0.438548
856,0.438548
857,0.438548
858,0.438548
859,0.438548
860,0.438548
861,0.438548
862,0.438548
863,0.438548
864,0.438548
865,0.438548
866,0.438548
867,0.438548
868,0.438548
869,0.438548
870,0.438548
871,0.438567
872,0.438571
873,0.438593
874,0.438598
875,0.438604
876,0.438613
877,0.43862
878,0.438627
879,0.438629
880,0.438659
881,0.438667
882,0.438687
883,0.43869
884,0.438707
885,0.43871
886,0.438712
887,0.438739
888,0.438747
889,0.438752
890,0.438753
891,0.438753
892,0.438796
893,0.43881
894,0.438811
895,0.438836
896,0.438845
897,0.438846
898,0.438846
899,0.438846
900,0.438846
901,0.438846
902,0.438846
903,0.438846
904,0.438846
905,0.438846
906,0.438846
907,0.438846
908,0.438846
909,0.438846
910,0.438846
911,0.438846
912,0.438846
913,0.438846
914,0.438846
915,0.438846
916,0.438846
917,0.438846
918,0.438846
919,0.438846
920,0.438846
921,0.438846
922,0.438846
923,0.438846
924,0.438846
925,0.438846
926,0.438846
927,0.438846
928,0.438846
929,0.438846
930,0.438846
931,0.438846
932,0.438846
933,0.438846
934,0.438846
935,0.438846
936,0.438846
937,0.438846
938,0.438846
939,0.438846
940,0.438846
941,0.438846
942,0.438846
943,0.438846
944,0.438846
945,0.438846
946,0.438846
947,0.438846
948,0.438846
949,0.438846
950,0.438846
951,0.438846
952,0.438846
953,0.438846
954,0.438846
955,0.438846
956,0.438846
957,0.438846
958,0.438846
959,0.438846
960,0.438846
961,0.438846
962,0.438846
963,0.438846
964,0.438846
965,0.438846
966,0.438846
967,0.438846
968,0.438846
969,0.438855
970,0.438872
971,0.438879
972,0.438887
973,0.438898
974,0.438899
975,0.43892
976,0.438936
977,0.438941
978,0.43895
979,0.438951
980,0.43898
981,0.438988
982,0.438994
983,0.438999
984,0.439002
985,0.439009
986,0.439009
987,0.439009
988,0.439009
989,0.439009
990,0.439009
991,0.439009
992,0.439009
993,0.439009
994,0.439009
995,0.439009
996,0.439009
997,0.439009
998,0.439009
999,0.439009
1000,0.439009
1001,0.439009
1002,0.439009
1003,0.439009
1004,0.439009
1005,0.439009
1006,0.439009
1007,0.439009
1008,0.439009
1009,0.439009
1010,0.439009
1011,0.439009
1012,0.439009
1013,0.439009
1014,0.439009
1015,0.439009
1016,0.439009
1017,0.439009
1018,0.439009
1019,0.439009
1020,0.439009
1021,0.439009
1022,0.439009
1023,0.439009
1024,0.439009
1025,0.439009
1026,0.439009
1027,0.439009
1028,0.439009
1029,0.439009
1030,0.439009
1031,0.439009
1032,0.439009
1033,0.439009
1034,0.439009
1035,0.439009
1036,0.439009
1037,0.439009
1038,0.439009
1039,0.439009
1040,0.439009
1041,0.439009
1042,0.439009
1043,0.439009
1044,0.439009
1045,0.439009
1046,0.439009
1047,0.439009
1048,0.439009
1049,0.439009
1050,0.439025
1051,0.439043
1052,0.43905
1053,0.439055
1054,0.439057
1055,0.439059
1056,0.439063
1057,0.439066
1058,0.43907
1059,0.439071
1060,0.439116
1061,0.439137
1062,0.439151
1063,0.439189
1064,0.43919
1065,0.439215
1066,0.439231
1067,0.439248
1068,0.439253
1069,0.439255
1070,0.439266
1071,0.439266
1072,0.439266
