rank,score
1,0.99999
2,0.99934
3,0.99889
4,0.99861
5,0.99859
6,0.99856
7,0.99853
8,0.99844
9,0.99838
10,0.99837
11,0.99825
12,0.99824
13,0.9982
14,0.99819
15,0.99818
16,0.99817
17,0.99814
18,0.99804
19,0.99794
20,0.99791
21,0.99782
22,0.99779
23,0.99292
24,0.9925
25,0.99165
26,0.99165
27,0.99096
28,0.99041
29,0.99028
30,0.99012
31,0.98661
32,0.98446
33,0.98274
34,0.98217
35,0.982
36,0.98192
37,0.9819
38,0.98187
39,0.98152
40,0.98146
41,0.97968
42,0.97968
43,0.97968
44,0.97751
45,0.97701
46,0.97547
47,0.97547
48,0.97374
49,0.9734
50,0.97327
51,0.96706
52,0.96468
53,0.96465
54,0.96334
55,0.96051
56,0.96027
57,0.90979
58,0.87569
59,0.84618
60,0.8308
61,0.82874
62,0.82874
63,0.45963
