rank,score
1,1.0
2,0.99982
3,0.99923
4,0.999
5,0.99895
6,0.99891
7,0.99885
8,0.99884
9,0.9988
10,0.99875
11,0.99868
12,0.99868
13,0.99865
14,0.99859
15,0.99856
16,0.99837
17,0.9983
18,0.99827
19,0.99819
20,0.99815
21,0.99805
22,0.99792
23,0.99763
24,0.9919
25,0.99181
26,0.99158
27,0.99158
28,0.9902
29,0.98944
30,0.98863
31,0.98585
32,0.98417
33,0.98085
34,0.98068
35,0.98054
36,0.98052
37,0.98042
38,0.9802
39,0.97997
40,0.97882
41,0.97801
42,0.97801
43,0.97801
44,0.97546
45,0.9749
46,0.97317
47,0.97255
48,0.97092
49,0.97061
50,0.96934
51,0.96272
52,0.96271
53,0.9625
54,0.96155
55,0.96013
56,0.95943
57,0.9029
58,0.86694
59,0.84323
60,0.82679
61,0.82679
62,0.82314
63,0.45516
