rank,score
1,1.0
2,0.90796
3,0.85076
4,0.84806
5,0.84526
6,0.8429
7,0.84254
8,0.84218
9,0.84099
10,0.84055
11,0.84032
12,0.84032
13,0.84022
14,0.83992
15,0.8378
16,0.83678
17,0.83368
18,0.8329
19,0.8329
20,0.83287
21,0.83271
22,0.82812
23,0.82806
24,0.82805
25,0.82797
26,0.82695
27,0.82654
28,0.82568
29,0.82532
30,0.82532
31,0.82532
32,0.82532
33,0.82532
34,0.82532
35,0.82424
36,0.82362
37,0.82231
38,0.82007
39,0.81989
40,0.81931
41,0.81906
42,0.81899
43,0.81811
44,0.81756
45,0.81719
46,0.81685
47,0.81649
48,0.81649
49,0.8162
50,0.81567
51,0.81565
52,0.81556
53,0.8155
54,0.81537
55,0.81488
56,0.81472
57,0.81471
58,0.81457
59,0.81435
60,0.81401
61,0.81372
62,0.81371
63,0.81369
64,0.81364
65,0.81364
66,0.81346
67,0.81345
68,0.81338
69,0.81337
70,0.81333
71,0.81332
72,0.81331
73,0.8132
74,0.81318
75,0.81309
76,0.81303
77,0.81302
78,0.81281
79,0.81278
80,0.81275
81,0.81274
82,0.8127
83,0.81266
84,0.81235
85,0.81232
86,0.81216
87,0.81201
88,0.8118
89,0.81169
90,0.81169
91,0.81159
92,0.81069
93,0.81056
94,0.81033
95,0.8099
96,0.80982
97,0.8097
98,0.80958
99,0.80937
100,0.80901
101,0.80901
102,0.80663
103,0.80655
104,0.80644
105,0.80603
106,0.80551
107,0.80442
108,0.80436
109,0.80351
110,0.80288
111,0.80196
112,0.80177
113,0.80109
114,0.7997
115,0.79884
116,0.79772
117,0.79578
118,0.79513
119,0.79488
120,0.79434
121,0.79409
122,0.79343
123,0.7927
124,0.79253
125,0.7921
126,0.79102
127,0.79012
128,0.78944
129,0.78836
130,0.78825
131,0.78766
132,0.78723
133,0.78697
134,0.78684
135,0.78676
136,0.78661
137,0.7861
138,0.78597
139,0.78569
140,0.78462
141,0.78455
142,0.78409
143,0.784
144,0.78348
145,0.7832
146,0.7818
147,0.78171
148,0.78162
149,0.78152
150,0.78149
151,0.78135
152,0.78115
153,0.77999
154,0.77867
155,0.77584
156,0.77487
157,0.77481
158,0.77362
159,0.77296
160,0.77288
161,0.77099
162,0.77084
163,0.77067
164,0.77052
165,0.77023
166,0.76976
167,0.76951
168,0.76921
169,0.76886
170,0.76829
171,0.76816
172,0.76787
173,0.76745
174,0.76634
175,0.76634
176,0.76537
177,0.76497
178,0.76387
179,0.76383
180,0.76375
181,0.76333
182,0.76325
183,0.76247
184,0.76153
185,0.76147
186,0.76126
187,0.76064
188,0.7598
189,0.7594
190,0.75913
191,0.75833
192,0.75821
193,0.75817
194,0.75789
195,0.75741
196,0.75733
197,0.75704
198,0.75638
199,0.7562
200,0.75593
201,0.75587
202,0.75513
203,0.7544
204,0.75426
205,0.75408
206,0.75401
207,0.75398
208,0.75396
209,0.75378
210,0.75359
211,0.7535
212,0.75323
213,0.75257
214,0.75214
215,0.75212
216,0.75189
217,0.75151
218,0.75141
219,0.75119
220,0.75109
221,0.75058
222,0.75029
223,0.75012
224,0.75002
225,0.74989
226,0.74888
227,0.74881
228,0.74684
229,0.74677
230,0.74635
231,0.74632
232,0.746
233,0.74599
234,0.7451
235,0.74464
236,0.74454
237,0.74436
238,0.74423
239,0.7426
240,0.74246
241,0.74215
242,0.74194
243,0.7411
244,0.74066
245,0.73981
246,0.73958
247,0.73954
248,0.73934
249,0.73781
250,0.73752
251,0.7374
252,0.73695
253,0.7366
254,0.73609
255,0.73423
256,0.73218
257,0.73208
258,0.7315
259,0.7313
260,0.73026
261,0.73015
262,0.72951
263,0.72947
264,0.72929
265,0.72915
266,0.72907
267,0.72741
268,0.72725
269,0.72619
270,0.72593
271,0.72568
272,0.72449
273,0.72445
274,0.72356
275,0.72349
276,0.72297
277,0.72258
278,0.72154
279,0.72066
280,0.72055
281,0.71934
282,0.71837
283,0.71804
284,0.71739
285,0.71696
286,0.71635
287,0.71633
288,0.71587
289,0.71538
290,0.71496
291,0.71496
292,0.71369
293,0.71302
294,0.71276
295,0.71252
296,0.71178
297,0.71041
298,0.70673
299,0.70661
300,0.70174
301,0.7007
302,0.70028
303,0.69947
304,0.69945
305,0.69943
306,0.69413
307,0.69238
308,0.69093
309,0.69057
310,0.68894
311,0.68873
312,0.68845
313,0.68737
314,0.68549
315,0.68451
316,0.67659
317,0.67393
318,0.67024
319,0.66305
320,0.65327
321,0.63735
322,0.62255
323,0.61864
324,0.6185
325,0.61636
326,0.61342
327,0.61324
328,0.60622
329,0.5936
330,0.59254
331,0.58782
332,0.58158
333,0.58124
334,0.57798
335,0.55467
336,0.55282
337,0.55042
338,0.54757
339,0.54223
340,0.53808
341,0.50472
342,0.49339
343,0.47222
344,0.44509
345,0.4392
346,0.43489
347,0.41231
348,0.37053
349,0.37053
350,0.33104
351,0.32448
352,0.2956
353,0.28175
354,0.26995
355,0.06231
356,0.0
357,0.0
358,0.0
