rank,score
1,0.7598
2,0.75913
3,0.75892
4,0.75787
5,0.75521
6,0.75421
7,0.75302
8,0.7519
9,0.74835
10,0.74399
11,0.7414
12,0.73997
13,0.73993
14,0.73944
15,0.73897
16,0.7375
17,0.73739
18,0.73733
19,0.73399
20,0.73384
21,0.73371
22,0.73276
23,0.73173
24,0.73014
25,0.73013
26,0.72888
27,0.72873
28,0.7282
29,0.72813
30,0.72551
31,0.72476
32,0.72464
33,0.72387
34,0.72385
35,0.72371
36,0.7234
37,0.72336
38,0.72308
39,0.72294
40,0.72264
41,0.72243
42,0.72226
43,0.7205
44,0.71981
45,0.71976
46,0.7197
47,0.71885
48,0.71864
49,0.71835
50,0.7181
51,0.718
52,0.71798
53,0.71786
54,0.71694
55,0.71607
56,0.71522
57,0.71445
58,0.71361
59,0.71359
60,0.71346
61,0.71291
62,0.71096
63,0.71089
64,0.71043
65,0.70995
66,0.70908
67,0.70849
68,0.70844
69,0.70797
70,0.70622
71,0.70619
72,0.70587
73,0.70465
74,0.70443
75,0.70401
76,0.70332
77,0.70322
78,0.70251
79,0.70199
80,0.70172
81,0.7007
82,0.70033
83,0.70005
84,0.69987
85,0.69983
86,0.69806
87,0.69794
88,0.69635
89,0.69547
90,0.69512
91,0.69504
92,0.69464
93,0.69459
94,0.6945
95,0.69429
96,0.69423
97,0.69408
98,0.69256
99,0.69247
100,0.69233
101,0.69192
102,0.69178
103,0.69171
104,0.69055
105,0.68947
106,0.68796
107,0.68675
108,0.68638
109,0.68631
110,0.68611
111,0.68468
112,0.68359
113,0.68305
114,0.68245
115,0.68233
116,0.67932
117,0.678
118,0.67581
119,0.67481
120,0.67397
121,0.67344
122,0.67344
123,0.67325
124,0.67322
125,0.6728
126,0.67278
127,0.67212
128,0.67172
129,0.67081
130,0.66808
131,0.66803
132,0.66702
133,0.6664
134,0.66588
135,0.66576
136,0.66548
137,0.66537
138,0.66483
139,0.66363
140,0.66117
141,0.66042
142,0.6603
143,0.66029
144,0.65921
145,0.65874
146,0.65862
147,0.65835
148,0.65793
149,0.65791
150,0.65789
151,0.65735
152,0.65606
153,0.6554
154,0.65258
155,0.65258
156,0.65195
157,0.6519
158,0.65137
159,0.6506
160,0.65036
161,0.65008
162,0.65005
163,0.64828
164,0.646
165,0.64428
166,0.64246
167,0.64161
168,0.64032
169,0.6403
170,0.6388
171,0.634
172,0.63289
173,0.63038
174,0.62661
175,0.62343
176,0.61982
177,0.61898
178,0.6185
179,0.61649
180,0.61572
181,0.61535
182,0.61507
183,0.61218
184,0.61122
185,0.60653
186,0.60065
187,0.60009
188,0.59965
189,0.59539
190,0.5894
191,0.58753
192,0.58294
193,0.58085
194,0.58034
195,0.57824
196,0.57617
197,0.57441
198,0.57434
199,0.57162
200,0.57131
201,0.56889
202,0.56326
203,0.5631
204,0.55643
205,0.55637
206,0.5537
207,0.55244
208,0.55197
209,0.54987
210,0.54651
211,0.54081
212,0.53815
213,0.5374
214,0.53666
215,0.53654
216,0.53505
217,0.53444
218,0.52948
219,0.52934
220,0.52924
221,0.52838
222,0.52808
223,0.52767
224,0.52697
225,0.52679
226,0.52425
227,0.524
228,0.52349
229,0.52241
230,0.52215
231,0.52003
232,0.51914
233,0.51879
234,0.51777
235,0.51654
236,0.51455
237,0.51263
238,0.51261
239,0.50917
240,0.50903
241,0.50872
242,0.50841
243,0.50809
244,0.50788
245,0.50759
246,0.50747
247,0.50738
248,0.50647
249,0.50602
250,0.50493
251,0.50482
252,0.50413
253,0.50361
254,0.50348
255,0.50319
256,0.50314
257,0.50232
258,0.50163
259,0.5016
260,0.49999
261,0.49938
262,0.49921
263,0.49607
264,0.49215
265,0.49148
266,0.48942
267,0.48891
268,0.48362
269,0.48343
270,0.48339
271,0.47669
272,0.47282
273,0.47158
274,0.46957
275,0.46857
276,0.46786
277,0.46696
278,0.46656
279,0.46566
280,0.46478
281,0.46468
282,0.46452
283,0.46332
284,0.46293
285,0.46285
286,0.46193
287,0.46144
288,0.46086
289,0.46023
290,0.46021
291,0.46005
292,0.45976
293,0.45975
294,0.45928
295,0.45777
296,0.45731
297,0.45726
298,0.45713
299,0.4571
300,0.4565
301,0.45513
302,0.4549
303,0.45321
304,0.45291
305,0.45278
306,0.44998
307,0.4493
308,0.449
309,0.44744
310,0.44389
311,0.44351
312,0.44246
313,0.44129
314,0.43998
315,0.43829
316,0.437
317,0.43104
318,0.42851
319,0.42458
320,0.42339
321,0.4216
322,0.41945
323,0.41829
324,0.41677
325,0.41654
326,0.41637
327,0.41628
328,0.41513
329,0.4147
330,0.40777
331,0.40719
332,0.40696
333,0.40465
334,0.40461
335,0.40368
336,0.40214
337,0.39813
338,0.39808
339,0.3972
340,0.39499
341,0.39106
342,0.36973
343,0.36248
344,0.35799
345,0.35717
346,0.35552
347,0.35473
348,0.33386
349,0.33348
350,0.32998
351,0.32825
352,0.32147
353,0.3197
354,0.31282
355,0.31036
356,0.30444
357,0.28898
358,0.28875
359,0.28735
360,0.28365
361,0.27667
362,0.27384
363,0.27361
364,0.27343
365,0.26824
366,0.22383
367,0.22257
368,0.17145
369,0.16983
370,0.16751
371,0.15173
372,0.13168
373,0.11828
374,0.11683
375,0.11088
376,0.11079
377,0.10657
378,0.10021
379,0.09043
380,0.08436
381,0.0733
382,0.07241
383,0.07193
384,0.07078
385,0.07042
386,0.0688
387,0.06046
388,0.05515
389,0.05266
390,0.04927
391,0.04779
392,0.04572
393,0.03737
394,0.03404
395,0.03404
396,0.03404
397,0.03404
398,0.03404
399,0.03404
400,0.03404
401,0.03404
402,0.03404
403,0.03404
404,0.03404
405,0.03404
406,0.03404
407,0.03404
408,0.03404
409,0.03404
410,0.03404
411,0.03404
412,0.03404
413,0.03404
414,0.03404
415,0.03404
416,0.03404
417,0.03404
418,0.03404
