rank,score
1,0.6897
2,0.6879
3,0.6839
4,0.68
5,0.677
6,0.6768
7,0.6756
8,0.6746
9,0.6741
10,0.6735
11,0.673
12,0.6716
13,0.6713
14,0.6708
15,0.6707
16,0.6705
17,0.6701
18,0.6697
19,0.6683
20,0.6681
21,0.668
22,0.6672
23,0.6667
24,0.6664
25,0.6653
26,0.6653
27,0.665
28,0.6649
29,0.6641
30,0.6635
31,0.6632
32,0.663
33,0.663
34,0.6628
35,0.6627
36,0.6626
37,0.6624
38,0.6615
39,0.6613
40,0.6612
41,0.6611
42,0.6609
43,0.6608
44,0.6608
45,0.6606
46,0.66
47,0.66
48,0.6598
49,0.6595
50,0.6595
51,0.6593
52,0.6592
53,0.659
54,0.659
55,0.6587
56,0.6587
57,0.6583
58,0.6581
59,0.6575
60,0.6573
61,0.6573
62,0.6573
63,0.6572
64,0.6571
65,0.657
66,0.6569
67,0.6568
68,0.6568
69,0.6568
70,0.6564
71,0.6561
72,0.6557
73,0.6557
74,0.6554
75,0.6549
76,0.6548
77,0.6547
78,0.6547
79,0.6546
80,0.6544
81,0.6543
82,0.6541
83,0.6541
84,0.654
85,0.6539
86,0.6538
87,0.6537
88,0.6535
89,0.6533
90,0.6533
91,0.6532
92,0.653
93,0.6529
94,0.6525
95,0.6524
96,0.6522
97,0.6522
98,0.652
99,0.652
100,0.652
101,0.652
102,0.6519
103,0.6519
104,0.6518
105,0.6517
106,0.6515
107,0.6514
108,0.6514
109,0.6514
110,0.6512
111,0.651
112,0.6509
113,0.6509
114,0.6509
115,0.6509
116,0.6509
117,0.6508
118,0.6508
119,0.6507
120,0.6507
121,0.6506
122,0.6505
123,0.6505
124,0.6504
125,0.6504
126,0.6504
127,0.6504
128,0.6504
129,0.6503
130,0.6503
131,0.6502
132,0.6501
133,0.65
134,0.65
135,0.65
136,0.65
137,0.65
138,0.6499
139,0.6499
140,0.6499
141,0.6498
142,0.6498
143,0.6498
144,0.6498
145,0.6496
146,0.6496
147,0.6494
148,0.6493
149,0.6493
150,0.6492
151,0.6491
152,0.6491
153,0.6491
154,0.649
155,0.649
156,0.649
157,0.6488
158,0.6488
159,0.6488
160,0.6486
161,0.6486
162,0.6484
163,0.6484
164,0.6484
165,0.6484
166,0.6484
167,0.6483
168,0.6483
169,0.6483
170,0.6483
171,0.6482
172,0.6481
173,0.6481
174,0.6481
175,0.6481
176,0.648
177,0.6478
178,0.6478
179,0.6477
180,0.6477
181,0.6477
182,0.6474
183,0.6474
184,0.6473
185,0.6473
186,0.6473
187,0.6472
188,0.6469
189,0.6466
190,0.6466
