rank,score
1,0.7746
2,0.774
3,0.7727
4,0.7725
5,0.7713
6,0.7707
7,0.77
8,0.7694
9,0.7693
10,0.7689
11,0.768
12,0.7677
13,0.7674
14,0.7667
15,0.7656
16,0.7652
17,0.7651
18,0.7651
19,0.7649
20,0.7649
21,0.763
22,0.7628
23,0.7624
24,0.7623
25,0.7623
26,0.7619
27,0.7619
28,0.7617
29,0.7613
30,0.7612
31,0.7612
32,0.7611
33,0.7611
34,0.7607
35,0.7604
36,0.7604
37,0.7599
38,0.7598
39,0.7597
40,0.7595
41,0.7595
42,0.7595
43,0.7594
44,0.759
45,0.7585
46,0.7584
47,0.7583
48,0.7582
49,0.7581
50,0.7581
51,0.758
52,0.7578
53,0.7574
54,0.7573
55,0.757
56,0.757
57,0.7567
58,0.7564
59,0.7564
60,0.7563
61,0.7561
62,0.756
63,0.7559
64,0.7556
65,0.7555
66,0.7555
67,0.7552
68,0.7551
69,0.755
70,0.7544
71,0.7542
72,0.7542
73,0.7542
74,0.7539
75,0.7537
76,0.7536
77,0.7536
78,0.7535
79,0.7535
80,0.7535
81,0.7532
82,0.7531
83,0.7528
84,0.7525
85,0.7523
86,0.7523
87,0.7522
88,0.752
89,0.752
90,0.7519
91,0.7519
92,0.7516
93,0.7513
94,0.7509
95,0.7506
96,0.7505
97,0.7505
98,0.7503
99,0.75
100,0.75
101,0.7497
102,0.7496
103,0.7494
104,0.7491
105,0.749
106,0.7488
107,0.7488
108,0.7486
109,0.7485
110,0.7485
111,0.7483
112,0.7482
113,0.748
114,0.7479
115,0.7478
116,0.7477
117,0.7476
118,0.7475
119,0.7473
120,0.7469
121,0.7469
122,0.7468
123,0.7467
124,0.7465
125,0.7464
126,0.7464
127,0.7463
128,0.7463
129,0.7461
130,0.7461
131,0.746
132,0.7459
133,0.7459
134,0.7459
135,0.7458
136,0.7458
137,0.7457
138,0.7456
139,0.7456
140,0.7455
141,0.7455
142,0.7455
143,0.7454
144,0.7453
145,0.7453
146,0.7452
147,0.745
148,0.745
149,0.7449
150,0.7448
151,0.7445
152,0.7444
153,0.7442
154,0.7442
155,0.7441
156,0.744
157,0.744
158,0.744
159,0.7438
160,0.7438
161,0.7438
162,0.7437
163,0.7437
164,0.7436
165,0.7436
166,0.7435
167,0.7435
168,0.7434
169,0.7434
170,0.7433
171,0.7433
172,0.7433
173,0.7429
174,0.7428
175,0.7428
176,0.7428
177,0.7428
178,0.7427
179,0.7426
180,0.7426
181,0.7426
182,0.7423
183,0.7423
184,0.7423
185,0.7422
186,0.7422
187,0.7422
188,0.7421
189,0.742
190,0.742
191,0.742
192,0.7419
193,0.7419
194,0.7418
195,0.7417
196,0.7416
197,0.7415
198,0.7414
199,0.7413
200,0.7412
201,0.741
202,0.7409
203,0.7408
204,0.7408
205,0.7408
206,0.7408
207,0.7407
208,0.7404
209,0.7404
210,0.7402
211,0.74
212,0.7398
213,0.7397
214,0.7396
215,0.7396
216,0.7396
217,0.7396
218,0.7396
219,0.7395
220,0.7395
221,0.7394
222,0.7394
223,0.7393
224,0.7392
225,0.739
226,0.739
227,0.7389
228,0.7388
229,0.7388
230,0.7386
231,0.7385
232,0.7385
233,0.7385
234,0.7384
235,0.7383
236,0.7383
237,0.7381
238,0.738
239,0.738
240,0.738
241,0.7379
242,0.7378
243,0.7378
244,0.7378
245,0.7376
246,0.7376
247,0.7376
248,0.7376
249,0.7375
250,0.7375
251,0.7375
252,0.7374
253,0.7373
254,0.7373
255,0.7373
256,0.7371
257,0.7371
258,0.737
259,0.737
260,0.7367
261,0.7367
262,0.7367
263,0.7365
264,0.7364
265,0.7364
266,0.7364
267,0.7363
268,0.7363
269,0.7362
270,0.7362
271,0.7362
272,0.7362
273,0.7361
274,0.7361
275,0.736
276,0.736
277,0.736
278,0.736
279,0.736
280,0.736
281,0.736
282,0.7359
283,0.7359
284,0.7359
285,0.7359
286,0.7359
287,0.7359
288,0.7359
289,0.7359
290,0.7358
291,0.7358
292,0.7358
293,0.7358
294,0.7358
295,0.7357
296,0.7357
297,0.7356
298,0.7356
299,0.7356
300,0.7356
301,0.7355
302,0.7355
303,0.7355
304,0.7354
305,0.7354
306,0.7353
307,0.7353
308,0.7352
309,0.7351
310,0.7348
311,0.7348
312,0.7348
313,0.7348
314,0.7347
315,0.7346
316,0.7346
317,0.7346
318,0.7346
319,0.7345
320,0.7344
321,0.7343
322,0.7343
323,0.7343
324,0.7343
325,0.7342
326,0.7342
327,0.7341
328,0.7341
329,0.734
330,0.734
331,0.7339
