rank,score
1,0.431
2,0.42895
3,0.42819
4,0.42788
5,0.42714
6,0.42705
7,0.42578
8,0.42563
9,0.42476
10,0.4243
11,0.42425
12,0.42305
13,0.42278
14,0.42178
15,0.42048
16,0.42048
17,0.41973
18,0.41904
19,0.41825
20,0.4177
21,0.41726
22,0.41702
23,0.4144
24,0.41402
25,0.41398
26,0.41271
27,0.41235
28,0.41235
29,0.41229
30,0.41208
31,0.41189
32,0.41145
33,0.41134
34,0.41123
35,0.41105
36,0.41082
37,0.41069
38,0.40923
39,0.40901
40,0.40828
41,0.40784
42,0.40775
43,0.40766
44,0.4076
45,0.40743
46,0.40612
47,0.40535
48,0.40512
49,0.40443
50,0.40426
51,0.40329
52,0.40321
53,0.4029
54,0.4018
55,0.40177
56,0.40165
57,0.40145
58,0.40141
59,0.40095
60,0.40094
61,0.40077
62,0.40058
63,0.40042
64,0.39991
65,0.39985
66,0.3998
67,0.39976
68,0.39973
69,0.39934
70,0.39918
71,0.39893
72,0.39884
73,0.39844
74,0.39811
75,0.39749
76,0.39699
77,0.39645
78,0.39597
79,0.39585
80,0.39562
81,0.39546
82,0.39534
83,0.39507
84,0.39499
85,0.39491
86,0.39443
87,0.39442
88,0.39434
89,0.39429
90,0.39356
91,0.39326
92,0.39303
93,0.39297
94,0.39267
95,0.39255
96,0.39251
97,0.39177
98,0.39104
99,0.39072
100,0.3894
101,0.38905
102,0.38901
103,0.38832
104,0.38789
105,0.38784
106,0.38755
107,0.38739
108,0.38694
109,0.38657
110,0.38613
111,0.3857
112,0.38568
113,0.38566
114,0.38495
115,0.38476
116,0.38469
117,0.38448
118,0.38445
119,0.38426
120,0.38395
121,0.38374
122,0.38348
123,0.38333
124,0.38294
125,0.38243
126,0.38242
127,0.38141
128,0.38124
129,0.38118
130,0.3807
131,0.38068
132,0.38062
133,0.3805
134,0.38035
135,0.38023
136,0.38022
137,0.37964
138,0.37927
139,0.37924
140,0.37916
141,0.37857
142,0.37827
143,0.3782
144,0.37811
145,0.37804
146,0.37788
147,0.37721
148,0.37622
149,0.37592
150,0.37566
151,0.37561
152,0.3756
153,0.37537
154,0.37504
155,0.37502
156,0.375
157,0.37496
158,0.37492
159,0.37492
160,0.37468
161,0.37443
162,0.3744
163,0.37439
164,0.37421
165,0.37397
166,0.37374
167,0.37367
168,0.3735
169,0.37341
170,0.37336
171,0.37297
172,0.37261
173,0.37257
174,0.3725
175,0.37248
176,0.37248
177,0.37247
178,0.37237
179,0.37227
180,0.37224
181,0.37204
182,0.37184
183,0.37181
184,0.37176
185,0.37175
186,0.37163
187,0.37162
188,0.37152
189,0.37144
190,0.37121
191,0.3711
192,0.37094
193,0.37085
194,0.37075
195,0.3707
196,0.37069
197,0.37035
198,0.37018
199,0.36994
200,0.36971
201,0.36969
202,0.36952
203,0.36929
204,0.36929
205,0.3692
206,0.36913
207,0.36912
208,0.36912
209,0.36908
210,0.36904
211,0.36882
212,0.36875
213,0.36854
214,0.36844
215,0.36844
216,0.36841
217,0.36839
218,0.36825
219,0.36815
220,0.36805
221,0.36781
222,0.36772
223,0.3677
224,0.36764
225,0.36764
226,0.36762
227,0.36758
228,0.36758
229,0.36758
230,0.36758
231,0.36758
232,0.36758
233,0.36758
234,0.36758
235,0.36757
236,0.36754
237,0.36752
238,0.36752
239,0.36747
240,0.3674
241,0.36738
242,0.36727
243,0.36724
244,0.36722
245,0.36715
246,0.36715
247,0.36708
248,0.36686
249,0.36679
250,0.36673
251,0.36665
252,0.36614
253,0.36603
254,0.36596
255,0.36586
256,0.36582
257,0.36574
258,0.36569
259,0.36555
260,0.36529
261,0.36527
262,0.36523
263,0.36522
264,0.3652
265,0.36519
266,0.36517
267,0.36517
268,0.36513
269,0.36511
270,0.36511
271,0.3651
272,0.36509
273,0.36509
274,0.36509
275,0.36509
276,0.36509
277,0.36509
278,0.36509
279,0.36509
280,0.36509
281,0.36509
282,0.36509
283,0.36509
284,0.36509
285,0.36509
286,0.36509
287,0.36509
288,0.36509
289,0.36509
290,0.36509
291,0.36509
292,0.36509
293,0.36509
294,0.36509
295,0.36509
296,0.36509
297,0.36509
298,0.36509
299,0.36509
300,0.36509
301,0.36509
302,0.36509
303,0.36509
304,0.36509
305,0.36509
306,0.36509
307,0.36509
308,0.36509
309,0.36509
310,0.36509
311,0.36509
312,0.36509
313,0.36509
314,0.36509
315,0.36509
316,0.36509
317,0.36509
318,0.36509
319,0.36509
320,0.36509
321,0.36509
322,0.36509
323,0.36509
324,0.36509
325,0.36509
326,0.36509
327,0.36509
328,0.36509
329,0.36509
330,0.36509
331,0.36509
332,0.36509
333,0.36509
334,0.36509
335,0.36509
336,0.36509
337,0.36509
338,0.36509
339,0.36509
340,0.36509
341,0.36509
342,0.36509
343,0.36509
344,0.36509
345,0.36509
346,0.36509
347,0.36509
348,0.36509
349,0.36509
350,0.36509
351,0.36509
352,0.36509
353,0.36509
354,0.36509
355,0.36509
356,0.36509
357,0.36509
358,0.36509
359,0.36509
360,0.36509
361,0.36509
362,0.36509
363,0.36509
364,0.36509
365,0.36509
366,0.36509
367,0.36509
368,0.36509
369,0.36509
370,0.36509
371,0.36509
372,0.36509
373,0.36509
374,0.36509
375,0.36509
376,0.36509
377,0.36509
378,0.36509
379,0.36509
380,0.36509
381,0.36509
382,0.36509
383,0.36509
384,0.36509
385,0.36509
386,0.36509
387,0.36509
388,0.36509
389,0.36509
390,0.36509
391,0.36509
392,0.36509
393,0.36509
394,0.36509
395,0.36509
396,0.36509
397,0.36509
398,0.36509
399,0.36509
