rank,score
1,0.48967
2,0.48837
3,0.48741
4,0.48521
5,0.47768
6,0.47554
7,0.47302
8,0.47259
9,0.47023
10,0.4698
11,0.4691
12,0.4685
13,0.46745
14,0.46725
15,0.46701
16,0.46594
17,0.46568
18,0.46457
19,0.4612
20,0.46099
21,0.46096
22,0.46096
23,0.4609
24,0.45979
25,0.45861
26,0.45777
27,0.45711
28,0.45699
29,0.45692
30,0.45557
31,0.45346
32,0.45339
33,0.45305
34,0.45287
35,0.45223
36,0.45206
37,0.45131
38,0.45045
39,0.44994
40,0.44962
41,0.44928
42,0.44832
43,0.44792
44,0.44708
45,0.44701
46,0.44692
47,0.44681
48,0.44453
49,0.44427
50,0.4437
51,0.44356
52,0.44346
53,0.44272
54,0.44238
55,0.44223
56,0.44197
57,0.44168
58,0.44151
59,0.4412
60,0.44115
61,0.44035
62,0.44011
63,0.43979
64,0.43938
65,0.43933
66,0.43831
67,0.43813
68,0.43668
69,0.43586
70,0.43574
71,0.43566
72,0.43447
73,0.43401
74,0.43374
75,0.43367
76,0.43328
77,0.43301
78,0.43292
79,0.43268
80,0.43241
81,0.43163
82,0.43155
83,0.4315
84,0.43149
85,0.43067
86,0.43053
87,0.43004
88,0.42986
89,0.42981
90,0.42979
91,0.42963
92,0.42936
93,0.42918
94,0.42905
95,0.4278
96,0.42762
97,0.42712
98,0.42704
99,0.427
100,0.42679
101,0.42676
102,0.42669
103,0.42661
104,0.42634
105,0.42611
106,0.42583
107,0.42495
108,0.42446
109,0.42445
110,0.42395
111,0.42346
112,0.42292
113,0.42265
114,0.42205
115,0.42162
116,0.42139
117,0.42088
118,0.42067
119,0.42054
120,0.41978
121,0.41971
122,0.41915
123,0.41912
124,0.41867
125,0.41844
126,0.41841
127,0.41836
128,0.41832
129,0.41777
130,0.41737
131,0.41642
132,0.41641
133,0.41596
134,0.41578
135,0.41578
136,0.41557
137,0.41536
138,0.41468
139,0.41467
140,0.41401
141,0.4137
142,0.4137
143,0.41354
144,0.41337
145,0.41181
146,0.41149
147,0.41116
148,0.41035
149,0.40985
150,0.40966
151,0.40936
152,0.40924
153,0.40897
154,0.40881
155,0.40854
156,0.40834
157,0.40824
158,0.4078
159,0.40684
160,0.40678
161,0.40603
162,0.40541
163,0.40537
164,0.40514
165,0.4051
166,0.40508
167,0.405
168,0.40497
169,0.40479
170,0.40446
171,0.40391
172,0.40391
173,0.40391
174,0.40391
175,0.40374
176,0.40364
177,0.40362
178,0.40338
179,0.40289
180,0.40267
181,0.40225
182,0.40209
183,0.40207
184,0.40205
185,0.40183
186,0.40162
187,0.4015
188,0.40134
189,0.40114
190,0.40108
191,0.40075
192,0.40072
193,0.40063
194,0.40054
195,0.40044
196,0.40003
197,0.39995
198,0.39908
199,0.39885
200,0.3986
201,0.39855
202,0.39851
203,0.39846
204,0.39837
205,0.39837
206,0.39836
207,0.39831
208,0.39816
209,0.39796
210,0.39754
211,0.39719
212,0.39715
213,0.3971
214,0.39705
