rank,score
1,0.4426
2,0.44355
3,0.44408
4,0.44469
5,0.44625
6,0.44729
7,0.44859
8,0.4492
9,0.44928
10,0.44941
11,0.44969
12,0.4497
13,0.44989
14,0.4499
15,0.45099
16,0.45133
17,0.45191
18,0.45287
19,0.4532
20,0.45346
21,0.45363
22,0.45366
23,0.45384
24,0.45462
25,0.4553
26,0.45571
27,0.45575
28,0.45579
29,0.45582
30,0.45588
31,0.45592
32,0.45605
33,0.45613
34,0.45615
35,0.45633
36,0.45636
37,0.45677
38,0.45685
39,0.4572
40,0.4572
41,0.45737
42,0.45788
43,0.45789
44,0.45809
45,0.45811
46,0.45844
47,0.45869
48,0.45889
49,0.45924
50,0.45938
51,0.4596
52,0.45987
53,0.46003
54,0.46007
55,0.4601
56,0.46022
57,0.46027
58,0.46044
59,0.46063
60,0.46071
61,0.46073
62,0.46076
63,0.46077
64,0.4608
65,0.46104
66,0.4611
67,0.46118
68,0.46122
69,0.46123
70,0.46143
71,0.46149
72,0.46158
73,0.46169
74,0.46191
75,0.46205
76,0.46221
77,0.46273
78,0.46298
79,0.46303
80,0.46305
81,0.46321
82,0.46332
83,0.4634
84,0.46343
85,0.46348
86,0.46365
87,0.46377
88,0.46381
89,0.46402
90,0.46408
91,0.46429
92,0.46436
93,0.46448
94,0.46455
95,0.46458
96,0.46474
97,0.46506
98,0.46509
99,0.46554
100,0.46563
101,0.46578
102,0.466
103,0.46606
104,0.46613
105,0.46623
106,0.46667
107,0.4668
108,0.46689
109,0.46693
110,0.4674
111,0.46751
112,0.46753
113,0.46766
114,0.46768
115,0.46773
116,0.46781
117,0.46808
118,0.4682
119,0.46827
120,0.46836
121,0.46843
122,0.46874
123,0.46882
124,0.46885
125,0.46901
126,0.4693
127,0.46939
128,0.46944
129,0.46952
130,0.46974
131,0.46992
132,0.47017
133,0.47019
134,0.47036
135,0.47045
136,0.47046
137,0.47052
138,0.47052
139,0.47061
140,0.47078
141,0.47084
142,0.47103
143,0.47115
144,0.47165
145,0.47196
146,0.47196
147,0.47197
148,0.47208
149,0.47208
150,0.47222
151,0.47229
152,0.47236
153,0.47263
154,0.47271
155,0.47282
156,0.47313
157,0.47319
158,0.47334
159,0.47342
160,0.47353
161,0.47358
162,0.47398
163,0.474
164,0.47414
165,0.47415
166,0.4742
167,0.47431
168,0.47434
169,0.4744
170,0.47455
171,0.47473
172,0.47474
173,0.47482
174,0.47485
175,0.47491
176,0.47493
177,0.47509
178,0.47513
179,0.47522
180,0.47529
181,0.47543
182,0.47543
183,0.47562
184,0.47564
185,0.47564
186,0.47591
187,0.47626
188,0.47637
189,0.47645
190,0.47653
191,0.47659
192,0.47669
193,0.47679
194,0.47708
195,0.4771
196,0.47719
197,0.47719
198,0.47725
199,0.47732
200,0.4775
201,0.47757
202,0.47761
203,0.47763
204,0.47764
205,0.47765
206,0.47766
207,0.47805
208,0.47827
209,0.4783
210,0.47831
211,0.47833
212,0.47853
213,0.47859
214,0.47863
215,0.47871
216,0.47871
217,0.47897
218,0.47904
219,0.47916
220,0.47922
221,0.47925
222,0.47931
223,0.47941
224,0.47947
225,0.47947
226,0.4796
227,0.47967
228,0.47982
229,0.47996
230,0.47997
231,0.48
232,0.48004
233,0.48004
234,0.48012
235,0.48016
236,0.48019
237,0.48027
238,0.48028
239,0.48032
240,0.48047
241,0.48048
242,0.48051
243,0.48052
244,0.48053
245,0.48054
246,0.48055
247,0.48057
248,0.48064
249,0.4807
250,0.48073
251,0.48074
252,0.48076
253,0.48083
254,0.48087
