rank,score
1,0.4269
2,0.42701
3,0.42809
4,0.42999
5,0.43215
6,0.43313
7,0.43415
8,0.43436
9,0.43442
10,0.43541
11,0.43561
12,0.43579
13,0.43593
14,0.43594
15,0.43612
16,0.43635
17,0.43653
18,0.43664
19,0.43666
20,0.43669
21,0.43684
22,0.43687
23,0.43722
24,0.43738
25,0.43776
26,0.43785
27,0.43788
28,0.43799
29,0.43814
30,0.43816
31,0.43837
32,0.43844
33,0.43862
34,0.43899
35,0.43908
36,0.43936
37,0.43938
38,0.43939
39,0.4394
40,0.43945
41,0.43953
42,0.43967
43,0.43976
44,0.43979
45,0.43985
46,0.43995
47,0.44001
48,0.44003
49,0.4402
50,0.44031
51,0.44055
52,0.44071
53,0.44078
54,0.44121
55,0.44127
56,0.4416
57,0.44164
58,0.44167
59,0.44172
60,0.44173
61,0.44176
62,0.44204
63,0.44218
64,0.44239
65,0.44255
66,0.44279
67,0.44318
68,0.44322
69,0.44322
70,0.44334
71,0.44362
72,0.44368
73,0.4437
74,0.44377
75,0.44408
76,0.44414
77,0.44424
78,0.44441
79,0.44442
80,0.44452
81,0.44459
82,0.44463
83,0.44478
84,0.44483
85,0.44488
86,0.44498
87,0.44499
88,0.44499
89,0.44502
90,0.44512
91,0.4452
92,0.44531
93,0.44543
94,0.44545
95,0.44549
96,0.44557
97,0.44567
98,0.4457
99,0.44572
100,0.44577
101,0.44578
102,0.4458
103,0.44584
104,0.44586
105,0.44603
106,0.44604
107,0.44604
108,0.44618
109,0.44623
110,0.44624
111,0.44626
112,0.44626
113,0.44628
114,0.44629
115,0.44629
116,0.44637
117,0.44653
118,0.44675
119,0.44675
120,0.44675
121,0.44677
122,0.44681
123,0.44688
124,0.44694
125,0.44695
126,0.4471
127,0.44714
128,0.44716
129,0.4472
130,0.44737
131,0.44739
132,0.44749
133,0.44763
134,0.44764
135,0.44765
136,0.4477
137,0.44771
138,0.44776
139,0.44786
140,0.44793
141,0.44802
142,0.44804
143,0.44815
144,0.44833
145,0.44841
146,0.44844
147,0.44846
148,0.44847
149,0.44852
150,0.44855
151,0.44863
152,0.44867
153,0.44868
154,0.44869
155,0.44871
156,0.44875
157,0.44881
158,0.4489
159,0.44897
160,0.449
161,0.44912
162,0.44916
163,0.44916
164,0.44918
165,0.44936
166,0.44942
167,0.44942
168,0.44947
169,0.44952
170,0.44953
171,0.44954
172,0.44956
173,0.44956
174,0.44956
175,0.44956
176,0.44957
177,0.44974
178,0.44974
179,0.44979
180,0.44983
181,0.44985
182,0.44986
183,0.44986
184,0.44987
185,0.44988
186,0.45007
187,0.45008
188,0.45009
189,0.4501
190,0.45016
191,0.45017
192,0.4502
193,0.4502
194,0.45021
195,0.4503
196,0.45034
197,0.45035
198,0.45039
199,0.45043
200,0.4505
201,0.4505
202,0.45053
203,0.45054
204,0.45055
205,0.4506
206,0.45064
207,0.45073
208,0.45077
209,0.45078
210,0.45081
211,0.45084
212,0.45088
213,0.45089
214,0.45095
215,0.45106
216,0.45108
217,0.4511
218,0.4511
219,0.45116
220,0.45121
221,0.45137
222,0.45144
223,0.45148
224,0.4515
225,0.45152
226,0.4516
227,0.45169
228,0.45171
229,0.45173
230,0.45183
231,0.45184
232,0.45194
233,0.45194
234,0.45196
235,0.45197
236,0.45203
237,0.45207
238,0.4521
239,0.45211
240,0.45214
241,0.45217
242,0.45222
243,0.45233
244,0.45237
245,0.45244
246,0.45245
247,0.45245
248,0.45251
249,0.45264
250,0.45266
251,0.45271
252,0.45275
253,0.45282
254,0.45283
255,0.4529
256,0.45292
257,0.45305
258,0.45314
259,0.45316
260,0.45322
261,0.45322
262,0.45322
263,0.4534
264,0.45342
265,0.45345
266,0.45351
267,0.45351
268,0.45353
269,0.45367
270,0.45371
271,0.45374
272,0.4538
273,0.45407
274,0.4541
275,0.45415
276,0.45422
277,0.45425
278,0.45427
279,0.45441
280,0.45444
281,0.45451
282,0.45456
283,0.45463
284,0.45476
285,0.45488
286,0.4549
287,0.45499
288,0.45511
289,0.4552
290,0.45535
291,0.45537
292,0.45539
293,0.45552
294,0.45563
295,0.45564
296,0.45572
297,0.45586
298,0.45586
299,0.45588
300,0.4559
301,0.45598
302,0.45609
303,0.45614
304,0.45623
305,0.45644
306,0.45646
307,0.45654
308,0.45655
309,0.45667
310,0.45668
311,0.45673
312,0.45675
313,0.45682
314,0.45691
315,0.45691
316,0.45704
317,0.45708
318,0.45709
319,0.45719
320,0.45728
321,0.45731
322,0.45732
323,0.45733
324,0.45737
325,0.4574
326,0.45757
327,0.45778
328,0.4581
329,0.45817
330,0.45822
331,0.45822
332,0.45837
333,0.45838
334,0.45846
335,0.4586
336,0.45873
337,0.45886
338,0.45912
339,0.45912
340,0.4592
341,0.45925
342,0.45927
343,0.45932
344,0.4594
345,0.45961
346,0.4597
347,0.45981
348,0.45995
349,0.45997
350,0.45998
351,0.46
352,0.46005
353,0.46012
354,0.46021
355,0.46026
356,0.46036
357,0.46039
358,0.46044
359,0.46046
360,0.46048
361,0.46049
362,0.4606
363,0.46066
364,0.46073
365,0.46075
366,0.46082
367,0.46083
368,0.46091
369,0.46105
370,0.46122
371,0.46122
372,0.46126
373,0.46127
374,0.46128
375,0.46145
376,0.46167
377,0.46183
378,0.46186
379,0.46213
380,0.46227
381,0.46235
382,0.46236
383,0.46237
384,0.46239
385,0.46245
386,0.46248
387,0.46253
388,0.46256
389,0.46257
390,0.46266
391,0.46273
392,0.46273
393,0.46273
394,0.46279
395,0.4628
396,0.46292
397,0.46298
398,0.46307
399,0.46308
400,0.4631
401,0.46332
402,0.46332
403,0.46336
404,0.46348
405,0.46361
406,0.46372
407,0.46383
408,0.46398
409,0.46398
410,0.46459
411,0.46472
412,0.46488
413,0.465
414,0.46509
415,0.46547
416,0.46561
417,0.46571
418,0.4662
419,0.46632
420,0.46687
421,0.46691
422,0.46699
423,0.46701
424,0.46727
425,0.46728
426,0.4676
427,0.46794
428,0.46799
429,0.46801
430,0.46841
431,0.46844
432,0.46857
433,0.46892
434,0.46906
435,0.46916
436,0.46947
437,0.46956
438,0.46966
439,0.46975
440,0.46976
441,0.46979
442,0.4698
443,0.46986
444,0.46997
445,0.46998
446,0.46999
447,0.47
448,0.47
449,0.47
450,0.47
451,0.47
452,0.47
453,0.47
454,0.47
455,0.47
456,0.47
457,0.47
458,0.47
459,0.47
460,0.47
461,0.47
462,0.47
463,0.47
464,0.47
465,0.47
466,0.47
467,0.47
468,0.47
469,0.47
470,0.47
471,0.47
472,0.47
473,0.47
474,0.47
475,0.47
476,0.47
477,0.47
478,0.47
479,0.47
480,0.47
481,0.47
482,0.47
483,0.47
484,0.47
485,0.47
486,0.47
487,0.47
488,0.47
489,0.47
490,0.47
491,0.47
492,0.47
493,0.47
494,0.47
495,0.47
496,0.47
497,0.47
498,0.47
499,0.47
500,0.47
501,0.47
502,0.47
503,0.47
504,0.47
505,0.47
506,0.47
507,0.47
508,0.47
509,0.47
510,0.47
511,0.47
512,0.47
513,0.47
514,0.47
515,0.47
516,0.47
517,0.47
518,0.47
519,0.47
520,0.47
521,0.47
522,0.47
523,0.47
524,0.47001
525,0.47001
526,0.47001
527,0.47001
528,0.47001
529,0.47001
530,0.47001
531,0.47001
532,0.47001
533,0.47001
534,0.47001
535,0.47001
536,0.47001
537,0.47001
538,0.47001
539,0.47001
540,0.47001
541,0.47001
542,0.47001
543,0.47001
544,0.47001
545,0.47001
546,0.47001
547,0.47001
548,0.47001
549,0.47001
550,0.47001
551,0.47001
