rank,score
1,0.03792
2,0.03741
3,0.03623
4,0.03563
5,0.03553
6,0.03529
7,0.03499
8,0.03476
9,0.03465
10,0.03426
11,0.03414
12,0.03394
13,0.03389
14,0.03373
15,0.03354
16,0.03345
17,0.03336
18,0.03333
19,0.0333
20,0.03315
21,0.03313
22,0.03296
23,0.03288
24,0.03255
25,0.03252
26,0.03229
27,0.03224
28,0.03212
29,0.0321
30,0.03177
31,0.03157
32,0.03155
33,0.0314
34,0.03128
35,0.03122
36,0.03096
37,0.03084
38,0.03073
39,0.03066
40,0.03057
41,0.03032
42,0.03028
43,0.03
44,0.02996
45,0.02986
46,0.02962
47,0.02956
48,0.02936
49,0.02923
50,0.02915
51,0.02912
52,0.02897
53,0.02883
54,0.02883
55,0.02882
56,0.02874
57,0.02868
58,0.02859
59,0.02857
60,0.02848
61,0.0283
62,0.02823
63,0.02813
64,0.02803
65,0.02796
66,0.02791
67,0.02784
68,0.02783
69,0.0278
70,0.02776
71,0.02775
72,0.02774
73,0.02763
74,0.02763
75,0.02762
76,0.02758
77,0.02758
78,0.02757
79,0.02735
80,0.02732
81,0.02723
82,0.02721
83,0.0272
84,0.02715
85,0.02712
86,0.02705
87,0.02699
88,0.02691
89,0.02689
90,0.02686
91,0.02685
92,0.02681
93,0.02677
94,0.02672
95,0.0267
96,0.02661
97,0.02659
98,0.02652
99,0.02648
100,0.02648
101,0.02647
102,0.02646
103,0.02643
104,0.02643
105,0.02642
106,0.0264
107,0.0264
108,0.02639
109,0.02639
110,0.02638
111,0.02636
112,0.02635
113,0.02634
114,0.02633
115,0.02632
116,0.02632
117,0.02631
118,0.02627
119,0.02625
120,0.02624
121,0.02624
122,0.0262
123,0.02617
124,0.02616
125,0.02609
126,0.02607
127,0.02607
128,0.02606
129,0.02605
130,0.026
131,0.02591
132,0.02589
133,0.02587
134,0.02578
135,0.02574
136,0.02572
137,0.0257
138,0.02567
139,0.0256
140,0.0256
141,0.02557
142,0.02554
143,0.02552
144,0.02549
145,0.02547
146,0.02543
147,0.02517
148,0.02517
149,0.02512
150,0.02512
151,0.02507
152,0.02504
153,0.02502
154,0.02499
155,0.02499
156,0.02499
157,0.02497
158,0.02497
159,0.02487
160,0.02486
161,0.02485
162,0.02482
163,0.0248
164,0.02479
165,0.02478
166,0.02477
167,0.02475
168,0.02474
169,0.02474
170,0.02471
171,0.0247
172,0.02467
173,0.02464
174,0.02463
175,0.02463
176,0.02462
177,0.02459
178,0.02457
179,0.02451
180,0.02448
181,0.02446
182,0.02445
183,0.02444
184,0.02443
185,0.02442
186,0.02437
187,0.02436
188,0.02436
189,0.02435
190,0.02434
191,0.02433
192,0.0243
193,0.0243
194,0.0243
195,0.02426
196,0.02426
197,0.02426
198,0.02426
199,0.02426
200,0.02426
201,0.02425
202,0.02425
203,0.02425
204,0.02422
205,0.02422
206,0.02421
207,0.0242
208,0.0242
209,0.0242
210,0.0242
211,0.0242
212,0.02419
213,0.02418
214,0.02417
215,0.02417
216,0.02417
217,0.02416
218,0.02416
219,0.02415
220,0.02414
221,0.02414
222,0.02414
223,0.02413
224,0.02413
225,0.02412
226,0.0241
227,0.02409
228,0.02409
229,0.02408
230,0.02408
231,0.02407
232,0.02407
233,0.02406
234,0.02406
235,0.02406
236,0.02406
237,0.02406
238,0.02405
239,0.02405
240,0.02405
241,0.02404
242,0.02404
243,0.02403
244,0.02403
245,0.02401
246,0.02401
247,0.02401
248,0.02401
249,0.02401
250,0.02401
251,0.024
252,0.024
253,0.024
254,0.024
255,0.024
256,0.02399
257,0.02399
258,0.02399
259,0.02399
260,0.02399
261,0.02399
262,0.02399
263,0.02399
264,0.02399
265,0.02399
266,0.02399
267,0.02399
268,0.02398
269,0.02398
270,0.02398
271,0.02398
272,0.02397
273,0.02397
274,0.02397
275,0.02397
276,0.02397
277,0.02397
278,0.02397
279,0.02396
280,0.02396
281,0.02396
282,0.02396
283,0.02396
284,0.02396
285,0.02396
286,0.02396
287,0.02396
288,0.02395
289,0.02395
290,0.02395
291,0.02395
292,0.02395
293,0.02395
294,0.02394
295,0.02394
296,0.02394
297,0.02394
298,0.02394
299,0.02394
300,0.02393
301,0.02393
302,0.02393
303,0.02393
304,0.02393
305,0.02393
306,0.02393
307,0.02393
308,0.02393
309,0.02393
310,0.02393
311,0.02393
312,0.02393
313,0.02393
314,0.02393
315,0.02392
316,0.02392
317,0.02392
318,0.02392
319,0.02392
320,0.02392
321,0.02392
322,0.02392
323,0.02392
324,0.02392
325,0.02392
326,0.02392
327,0.02392
328,0.02392
329,0.02392
330,0.02392
331,0.02392
332,0.02392
333,0.02392
334,0.02392
335,0.02392
336,0.02392
337,0.02392
338,0.02392
339,0.02392
340,0.02392
341,0.02392
342,0.02392
343,0.02392
344,0.02392
345,0.02392
346,0.02392
347,0.02392
348,0.02392
349,0.02392
350,0.02392
351,0.02392
352,0.02392
353,0.02392
354,0.02392
355,0.02392
356,0.02392
357,0.02392
358,0.02392
359,0.02392
360,0.02392
361,0.02392
362,0.02392
363,0.02392
364,0.02392
365,0.02392
366,0.02392
367,0.02392
368,0.02392
369,0.02392
370,0.02392
371,0.02392
372,0.02392
373,0.02392
374,0.02392
375,0.02392
376,0.02392
377,0.02392
378,0.02392
379,0.02392
380,0.02392
381,0.02392
382,0.02392
383,0.02392
384,0.02392
385,0.02392
386,0.02392
387,0.02392
388,0.02392
389,0.02392
390,0.02392
391,0.02392
392,0.02392
393,0.02392
394,0.02392
395,0.02392
396,0.02392
397,0.02392
398,0.02392
399,0.02392
400,0.02392
401,0.02392
402,0.02392
403,0.02392
404,0.02392
405,0.02392
406,0.02392
407,0.02392
408,0.02392
409,0.02392
410,0.02392
411,0.02392
412,0.02392
413,0.02392
414,0.02392
415,0.02392
416,0.02392
417,0.02392
418,0.02392
419,0.02392
420,0.02392
421,0.02392
422,0.02392
423,0.02392
424,0.02392
425,0.02392
426,0.02392
427,0.02392
428,0.02392
429,0.02392
430,0.02392
431,0.02392
432,0.02392
433,0.02392
434,0.02392
435,0.02392
436,0.02392
437,0.02392
438,0.02392
439,0.02392
440,0.02392
441,0.02392
442,0.02392
443,0.02392
444,0.02391
445,0.02391
446,0.02391
447,0.02391
448,0.02391
449,0.02391
450,0.0239
451,0.0239
452,0.0239
453,0.0239
454,0.0239
455,0.0239
456,0.0239
457,0.02389
458,0.02389
459,0.02389
460,0.02389
461,0.02389
462,0.02388
463,0.02388
464,0.02388
465,0.02388
466,0.02388
467,0.02388
468,0.02388
469,0.02388
470,0.02388
471,0.02387
472,0.02387
473,0.02387
474,0.02386
475,0.02386
476,0.02386
477,0.02386
478,0.02385
479,0.02385
480,0.02385
481,0.02385
482,0.02385
483,0.02385
484,0.02385
485,0.02385
486,0.02385
487,0.02385
488,0.02385
489,0.02384
490,0.02384
491,0.02384
492,0.02383
493,0.02383
494,0.02383
495,0.02383
496,0.02383
497,0.02383
498,0.02383
499,0.02382
500,0.02382
501,0.02382
502,0.02382
503,0.02382
504,0.02382
505,0.02382
506,0.02381
507,0.02381
508,0.02381
509,0.02381
510,0.0238
511,0.02379
512,0.02379
513,0.02379
514,0.02379
515,0.02379
516,0.02379
517,0.02379
518,0.02379
519,0.02379
520,0.02378
521,0.02378
522,0.02378
523,0.02378
524,0.02377
525,0.02377
526,0.02377
527,0.02377
528,0.02377
529,0.02376
530,0.02376
531,0.02376
532,0.02376
533,0.02375
534,0.02375
535,0.02375
536,0.02374
537,0.02374
538,0.02374
539,0.02374
540,0.02374
541,0.02373
542,0.02373
543,0.02373
544,0.02373
545,0.02372
546,0.02372
547,0.02372
548,0.02372
549,0.02372
550,0.02372
551,0.02372
552,0.02372
553,0.02372
554,0.02372
555,0.02372
556,0.02371
557,0.02371
558,0.02371
559,0.02371
560,0.02371
561,0.02371
562,0.0237
563,0.0237
564,0.0237
565,0.0237
566,0.0237
567,0.0237
568,0.0237
569,0.0237
570,0.0237
571,0.0237
572,0.0237
573,0.0237
574,0.0237
575,0.0237
576,0.0237
577,0.0237
578,0.0237
579,0.0237
580,0.0237
581,0.0237
582,0.0237
583,0.0237
584,0.0237
585,0.0237
586,0.0237
587,0.0237
588,0.0237
589,0.0237
590,0.0237
591,0.0237
592,0.0237
593,0.0237
594,0.0237
595,0.0237
596,0.0237
597,0.0237
598,0.0237
599,0.0237
600,0.0237
601,0.0237
602,0.0237
603,0.0237
604,0.0237
605,0.0237
606,0.0237
607,0.0237
608,0.0237
609,0.0237
610,0.0237
611,0.0237
612,0.0237
613,0.0237
614,0.0237
615,0.0237
616,0.0237
617,0.0237
618,0.0237
619,0.0237
620,0.0237
621,0.0237
622,0.0237
623,0.0237
624,0.0237
625,0.0237
626,0.0237
627,0.0237
628,0.0237
629,0.0237
630,0.0237
631,0.0237
632,0.0237
633,0.0237
634,0.0237
635,0.0237
636,0.0237
637,0.0237
638,0.0237
639,0.0237
640,0.0237
641,0.0237
642,0.0237
643,0.0237
644,0.0237
645,0.0237
646,0.0237
647,0.0237
648,0.0237
649,0.0237
650,0.0237
651,0.0237
652,0.0237
653,0.0237
654,0.0237
655,0.0237
656,0.0237
657,0.0237
658,0.0237
659,0.0237
660,0.0237
661,0.0237
662,0.0237
663,0.0237
664,0.0237
665,0.0237
666,0.0237
667,0.0237
668,0.0237
669,0.0237
670,0.0237
671,0.0237
672,0.0237
673,0.0237
674,0.0237
675,0.0237
676,0.0237
677,0.0237
678,0.0237
679,0.0237
680,0.0237
681,0.0237
682,0.0237
683,0.0237
684,0.0237
685,0.0237
686,0.0237
687,0.0237
688,0.0237
689,0.0237
690,0.0237
691,0.0237
692,0.0237
693,0.0237
694,0.0237
695,0.0237
696,0.0237
697,0.0237
698,0.0237
699,0.02368
700,0.02368
701,0.02368
702,0.02367
703,0.02367
704,0.02367
705,0.02367
706,0.02367
707,0.02367
708,0.02366
709,0.02366
710,0.02366
711,0.02365
712,0.02365
713,0.02365
714,0.02365
715,0.02365
716,0.02365
717,0.02365
718,0.02365
719,0.02365
720,0.02365
721,0.02365
722,0.02365
723,0.02365
724,0.02365
725,0.02365
726,0.02365
727,0.02365
728,0.02365
729,0.02365
730,0.02365
731,0.02365
732,0.02364
733,0.02364
734,0.02364
735,0.02364
736,0.02364
737,0.02364
738,0.02364
739,0.02364
740,0.02364
741,0.02364
742,0.02364
743,0.02364
744,0.02364
745,0.02359
746,0.02359
747,0.02358
748,0.02358
749,0.02358
750,0.02358
751,0.02357
752,0.02357
753,0.02357
754,0.02357
755,0.02357
756,0.02356
757,0.02356
758,0.02356
759,0.02355
760,0.02354
761,0.02354
762,0.02353
763,0.02353
764,0.02352
765,0.02352
766,0.02352
767,0.02351
768,0.02351
769,0.02351
770,0.02351
771,0.0235
772,0.0235
773,0.0235
774,0.02349
775,0.02349
776,0.02349
777,0.02349
778,0.02348
779,0.02348
780,0.02348
781,0.02348
782,0.02348
783,0.02347
784,0.02347
785,0.02346
786,0.02346
787,0.02346
788,0.02346
789,0.02346
790,0.02345
791,0.02345
792,0.02345
793,0.02345
794,0.02345
795,0.02345
796,0.02345
797,0.02345
798,0.02345
799,0.02344
800,0.02344
801,0.02344
802,0.02344
803,0.02344
804,0.02344
805,0.02344
806,0.02344
807,0.02344
808,0.02344
809,0.02344
810,0.02344
811,0.02344
812,0.02344
813,0.02344
814,0.02344
815,0.02344
816,0.02344
817,0.02344
818,0.02344
819,0.02344
820,0.02344
821,0.02344
822,0.02344
823,0.02344
824,0.02344
825,0.02344
826,0.02344
827,0.02344
828,0.02344
829,0.02344
830,0.02344
831,0.02344
832,0.02344
833,0.02344
834,0.02344
835,0.02344
836,0.02344
837,0.02344
838,0.02344
839,0.02344
840,0.02344
841,0.02344
842,0.02344
843,0.02344
844,0.02344
845,0.02344
846,0.02344
847,0.02344
848,0.02344
849,0.02344
850,0.02344
851,0.02344
852,0.02344
853,0.02344
854,0.02344
855,0.02344
856,0.02344
857,0.02344
858,0.02344
859,0.02344
860,0.02344
861,0.02344
862,0.02344
863,0.02344
864,0.02344
865,0.02344
866,0.02344
867,0.02344
868,0.02344
869,0.02344
870,0.02344
871,0.02344
872,0.02344
873,0.02344
874,0.02344
875,0.02344
876,0.02344
877,0.02344
878,0.02344
879,0.02344
880,0.02344
881,0.02344
882,0.02344
883,0.02344
884,0.02344
885,0.02344
886,0.02344
887,0.02344
888,0.02344
889,0.02344
890,0.02344
891,0.02344
892,0.02344
893,0.02344
894,0.02344
895,0.02344
896,0.02344
897,0.02344
898,0.02344
899,0.02344
900,0.02344
901,0.02344
902,0.02344
903,0.02344
904,0.02344
905,0.02344
906,0.02344
907,0.02344
908,0.02344
909,0.02344
910,0.02344
911,0.02344
912,0.02344
913,0.02344
914,0.02344
915,0.02344
916,0.02344
917,0.02344
918,0.02344
919,0.02344
920,0.02344
921,0.02344
922,0.02344
923,0.02344
924,0.02344
925,0.02344
926,0.02344
927,0.02344
928,0.02344
929,0.02344
930,0.02344
931,0.02344
932,0.02344
933,0.02344
934,0.02344
935,0.02344
936,0.02344
937,0.02344
938,0.02344
939,0.02344
940,0.02344
941,0.02344
942,0.02344
943,0.02344
944,0.02344
945,0.02344
946,0.02343
947,0.02343
948,0.02343
949,0.02343
