rank,score
1,0.03716
2,0.03683
3,0.03555
4,0.03544
5,0.03536
6,0.03494
7,0.03442
8,0.03436
9,0.03429
10,0.03421
11,0.03413
12,0.03413
13,0.03372
14,0.03358
15,0.03357
16,0.03346
17,0.03322
18,0.0332
19,0.03302
20,0.033
21,0.03294
22,0.03288
23,0.03277
24,0.03272
25,0.03271
26,0.03234
27,0.03215
28,0.03215
29,0.03163
30,0.03161
31,0.03161
32,0.03157
33,0.0315
34,0.03146
35,0.03129
36,0.03097
37,0.03076
38,0.03073
39,0.03055
40,0.03051
41,0.03042
42,0.03035
43,0.03029
44,0.03014
45,0.03007
46,0.03005
47,0.03002
48,0.02989
49,0.02941
50,0.02929
51,0.0292
52,0.02885
53,0.02881
54,0.02879
55,0.02879
56,0.02874
57,0.02874
58,0.02874
59,0.02846
60,0.02837
61,0.02835
62,0.02831
63,0.02828
64,0.02817
65,0.02815
66,0.0281
67,0.02804
68,0.02802
69,0.02798
70,0.02786
71,0.02782
72,0.02782
73,0.02779
74,0.02772
75,0.0277
76,0.02766
77,0.02763
78,0.02761
79,0.02759
80,0.02755
81,0.02751
82,0.02751
83,0.02749
84,0.02734
85,0.02722
86,0.02721
87,0.02715
88,0.0271
89,0.02707
90,0.02703
91,0.02703
92,0.02702
93,0.02701
94,0.02697
95,0.02696
96,0.02693
97,0.02681
98,0.0268
99,0.0268
100,0.02675
101,0.02675
102,0.02674
103,0.02672
104,0.02668
105,0.02667
106,0.02665
107,0.02662
108,0.02662
109,0.02662
110,0.02661
111,0.0266
112,0.02659
113,0.02657
114,0.02655
115,0.02649
116,0.02647
117,0.02642
118,0.02641
119,0.0264
120,0.02639
121,0.02639
122,0.02638
123,0.02635
124,0.02635
125,0.02631
126,0.02628
127,0.02627
128,0.02626
129,0.02625
130,0.02624
131,0.02623
132,0.02621
133,0.0262
134,0.02618
135,0.02611
136,0.02607
137,0.02605
138,0.02604
139,0.02602
140,0.02599
141,0.02583
142,0.02583
143,0.02579
144,0.02572
145,0.02556
146,0.02552
147,0.02546
148,0.02545
149,0.02541
150,0.0254
151,0.0253
152,0.0253
153,0.02528
154,0.02523
155,0.02523
156,0.02521
157,0.02521
158,0.02519
159,0.02517
160,0.02509
161,0.02508
162,0.02507
163,0.02507
164,0.02507
165,0.02504
166,0.025
167,0.02497
168,0.02495
169,0.02495
170,0.02493
171,0.02492
172,0.02492
173,0.02491
174,0.02487
175,0.02484
176,0.02476
177,0.02472
178,0.02472
179,0.02471
180,0.0247
181,0.02468
182,0.02467
183,0.02467
184,0.02467
185,0.02466
186,0.02464
187,0.02464
188,0.02464
189,0.02462
190,0.02461
191,0.02461
192,0.02461
193,0.02459
194,0.02459
195,0.02458
196,0.02457
197,0.02457
198,0.02457
199,0.02456
200,0.02455
201,0.02454
202,0.02454
203,0.02454
204,0.02453
205,0.02452
206,0.02451
207,0.02451
208,0.02451
209,0.0245
210,0.02449
211,0.02448
212,0.02447
213,0.02447
214,0.02447
215,0.02447
216,0.02445
217,0.02445
218,0.02444
219,0.02443
220,0.02442
221,0.02442
222,0.02442
223,0.02442
224,0.02442
225,0.02442
226,0.02441
227,0.02441
228,0.0244
229,0.0244
230,0.02439
231,0.02438
232,0.02437
233,0.02437
234,0.02437
235,0.02437
236,0.02436
237,0.02436
238,0.02436
239,0.02436
240,0.02436
241,0.02436
242,0.02435
243,0.02435
244,0.02435
245,0.02435
246,0.02435
247,0.02435
248,0.02434
249,0.02434
250,0.02434
251,0.02433
252,0.02433
253,0.02432
254,0.02432
255,0.02432
256,0.02432
257,0.02431
258,0.02431
259,0.02431
260,0.02431
261,0.02431
262,0.0243
263,0.0243
264,0.0243
265,0.02429
266,0.02429
267,0.02429
268,0.02429
269,0.02428
270,0.02428
271,0.02427
272,0.02426
273,0.02426
274,0.02426
275,0.02426
276,0.02425
277,0.02425
278,0.02425
279,0.02425
280,0.02425
281,0.02425
282,0.02425
283,0.02424
284,0.02424
285,0.02423
286,0.02423
287,0.02423
288,0.02423
289,0.02422
290,0.02422
291,0.02422
292,0.02422
293,0.02421
294,0.02421
295,0.02421
296,0.02421
297,0.02421
298,0.0242
299,0.0242
300,0.0242
301,0.02419
302,0.02419
303,0.02419
304,0.02419
305,0.02419
306,0.02419
307,0.02418
308,0.02418
309,0.02418
310,0.02418
311,0.02418
312,0.02418
313,0.02418
314,0.02418
315,0.02418
316,0.02418
317,0.02418
318,0.02418
319,0.02418
320,0.02417
321,0.02417
322,0.02417
323,0.02417
324,0.02416
325,0.02416
326,0.02416
327,0.02416
328,0.02416
329,0.02416
330,0.02416
331,0.02415
332,0.02415
333,0.02415
334,0.02415
335,0.02415
336,0.02415
337,0.02415
338,0.02415
339,0.02415
340,0.02415
341,0.02414
342,0.02414
343,0.02414
344,0.02414
345,0.02414
346,0.02414
347,0.02414
348,0.02414
349,0.02413
350,0.02412
351,0.02412
352,0.02412
353,0.02411
354,0.02411
355,0.02411
356,0.02411
357,0.02411
358,0.02411
359,0.02411
360,0.02411
