rank,score
1,0.87662
2,0.87092
3,0.87016
4,0.86891
5,0.86571
6,0.86225
7,0.85467
8,0.85246
9,0.85135
10,0.84602
11,0.83588
12,0.83233
13,0.81831
14,0.80891
15,0.80274
16,0.80206
17,0.79656
18,0.7907
19,0.789
20,0.7871
21,0.78485
22,0.77258
23,0.76433
24,0.76238
25,0.76233
26,0.75609
27,0.75373
28,0.75284
29,0.73697
30,0.73082
31,0.73076
32,0.73057
33,0.73036
34,0.72973
35,0.72847
36,0.71545
37,0.70569
38,0.70408
39,0.70372
40,0.69572
41,0.69528
42,0.69334
43,0.67428
44,0.66733
45,0.66666
46,0.66128
47,0.64479
48,0.61908
49,0.6189
50,0.61647
51,0.59705
52,0.5965
53,0.59144
54,0.59031
55,0.50501
56,0.49511
57,0.47577
58,0.45011
59,0.43209
60,0.41
61,0.32034
62,0.31763
63,0.28134
64,0.276
65,0.2514
66,0.22549
67,0.2123
68,0.19309
69,0.19298
70,0.17098
71,0.16091
72,0.05915
73,0.05912
74,0.04545
75,0.04545
76,0.02798
77,0.02781
78,0.02781
79,0.02604
80,0.0223
81,0.01515
82,0.01168
83,0.01023
84,0.00509
85,0.00124
86,0.00078
87,0.00077
88,0.00066
89,0.00061
90,0.00055
91,0.00053
92,0.00051
93,0.00046
94,0.00045
95,0.00038
96,0.00037
97,0.00024
98,0.00022
99,6e-05
100,5e-05
101,5e-05
102,1e-05
103,1e-05
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
