rank,score
1,0.87193
2,0.86545
3,0.86282
4,0.86177
5,0.85728
6,0.85641
7,0.84828
8,0.84524
9,0.84372
10,0.8374
11,0.82642
12,0.82595
13,0.81206
14,0.79945
15,0.79546
16,0.79414
17,0.79151
18,0.78172
19,0.78081
20,0.7802
21,0.77545
22,0.76595
23,0.75661
24,0.75524
25,0.75023
26,0.7462
27,0.74442
28,0.74318
29,0.72538
30,0.72048
31,0.71998
32,0.7199
33,0.71961
34,0.71798
35,0.7179
36,0.7096
37,0.69442
38,0.69442
39,0.69241
40,0.68749
41,0.68456
42,0.68291
43,0.66678
44,0.66321
45,0.65229
46,0.65224
47,0.62797
48,0.61619
49,0.61503
50,0.60884
51,0.58864
52,0.58823
53,0.58531
54,0.57838
55,0.49527
56,0.49324
57,0.46659
58,0.43735
59,0.42965
60,0.39467
61,0.31303
62,0.30696
63,0.27428
64,0.27407
65,0.2477
66,0.21897
67,0.21378
68,0.19135
69,0.19094
70,0.17111
71,0.16152
72,0.06317
73,0.05894
74,0.05841
75,0.04468
76,0.04468
77,0.02867
78,0.02818
79,0.02818
80,0.02642
81,0.02264
82,0.01506
83,0.01152
84,0.00979
85,0.00526
86,0.00125
87,0.00091
88,0.00081
89,0.00079
90,0.00071
91,0.00071
92,0.00068
93,0.00065
94,0.00061
95,0.00053
96,0.00051
97,0.00035
98,0.00027
99,0.00025
100,0.00011
101,9e-05
102,4e-05
103,2e-05
104,1e-05
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
