rank,score
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,0.9999
8,0.9991
9,0.9949
10,0.9845
11,0.9837
12,0.9835
13,0.9833
14,0.9833
15,0.9818
16,0.9815
17,0.981
18,0.9809
19,0.9806
20,0.9806
21,0.9803
22,0.9802
23,0.9801
24,0.9801
25,0.98
26,0.98
27,0.9799
28,0.9799
29,0.9799
30,0.9799
31,0.9799
32,0.9799
33,0.9799
34,0.9799
35,0.9799
36,0.9799
37,0.9799
38,0.9799
39,0.9799
40,0.9799
41,0.9799
42,0.9799
43,0.9799
44,0.9799
45,0.9799
46,0.9799
47,0.9799
48,0.9799
49,0.9799
50,0.9799
51,0.9799
52,0.9799
53,0.9799
54,0.9799
55,0.9799
56,0.9799
57,0.9798
58,0.9798
59,0.9798
60,0.9798
61,0.9798
62,0.9797
63,0.9797
64,0.9797
65,0.9793
66,0.9793
67,0.979
68,0.979
69,0.979
70,0.979
71,0.9789
72,0.9789
73,0.9789
74,0.9787
75,0.9787
76,0.9786
77,0.9786
78,0.9786
79,0.9785
80,0.9783
81,0.9782
82,0.9782
83,0.9782
84,0.9781
85,0.9781
86,0.978
87,0.978
88,0.9775
89,0.9775
90,0.9774
91,0.9772
92,0.9772
93,0.9771
94,0.977
95,0.9768
96,0.9768
97,0.9767
98,0.9767
99,0.9766
100,0.9765
101,0.9765
102,0.9763
103,0.9763
104,0.9761
105,0.9757
106,0.9751
107,0.9751
108,0.9749
109,0.9748
110,0.9747
111,0.9743
112,0.9741
113,0.974
114,0.9738
115,0.9733
116,0.9732
117,0.9731
118,0.973
119,0.9729
120,0.9727
121,0.9724
122,0.9724
123,0.9724
124,0.9723
125,0.9723
126,0.972
127,0.9719
128,0.9716
129,0.9715
130,0.9713
131,0.9712
132,0.9712
133,0.9711
134,0.9711
135,0.9708
136,0.9706
137,0.9704
138,0.9704
139,0.9704
140,0.9704
141,0.9702
142,0.9702
143,0.9701
144,0.9701
145,0.97
146,0.97
147,0.9699
148,0.9699
149,0.9699
150,0.9697
151,0.9696
152,0.9696
153,0.9695
154,0.9695
155,0.9693
156,0.9693
157,0.9692
158,0.9691
159,0.9686
160,0.9686
161,0.9684
162,0.9683
163,0.9683
164,0.9682
165,0.9682
166,0.9682
167,0.9682
168,0.9682
169,0.9682
170,0.9681
171,0.9681
172,0.968
173,0.968
174,0.9679
175,0.9678
176,0.9678
177,0.9677
