rank,score
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,0.9999
12,0.9963
13,0.9889
14,0.9882
15,0.9865
16,0.9845
17,0.9842
18,0.9834
19,0.9834
20,0.9822
21,0.9822
22,0.9821
23,0.982
24,0.9819
25,0.9817
26,0.9817
27,0.9815
28,0.9813
29,0.9811
30,0.9809
31,0.9809
32,0.9808
33,0.9807
34,0.9805
35,0.9804
36,0.9803
37,0.9802
38,0.9802
39,0.9802
40,0.9801
41,0.9801
42,0.98
43,0.9799
44,0.9799
45,0.9798
46,0.9796
47,0.9795
48,0.9795
49,0.9795
50,0.9795
51,0.9795
52,0.9795
53,0.9793
54,0.9793
55,0.9793
56,0.9792
57,0.9792
58,0.9792
59,0.9792
60,0.9791
61,0.979
62,0.9789
63,0.9789
64,0.9789
65,0.9788
66,0.9787
67,0.9787
68,0.9786
69,0.9786
70,0.9783
71,0.9783
72,0.9783
73,0.9782
74,0.9782
75,0.9781
76,0.9781
77,0.9781
78,0.9781
79,0.9781
80,0.9781
81,0.9781
82,0.9781
83,0.9781
84,0.9781
85,0.9781
86,0.9781
87,0.9781
88,0.9781
89,0.9781
90,0.9781
91,0.9781
92,0.9781
93,0.9781
94,0.9781
95,0.9781
96,0.9781
97,0.9781
98,0.9781
99,0.9781
100,0.9781
101,0.9781
102,0.9781
103,0.9781
104,0.9781
105,0.9781
106,0.9781
107,0.9781
108,0.9781
109,0.978
110,0.978
111,0.9778
112,0.9777
113,0.9777
114,0.9775
115,0.9774
116,0.9774
117,0.9774
118,0.9774
119,0.9774
120,0.9773
121,0.9773
122,0.9773
123,0.9773
124,0.9773
125,0.9773
126,0.9773
127,0.9773
128,0.9771
129,0.9771
130,0.977
131,0.977
132,0.9769
133,0.9769
134,0.9768
135,0.9764
136,0.9763
137,0.9763
138,0.9763
139,0.9763
140,0.9762
141,0.9761
142,0.9758
143,0.9758
144,0.9757
145,0.9757
146,0.9756
147,0.9756
148,0.9754
149,0.9754
150,0.9754
151,0.9754
152,0.9754
153,0.9754
154,0.9754
155,0.9754
156,0.9754
157,0.9754
158,0.9754
159,0.9754
160,0.9754
161,0.9754
162,0.9754
163,0.9754
164,0.9754
165,0.9754
166,0.9754
167,0.9754
168,0.9754
169,0.9754
170,0.9754
171,0.9754
172,0.9754
173,0.9754
174,0.9754
175,0.9754
176,0.9754
