rank,score
1,0.272332
2,0.273765
3,0.274112
4,0.276039
5,0.276157
6,0.283302
7,0.283815
8,0.285415
9,0.28589
10,0.286674
11,0.28729
12,0.287688
13,0.288555
14,0.29
15,0.290807
16,0.294642
17,0.296929
18,0.298402
19,0.298675
20,0.302918
21,0.303203
22,0.304299
23,0.304608
24,0.305614
25,0.310275
26,0.310277
27,0.311329
28,0.312603
29,0.313581
30,0.313709
31,0.315139
32,0.315514
33,0.316118
34,0.317164
35,0.319134
36,0.3198
37,0.321557
38,0.321833
39,0.322147
40,0.322516
41,0.32287
42,0.32437
43,0.325031
44,0.325399
45,0.327454
46,0.328289
47,0.328314
48,0.328921
49,0.329742
50,0.33048
51,0.331637
52,0.332582
53,0.3339
54,0.334125
55,0.334817
56,0.335807
57,0.336905
58,0.338663
59,0.338755
60,0.338933
61,0.339046
62,0.33986
63,0.340215
64,0.341434
65,0.341505
66,0.341777
67,0.343229
68,0.343705
69,0.344908
70,0.345357
71,0.345395
72,0.345478
73,0.345721
74,0.34597
75,0.346103
76,0.346817
77,0.346923
78,0.347062
79,0.347211
80,0.347316
81,0.3477
82,0.347997
83,0.348011
84,0.348232
85,0.348283
86,0.348374
87,0.348393
88,0.348837
89,0.348878
90,0.349243
91,0.349424
92,0.34949
93,0.349497
94,0.349541
95,0.349596
96,0.349643
97,0.350103
98,0.350127
99,0.350178
100,0.350258
101,0.35036
102,0.350392
103,0.350499
104,0.350503
105,0.350591
106,0.350658
107,0.350677
108,0.350756
109,0.350903
110,0.350957
111,0.35097
112,0.351119
113,0.351268
114,0.351368
115,0.351408
116,0.351447
117,0.351455
118,0.351722
119,0.351763
120,0.351787
121,0.351988
122,0.352043
123,0.352211
124,0.352215
125,0.352581
126,0.352702
127,0.352715
128,0.352723
129,0.352729
130,0.3528
131,0.352852
132,0.353053
133,0.353105
134,0.353217
135,0.353241
136,0.353317
137,0.353323
138,0.353323
139,0.353376
140,0.353381
141,0.353381
142,0.353381
143,0.353776
144,0.353865
145,0.35388
146,0.353965
147,0.353976
148,0.353979
149,0.354145
150,0.354584
151,0.354631
152,0.354777
153,0.354806
154,0.354864
155,0.354864
156,0.354941
157,0.354993
158,0.355102
159,0.355111
160,0.355247
161,0.355379
162,0.355476
163,0.355607
164,0.355667
165,0.3557
166,0.355933
167,0.355973
168,0.355985
169,0.355996
170,0.356333
171,0.356335
172,0.356466
173,0.35649
174,0.356493
175,0.356612
176,0.356765
177,0.357131
178,0.357172
179,0.357218
180,0.357297
181,0.357388
182,0.357388
183,0.357435
184,0.357435
185,0.357452
186,0.357633
187,0.35806
188,0.35809
189,0.358265
190,0.358438
191,0.358464
192,0.358469
193,0.359052
194,0.359246
195,0.359617
196,0.35966
197,0.359716
198,0.359745
199,0.36005
200,0.360071
201,0.360379
202,0.360582
203,0.36059
204,0.360654
205,0.360777
206,0.360824
207,0.361007
208,0.361251
209,0.361261
210,0.361345
211,0.361617
212,0.361742
213,0.361887
214,0.361986
215,0.362086
216,0.362291
217,0.362422
218,0.362636
219,0.363101
220,0.363146
221,0.363386
222,0.36349
223,0.363502
224,0.36373
225,0.364007
226,0.364132
227,0.364298
228,0.365209
229,0.365502
230,0.365573
231,0.366005
232,0.366056
233,0.366252
234,0.366332
235,0.366456
236,0.366935
237,0.367126
238,0.368072
239,0.368854
240,0.369085
241,0.369127
242,0.369362
243,0.369408
244,0.36962
245,0.369907
246,0.370075
247,0.370453
248,0.370829
249,0.371298
250,0.37144
251,0.371742
252,0.371876
253,0.371934
254,0.371977
255,0.372155
256,0.372219
257,0.372276
258,0.372332
259,0.372872
260,0.373005
261,0.373286
262,0.3735
263,0.373903
264,0.374033
265,0.374338
266,0.374539
267,0.374581
268,0.374762
269,0.374813
270,0.374973
271,0.375143
272,0.375209
273,0.375218
274,0.375221
275,0.37529
276,0.375383
277,0.375402
278,0.375402
279,0.375402
280,0.375402
281,0.375402
282,0.375402
283,0.375402
284,0.375402
285,0.375402
286,0.375402
287,0.375402
288,0.375402
289,0.375402
290,0.375402
291,0.375402
292,0.375402
293,0.375402
294,0.375402
295,0.375402
296,0.375402
297,0.375402
