rank,score
1,0.216156
2,0.21858
3,0.22428
4,0.225483
5,0.22587
6,0.226
7,0.226075
8,0.22636
9,0.226792
10,0.228244
11,0.230654
12,0.232633
13,0.233751
14,0.235041
15,0.235082
16,0.235302
17,0.235943
18,0.237711
19,0.237877
20,0.238023
21,0.243366
22,0.245548
23,0.247621
24,0.247632
25,0.247912
26,0.24922
27,0.24976
28,0.250935
29,0.252664
30,0.25269
31,0.253718
32,0.253793
33,0.254921
34,0.255552
35,0.25572
36,0.255782
37,0.256236
38,0.257525
39,0.257981
40,0.258215
41,0.261528
42,0.262843
43,0.262846
44,0.26318
45,0.26445
46,0.265132
47,0.265479
48,0.266607
49,0.266798
50,0.267668
51,0.268849
52,0.268983
53,0.270302
54,0.270383
55,0.271885
56,0.272011
57,0.272042
58,0.272854
59,0.273205
60,0.274124
61,0.275079
62,0.275418
63,0.276356
64,0.276515
65,0.277447
66,0.277741
67,0.278042
68,0.278073
69,0.278475
70,0.278659
71,0.278795
72,0.278798
73,0.278823
74,0.278936
75,0.278939
76,0.279021
77,0.279109
78,0.279191
79,0.279209
80,0.279212
81,0.279225
82,0.279384
83,0.279579
84,0.279639
85,0.279679
86,0.279781
87,0.279939
88,0.280072
89,0.280203
90,0.280852
91,0.28089
92,0.280937
93,0.280989
94,0.281
95,0.281071
96,0.28137
97,0.28144
98,0.281452
99,0.281505
100,0.281636
101,0.281726
102,0.281783
103,0.281937
104,0.281979
105,0.2821
106,0.282267
107,0.282536
108,0.28262
109,0.28286
110,0.282966
111,0.28309
112,0.283091
113,0.283203
114,0.283275
115,0.283378
116,0.283451
117,0.283457
118,0.283531
119,0.283735
120,0.283771
121,0.28391
122,0.283917
123,0.284218
124,0.284304
125,0.284314
126,0.284348
127,0.284358
128,0.284383
129,0.284407
130,0.284426
131,0.284454
132,0.284454
133,0.284479
134,0.284482
135,0.28452
136,0.284543
137,0.284571
138,0.284677
139,0.284708
140,0.284708
141,0.284708
142,0.284782
143,0.284782
144,0.28479
145,0.284856
146,0.284886
147,0.284886
148,0.284887
149,0.28489
150,0.284922
151,0.284922
152,0.284946
153,0.284946
154,0.284946
155,0.284975
156,0.284975
157,0.285005
158,0.28501
159,0.28505
160,0.285129
161,0.285161
162,0.285257
163,0.285356
164,0.285386
165,0.285432
166,0.285517
167,0.285548
168,0.285564
169,0.285603
170,0.285676
