rank,score
1,5585.2858
2,7469.51111
3,11579.70233
4,11602.83534
5,11602.83535
6,11602.83535
7,11602.83535
8,11602.83535
9,11615.33903
10,11616.96532
11,11621.56797
12,11641.2594
13,11644.8936
14,11645.34037
15,11657.0628
16,11658.32522
17,11659.40371
18,11678.45852
19,11678.92114
20,11684.606
21,11689.32134
22,11739.67296
23,11746.22097
24,11785.16785
25,11808.74096
26,11815.55464
27,11850.27025
28,11863.89928
29,12099.71322
30,12222.99862
31,12222.99862
32,12222.99862
33,12233.01705
34,12279.91065
35,12326.25017
36,12332.33008
37,12396.73204
38,12458.61204
39,12501.85998
40,12543.19817
41,12615.76098
42,12768.80637
43,12782.80042
44,12920.90329
45,12964.31687
46,12965.92432
47,12995.95186
48,12998.14676
49,13011.44031
50,13022.6013
51,13127.20381
52,13127.20381
53,13149.00953
54,13164.26345
55,13177.7069
56,13189.46191
57,13195.89238
58,13197.99451
59,13246.47449
60,13288.40918
61,13296.51128
62,13305.51843
63,13339.79354
64,13347.57937
65,13349.38193
66,13351.31352
67,13363.97435
68,13384.54346
69,13389.86485
70,13393.90504
71,13415.24651
72,13426.58681
73,13437.87231
74,13458.06476
75,13467.35722
76,13479.66735
77,13494.93839
78,13505.79752
79,13513.70555
80,13515.22326
81,13517.30631
82,13523.15881
83,13525.57629
84,13547.19669
85,13561.60716
86,13563.81605
87,13579.75884
88,13583.04588
89,13593.60672
90,13621.67114
91,13654.17857
92,13656.43245
93,13665.66621
94,13677.50942
95,13681.89973
96,13696.77125
97,13696.77125
98,13696.77125
99,13696.77125
100,13696.77125
101,13703.57044
102,13713.95086
103,13714.11831
104,13716.00209
105,13721.09803
106,13721.87478
107,13737.93177
108,13744.29188
109,13774.92852
110,13803.50779
111,13805.80408
112,13827.3674
113,13843.52935
114,13873.20566
115,13878.51665
116,13878.92193
117,13887.05258
118,13922.09872
119,13939.94865
120,13957.70477
121,13961.1776
122,13969.82739
123,13969.82739
124,13969.82739
125,13969.82739
126,13969.82739
127,13969.82739
128,13969.82739
129,13969.82739
130,13969.82739
131,13969.82739
132,13969.82739
133,13969.82739
134,13969.90629
135,13970.11415
136,13981.96753
137,13985.81943
138,13985.81943
139,13985.81943
140,13990.60799
141,13995.6794
142,13999.61345
143,13999.69823
144,14013.4267
145,14025.28353
146,14034.60322
147,14041.97897
148,14045.87038
149,14046.50932
150,14048.7657
151,14052.51801
152,14059.95809
153,14060.21981
154,14070.13008
155,14076.26517
156,14077.0852
157,14081.07634
158,14082.26176
159,14090.81279
160,14099.74937
161,14100.3624
162,14101.31243
163,14104.87251
164,14104.87251
165,14104.87251
166,14104.87251
167,14109.09144
168,14109.72889
169,14114.51176
170,14126.43264
171,14130.91171
172,14133.66009
173,14134.67572
174,14136.35616
175,14136.49252
176,14144.72286
177,14159.39039
178,14169.00517
179,14202.31851
180,14202.74809
181,14212.74142
182,14216.26541
183,14219.64455
184,14232.47235
185,14236.31535
186,14236.31535
187,14236.31535
188,14236.31535
189,14241.07463
190,14241.2718
191,14261.50446
192,14263.25063
193,14264.35539
194,14268.29987
195,14275.10944
196,14276.98694
197,14288.82358
198,14294.46512
199,14297.47226
200,14298.69739
201,14311.15121
202,14311.15121
203,14311.15121
204,14313.56618
205,14316.53533
206,14322.70808
207,14323.87474
208,14330.20142
209,14331.68449
210,14333.6686
211,14345.35528
212,14350.7827
213,14360.28656
214,14367.15622
215,14374.13523
216,14374.75017
217,14376.90347
218,14382.42415
219,14383.58547
220,14386.1688
221,14393.25874
222,14394.64242
223,14411.61046
224,14412.60205
225,14413.68798
226,14414.06297
227,14419.00788
228,14420.39622
229,14426.05376
230,14431.19334
231,14442.46612
232,14456.19948
233,14456.19948
234,14456.19948
235,14492.11061
236,14497.98092
237,14501.43964
238,14506.0183
239,14507.59854
240,14510.42933
241,14514.51989
242,14519.80261
243,14522.73672
244,14528.05919
245,14534.9738
246,14541.88193
247,14543.44093
