rank,score
1,5585.2858
2,7469.51111
3,11579.70233
4,11602.83534
5,11602.83535
6,11602.83535
7,11602.83535
8,11602.83535
9,11615.33903
10,11616.96532
11,11621.56797
12,11641.2594
13,11644.8936
14,11645.34037
15,11657.0628
16,11658.32522
17,11659.40371
18,11678.45852
19,11678.92114
20,11684.606
21,11689.32134
22,11739.67296
23,11746.22097
24,11785.16785
25,11808.74096
26,11815.55464
27,11850.27025
28,11863.89928
29,12099.71322
30,12222.99862
31,12222.99862
32,12222.99862
33,12233.01705
34,12279.91065
35,12326.25017
36,12332.33008
37,12396.73204
38,12458.61204
39,12501.85998
40,12543.19817
41,12615.76098
42,12768.80637
43,12782.80042
44,12964.31687
45,12965.92432
46,12995.95186
47,12998.14676
48,13011.44031
49,13022.6013
50,13127.20381
51,13127.20381
52,13149.00953
53,13164.26345
54,13177.7069
55,13189.46191
56,13195.89238
57,13197.99451
58,13246.47449
59,13288.40918
60,13296.51128
61,13305.51843
62,13339.79354
63,13347.57937
64,13349.38193
65,13351.31352
66,13363.97435
67,13384.54346
68,13389.86485
69,13393.90504
70,13415.24651
71,13426.58681
72,13437.87231
73,13458.06476
74,13467.35722
75,13479.66735
76,13494.93839
77,13505.79752
78,13513.70555
79,13515.22326
80,13517.30631
81,13523.15881
82,13525.57629
83,13547.19669
84,13561.60716
85,13563.81605
86,13579.75884
87,13583.04588
88,13593.60672
89,13621.67114
90,13654.17857
91,13656.43245
92,13665.66621
93,13677.50942
94,13681.89973
95,13696.77125
96,13696.77125
97,13696.77125
98,13696.77125
99,13696.77125
100,13703.57044
101,13713.95086
102,13714.11831
103,13716.00209
104,13721.09803
105,13721.87478
106,13737.93177
107,13744.29188
108,13774.92852
109,13803.50779
110,13805.80408
111,13812.56858
112,13827.3674
113,13843.52935
114,13861.92752
115,13873.20566
116,13878.51665
117,13878.92193
118,13887.05258
119,13922.09872
120,13939.94865
121,13957.70477
122,13961.1776
123,13969.82739
124,13969.82739
125,13969.82739
126,13969.82739
127,13969.82739
128,13969.82739
129,13969.82739
130,13969.82739
131,13969.82739
132,13969.82739
133,13969.82739
134,13969.82739
135,13969.90629
136,13970.11415
137,13981.96753
138,13985.81943
139,13985.81943
140,13985.81943
141,13990.60799
142,13995.6794
143,13999.61345
144,13999.69823
145,14013.4267
146,14025.28353
147,14034.60322
148,14041.97897
149,14048.7657
150,14052.51801
151,14059.95809
152,14060.21981
153,14070.13008
154,14072.76434
155,14076.26517
156,14077.0852
157,14081.07634
158,14082.26176
159,14090.81279
160,14099.74937
161,14100.3624
162,14101.31243
163,14104.87251
164,14104.87251
165,14104.87251
166,14104.87251
167,14109.09144
168,14109.72889
169,14114.51176
170,14126.43264
171,14130.91171
172,14133.66009
173,14134.67572
174,14136.35616
175,14136.49252
176,14144.72286
177,14159.39039
178,14169.00517
179,14202.31851
180,14202.74809
181,14212.74142
182,14216.26541
183,14219.64455
184,14232.47235
185,14236.31535
186,14236.31535
187,14236.31535
188,14236.31535
189,14241.07463
190,14241.2718
191,14261.50446
192,14263.25063
193,14264.35539
194,14268.29987
195,14275.10944
196,14276.98694
197,14288.82358
198,14294.46512
199,14297.47226
200,14298.69739
201,14311.15121
202,14311.15121
203,14311.15121
204,14313.56618
205,14316.53533
206,14322.70808
207,14323.87474
208,14330.20142
209,14331.68449
210,14333.6686
211,14345.35528
212,14350.7827
213,14360.28656
214,14367.15622
215,14374.13523
216,14374.75017
217,14376.90347
218,14382.42415
219,14383.58547
220,14386.1688
221,14393.25874
222,14394.64242
223,14411.61046
224,14412.60205
225,14413.68798
226,14419.00788
227,14420.39622
228,14426.05376
229,14431.19334
230,14442.46612
231,14456.19948
232,14456.19948
233,14456.19948
234,14492.11061
235,14497.98092
236,14501.43964
237,14506.0183
238,14507.59854
239,14510.42933
240,14514.51989
241,14519.80261
242,14522.73672
243,14528.05919
244,14534.9738
245,14541.88193
246,14543.44093
247,14543.44093
