rank,score
1,0.43192
2,0.43208
3,0.4327
4,0.43321
5,0.43328
6,0.43358
7,0.4337
8,0.43779
9,0.4386
10,0.43871
11,0.44064
12,0.44081
13,0.44213
14,0.44214
15,0.44503
16,0.44511
17,0.44557
18,0.44582
19,0.44621
20,0.44633
21,0.44699
22,0.4473
23,0.44757
24,0.44822
25,0.44823
26,0.44865
27,0.44878
28,0.44906
29,0.44908
30,0.44908
31,0.44991
32,0.45028
33,0.45029
34,0.45041
35,0.45045
36,0.4506
37,0.45073
38,0.45092
39,0.45094
40,0.45104
41,0.45108
42,0.45134
43,0.45165
44,0.45201
45,0.45209
46,0.45278
47,0.45282
48,0.45296
49,0.45324
50,0.45353
51,0.45378
52,0.45424
53,0.45445
54,0.45466
55,0.45482
56,0.45483
57,0.45488
58,0.45507
59,0.45509
60,0.45512
61,0.45523
62,0.45527
63,0.45537
64,0.45542
65,0.4555
66,0.45574
67,0.4558
68,0.4559
69,0.45644
70,0.45644
71,0.45645
72,0.45663
73,0.45672
74,0.45676
75,0.45695
76,0.45699
77,0.45703
78,0.45722
79,0.45736
80,0.45747
81,0.45749
82,0.45751
83,0.45752
84,0.45752
85,0.45754
86,0.45763
87,0.45768
88,0.4577
89,0.45773
90,0.45784
91,0.45795
92,0.45804
93,0.45823
94,0.45835
95,0.45841
96,0.45848
97,0.45871
98,0.45888
99,0.4592
100,0.45926
101,0.45949
102,0.45955
103,0.45958
104,0.45958
105,0.45967
106,0.45968
107,0.4598
108,0.45982
109,0.46011
110,0.4602
111,0.46044
112,0.46063
113,0.46074
114,0.46081
115,0.46082
116,0.46086
117,0.46087
118,0.46087
119,0.46104
120,0.46106
121,0.46121
122,0.46125
123,0.46128
124,0.46129
125,0.4613
126,0.46131
127,0.46136
128,0.46141
129,0.46155
130,0.46165
131,0.46175
132,0.46181
133,0.46185
134,0.46191
135,0.46191
136,0.462
137,0.46206
138,0.46213
139,0.46214
140,0.46224
141,0.46247
142,0.46248
143,0.46251
144,0.46252
145,0.46255
146,0.46269
147,0.46275
148,0.46284
149,0.46295
150,0.46296
151,0.46297
152,0.46302
153,0.46303
154,0.46307
155,0.46312
156,0.46322
157,0.46326
158,0.4633
159,0.46332
160,0.4634
161,0.46342
162,0.46342
163,0.46343
164,0.46349
165,0.46354
166,0.46356
167,0.46358
168,0.46362
169,0.46365
170,0.46366
171,0.46374
172,0.4639
173,0.46391
174,0.46395
175,0.46402
176,0.46405
177,0.46406
178,0.46408
179,0.46416
180,0.46416
181,0.46431
182,0.46432
183,0.46433
184,0.46436
185,0.46445
186,0.46452
187,0.46452
188,0.46473
189,0.46478
190,0.46484
191,0.46488
192,0.4649
193,0.4649
194,0.46497
195,0.46497
196,0.46502
197,0.46503
198,0.46514
199,0.46515
200,0.46515
201,0.46516
202,0.46525
203,0.46532
204,0.46536
205,0.46537
206,0.4654
207,0.46542
208,0.46567
209,0.46569
210,0.46571
211,0.46575
212,0.46593
213,0.46595
214,0.46596
215,0.46596
216,0.46598
217,0.46598
218,0.46599
219,0.466
220,0.46602
221,0.46604
222,0.46605
223,0.46607
224,0.46609
225,0.46609
226,0.46617
227,0.46619
228,0.46621
229,0.46622
230,0.46623
231,0.46627
232,0.46634
233,0.46641
234,0.46642
235,0.4665
236,0.46651
237,0.46659
238,0.46662
239,0.46671
240,0.46674
241,0.46674
242,0.46686
243,0.46687
244,0.46691
245,0.46696
246,0.46698
247,0.467
248,0.46708
249,0.4671
250,0.46712
251,0.4672
252,0.4672
253,0.46721
254,0.46727
255,0.46731
256,0.46733
257,0.46735
258,0.46736
259,0.46741
260,0.46745
261,0.46748
262,0.46752
263,0.46753
264,0.46755
265,0.46759
266,0.46764
267,0.46765
268,0.46766
269,0.46784
270,0.46785
271,0.46787
272,0.46789
273,0.46791
274,0.46793
275,0.46793
276,0.46805
277,0.46807
278,0.46809
279,0.46809
280,0.46809
281,0.46814
282,0.46815
283,0.46816
284,0.46819
285,0.46821
286,0.46821
287,0.46822
288,0.46832
289,0.46835
290,0.46841
291,0.46842
292,0.46842
293,0.46844
294,0.46847
295,0.4686
296,0.46862
297,0.46862
298,0.46867
299,0.46868
300,0.46869
301,0.46869
302,0.46872
303,0.46883
304,0.46885
305,0.46892
306,0.46893
307,0.46893
308,0.46895
309,0.46896
310,0.46896
311,0.46911
312,0.46913
313,0.46915
314,0.46923
315,0.46923
316,0.46924
317,0.46926
318,0.46929
319,0.46932
320,0.46935
321,0.46935
322,0.46937
323,0.46938
324,0.46939
325,0.46941
326,0.46944
327,0.46951
328,0.46951
329,0.46954
330,0.46955
331,0.46959
332,0.46959
333,0.46959
334,0.4696
335,0.46962
336,0.46964
337,0.46967
338,0.4697
339,0.46984
340,0.46993
341,0.46994
342,0.46996
343,0.47002
344,0.47003
345,0.47004
346,0.47006
347,0.4701
348,0.4701
349,0.47017
350,0.47017
351,0.47022
352,0.4703
353,0.47038
354,0.47039
355,0.47039
356,0.47039
357,0.47039
358,0.4704
359,0.47042
360,0.47045
361,0.47051
362,0.47051
363,0.47056
364,0.47059
365,0.4706
366,0.47063
367,0.47064
368,0.47067
369,0.47069
370,0.47072
371,0.47072
372,0.4708
373,0.47084
374,0.47085
375,0.47086
376,0.47086
377,0.47086
378,0.47086
379,0.47088
380,0.47088
381,0.47089
382,0.47089
383,0.4709
384,0.4709
385,0.47091
386,0.47092
387,0.47092
388,0.47092
389,0.47093
390,0.47095
391,0.47097
392,0.47098
393,0.47099
394,0.471
395,0.47102
396,0.47103
397,0.47103
398,0.47104
399,0.47105
400,0.47105
401,0.47106
402,0.47107
403,0.47108
404,0.47109
405,0.4711
406,0.4711
407,0.47113
408,0.47113
409,0.47114
410,0.47115
411,0.47115
412,0.47119
413,0.4712
414,0.47121
415,0.47121
416,0.47121
417,0.47122
418,0.47123
419,0.47125
420,0.47125
421,0.47126
422,0.47126
423,0.47126
424,0.47127
425,0.47127
426,0.47127
427,0.47128
428,0.4713
429,0.4713
430,0.4713
431,0.47132
432,0.47132
433,0.47132
434,0.47132
435,0.47132
436,0.47133
437,0.47135
438,0.47135
439,0.47138
440,0.47139
441,0.4714
442,0.47141
443,0.47141
444,0.47142
445,0.47142
446,0.47142
447,0.47143
448,0.47143
449,0.47143
450,0.47143
451,0.47143
452,0.47144
453,0.47144
454,0.47145
455,0.47146
456,0.47146
457,0.47146
458,0.47146
459,0.47147
460,0.47147
461,0.47148
462,0.47148
463,0.47148
464,0.47148
465,0.47148
466,0.47149
467,0.47149
468,0.47151
469,0.47152
470,0.47152
471,0.47152
472,0.47153
473,0.47153
474,0.47156
475,0.47161
476,0.47161
477,0.47162
478,0.47163
479,0.47166
480,0.47166
481,0.47168
482,0.47168
483,0.47169
484,0.4717
485,0.4717
486,0.4717
487,0.4717
488,0.4717
489,0.4717
