rank,score
1,0.43293
2,0.43361
3,0.43382
4,0.43389
5,0.43462
6,0.43464
7,0.43521
8,0.43913
9,0.43977
10,0.44117
11,0.44173
12,0.44176
13,0.44341
14,0.44374
15,0.44475
16,0.4458
17,0.44643
18,0.44687
19,0.44723
20,0.44798
21,0.44843
22,0.44846
23,0.44908
24,0.44921
25,0.44924
26,0.44948
27,0.44961
28,0.4497
29,0.44977
30,0.4502
31,0.45046
32,0.45115
33,0.45135
34,0.45138
35,0.45139
36,0.4514
37,0.4514
38,0.45143
39,0.45153
40,0.45188
41,0.45192
42,0.45203
43,0.45205
44,0.45212
45,0.45255
46,0.45348
47,0.45368
48,0.45373
49,0.45418
50,0.4542
51,0.45446
52,0.45449
53,0.45459
54,0.455
55,0.45513
56,0.45517
57,0.45531
58,0.45557
59,0.45573
60,0.45593
61,0.45636
62,0.45637
63,0.45641
64,0.45647
65,0.45651
66,0.45662
67,0.45667
68,0.45673
69,0.45679
70,0.45697
71,0.45706
72,0.45717
73,0.45728
74,0.45737
75,0.45766
76,0.4578
77,0.45781
78,0.45782
79,0.45791
80,0.45806
81,0.45808
82,0.45817
83,0.45818
84,0.45822
85,0.45825
86,0.45837
87,0.45848
88,0.45851
89,0.45852
90,0.45864
91,0.45868
92,0.45892
93,0.45905
94,0.45923
95,0.45928
96,0.45929
97,0.45934
98,0.45959
99,0.45966
100,0.45981
101,0.46
102,0.46002
103,0.46022
104,0.46025
105,0.46049
106,0.46055
107,0.46056
108,0.46057
109,0.46073
110,0.46101
111,0.46125
112,0.46125
113,0.4613
114,0.46145
115,0.46156
116,0.46177
117,0.46185
118,0.46187
119,0.46189
120,0.4619
121,0.46191
122,0.46205
123,0.46206
124,0.46206
125,0.46207
126,0.46212
127,0.46229
128,0.4623
129,0.46234
130,0.46252
131,0.46264
132,0.46264
133,0.46267
134,0.46274
135,0.46276
136,0.46276
137,0.46282
138,0.46283
139,0.46284
140,0.46285
141,0.46285
142,0.46294
143,0.46301
144,0.46309
145,0.46311
146,0.46313
147,0.46314
148,0.46315
149,0.46321
150,0.46327
151,0.46336
152,0.46339
153,0.46343
154,0.46345
155,0.46346
156,0.46349
157,0.46353
158,0.46355
159,0.46366
160,0.46381
161,0.46382
162,0.46385
163,0.46391
164,0.46393
165,0.46404
166,0.46409
167,0.46413
168,0.46425
169,0.4644
170,0.46445
171,0.46447
172,0.46453
173,0.46455
174,0.4646
175,0.46461
176,0.46468
177,0.46471
178,0.46492
179,0.46496
180,0.46497
181,0.46501
182,0.46502
183,0.46507
184,0.46518
185,0.46518
186,0.46527
187,0.46528
188,0.46528
189,0.46533
190,0.46538
