rank,score
1,0.97065
2,0.97059
3,0.97037
4,0.97021
5,0.97017
6,0.97016
7,0.9701
8,0.97007
9,0.97006
10,0.96989
11,0.96985
12,0.96981
13,0.9698
14,0.9693
15,0.96917
16,0.96916
17,0.96909
18,0.96905
19,0.96904
20,0.96896
21,0.96896
22,0.96893
23,0.96893
24,0.96889
25,0.96889
26,0.96888
27,0.96887
28,0.96887
29,0.96886
30,0.96885
31,0.96883
32,0.96881
33,0.9688
34,0.9688
35,0.9688
36,0.96879
37,0.96878
38,0.96876
39,0.96875
40,0.96874
41,0.96874
42,0.96874
43,0.96874
44,0.96874
45,0.96873
46,0.96873
47,0.96872
48,0.96871
49,0.96871
50,0.96869
51,0.96868
52,0.96868
53,0.96867
54,0.96866
55,0.96865
56,0.96865
57,0.96864
58,0.96863
59,0.96863
60,0.96863
61,0.96862
62,0.96862
63,0.96862
64,0.96861
65,0.9686
66,0.9686
67,0.96859
68,0.96859
69,0.96859
70,0.96859
71,0.96859
72,0.96858
73,0.96858
74,0.96858
75,0.96856
76,0.96856
77,0.96856
78,0.96856
79,0.96855
80,0.96855
81,0.96854
82,0.96854
83,0.96853
84,0.96852
85,0.96852
86,0.96852
87,0.96851
88,0.96851
89,0.96851
90,0.96851
91,0.9685
92,0.96849
93,0.96849
94,0.96849
95,0.96849
96,0.96848
97,0.96848
98,0.96848
99,0.96848
100,0.96847
101,0.96847
102,0.96847
103,0.96846
104,0.96846
105,0.96846
106,0.96846
107,0.96845
108,0.96845
109,0.96845
110,0.96845
111,0.96845
112,0.96844
113,0.96844
114,0.96844
115,0.96844
116,0.96844
117,0.96843
118,0.96843
119,0.96843
120,0.96843
121,0.96842
122,0.96842
123,0.96842
124,0.96842
125,0.96842
126,0.96841
127,0.96841
128,0.96841
129,0.96841
130,0.96841
131,0.96841
132,0.9684
133,0.9684
134,0.9684
135,0.9684
136,0.9684
137,0.96839
138,0.96839
139,0.96839
140,0.96839
141,0.96839
142,0.96838
143,0.96838
144,0.96838
145,0.96837
146,0.96837
147,0.96837
148,0.96837
149,0.96837
150,0.96837
151,0.96837
152,0.96837
153,0.96837
154,0.96836
155,0.96836
156,0.96836
157,0.96836
158,0.96836
159,0.96836
160,0.96835
161,0.96835
162,0.96835
163,0.96835
164,0.96835
165,0.96835
166,0.96835
167,0.96835
168,0.96835
169,0.96835
170,0.96835
171,0.96835
172,0.96834
173,0.96834
174,0.96834
175,0.96834
176,0.96834
177,0.96834
178,0.96833
179,0.96833
180,0.96833
181,0.96833
182,0.96833
183,0.96833
184,0.96833
185,0.96833
186,0.96833
187,0.96832
188,0.96832
189,0.96832
190,0.96832
191,0.96832
192,0.96832
193,0.96832
194,0.96832
195,0.96832
196,0.96832
197,0.96831
198,0.96831
199,0.96831
200,0.96831
201,0.96831
202,0.96831
203,0.96831
204,0.96831
205,0.9683
206,0.9683
207,0.9683
208,0.9683
209,0.9683
210,0.9683
211,0.96829
212,0.96829
213,0.96829
214,0.96829
215,0.96829
216,0.96829
217,0.96829
218,0.96828
219,0.96828
220,0.96828
221,0.96828
222,0.96828
223,0.96828
224,0.96828
225,0.96828
226,0.96828
227,0.96827
228,0.96827
229,0.96827
230,0.96827
231,0.96827
232,0.96827
233,0.96827
234,0.96827
235,0.96827
236,0.96827
237,0.96827
238,0.96826
239,0.96826
240,0.96826
241,0.96826
242,0.96826
243,0.96826
244,0.96826
245,0.96826
246,0.96826
247,0.96826
248,0.96826
249,0.96826
250,0.96825
251,0.96825
252,0.96825
253,0.96825
254,0.96825
255,0.96824
256,0.96824
257,0.96824
258,0.96824
259,0.96824
260,0.96824
261,0.96824
262,0.96824
263,0.96824
264,0.96824
265,0.96824
266,0.96824
267,0.96823
268,0.96823
269,0.96823
270,0.96823
271,0.96823
272,0.96823
273,0.96823
274,0.96823
275,0.96823
276,0.96823
277,0.96823
278,0.96823
279,0.96823
280,0.96823
281,0.96823
282,0.96823
283,0.96823
284,0.96823
285,0.96823
286,0.96823
287,0.96822
288,0.96822
289,0.96822
290,0.96822
291,0.96822
292,0.96822
293,0.96822
294,0.96822
295,0.96822
296,0.96822
297,0.96822
298,0.96822
299,0.96822
300,0.96822
301,0.96822
302,0.96822
303,0.96821
304,0.96821
305,0.96821
306,0.96821
307,0.96821
308,0.96821
309,0.96821
310,0.96821
311,0.96821
312,0.96821
313,0.96821
314,0.96821
315,0.96821
316,0.96821
317,0.96821
318,0.96821
319,0.96821
320,0.96821
321,0.96821
322,0.96821
323,0.96821
324,0.9682
325,0.9682
326,0.9682
327,0.9682
328,0.9682
329,0.9682
330,0.9682
331,0.9682
332,0.9682
333,0.9682
334,0.96819
335,0.96819
336,0.96819
337,0.96819
338,0.96819
339,0.96819
340,0.96819
341,0.96819
342,0.96819
343,0.96819
344,0.96819
345,0.96819
346,0.96819
347,0.96818
348,0.96818
349,0.96818
350,0.96818
351,0.96818
352,0.96818
353,0.96818
354,0.96818
