rank,score
1,0.8622
2,0.8584
3,0.8459
4,0.8224
5,0.7713
6,0.7702
7,0.754
8,0.7446
9,0.7205
10,0.7069
11,0.6338
12,0.6223
13,0.6219
14,0.6164
15,0.4874
16,0.476
17,0.4651
18,0.39
19,0.3843
20,0.3642
21,0.3641
22,0.3458
23,0.3202
24,0.3116
25,0.2967
26,0.2443
27,0.2133
28,0.2121
29,0.159
30,0.1509
31,0.0952
32,0.0583
33,0.0537
34,0.0484
35,0.0463
36,0.0422
37,0.0216
38,0.0139
39,0.008
40,0.0074
41,0.0053
42,0.0045
43,0.0018
44,0.0011
45,0.0006
46,0.0006
47,0.0006
48,0.0005
49,0.0005
50,0.0005
51,0.0005
52,0.0005
53,0.0005
54,0.0004
55,0.0004
56,0.0004
57,0.0004
58,0.0004
59,0.0004
60,0.0004
61,0.0004
62,0.0003
63,0.0003
64,0.0003
65,0.0002
66,0.0002
67,0.0002
68,0.0002
69,0.0002
70,0.0002
71,0.0002
72,0.0002
73,0.0002
74,0.0001
75,0.0001
76,0.0001
77,0.0001
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
