rank,score
1,0.8593
2,0.8427
3,0.8338
4,0.8061
5,0.7577
6,0.7487
7,0.7386
8,0.7273
9,0.7022
10,0.6948
11,0.6094
12,0.6086
13,0.6081
14,0.6046
15,0.4736
16,0.4642
17,0.4563
18,0.3719
19,0.3692
20,0.354
21,0.3501
22,0.3469
23,0.3212
24,0.3002
25,0.2791
26,0.244
27,0.2016
28,0.1969
29,0.154
30,0.1459
31,0.0944
32,0.0552
33,0.0521
34,0.0451
35,0.0429
36,0.0354
37,0.0208
38,0.0116
39,0.0069
40,0.0069
41,0.0065
42,0.0039
43,0.0023
44,0.0011
45,0.0011
46,0.0011
47,0.0011
48,0.0011
49,0.0011
50,0.0011
51,0.0011
52,0.001
53,0.0008
54,0.0008
55,0.0007
56,0.0007
57,0.0007
58,0.0007
59,0.0007
60,0.0007
61,0.0004
62,0.0004
63,0.0004
64,0.0004
65,0.0004
66,0.0004
67,0.0004
68,0.0002
69,0.0002
70,0.0002
71,0.0002
72,0.0002
73,0.0002
74,0.0002
75,0.0002
76,0.0001
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
