rank,score
1,0.9515
2,0.9507
3,0.9503
4,0.9503
5,0.9495
6,0.949
7,0.9488
8,0.9486
9,0.9485
10,0.9485
11,0.9484
12,0.9484
13,0.948
14,0.948
15,0.948
16,0.9479
17,0.9479
18,0.9478
19,0.9478
20,0.9477
21,0.9477
22,0.9477
23,0.9476
24,0.9476
25,0.9476
26,0.9475
27,0.9475
28,0.9475
29,0.9474
30,0.9472
31,0.9471
32,0.9469
33,0.9469
34,0.9468
35,0.9468
36,0.9468
37,0.9467
38,0.9467
39,0.9467
40,0.9466
41,0.9465
42,0.9465
43,0.9464
44,0.9464
45,0.9463
46,0.9463
47,0.9462
48,0.9462
49,0.9461
50,0.946
51,0.9459
52,0.9458
53,0.9457
54,0.9457
55,0.9456
56,0.9456
57,0.9456
58,0.9455
59,0.9455
60,0.9455
61,0.9454
62,0.9453
63,0.9452
64,0.9452
65,0.9451
66,0.9451
67,0.9451
68,0.945
69,0.945
70,0.945
71,0.945
72,0.945
73,0.945
74,0.945
75,0.945
76,0.945
77,0.945
78,0.945
79,0.945
80,0.945
81,0.945
82,0.945
83,0.945
84,0.945
85,0.945
86,0.945
87,0.9449
88,0.9449
89,0.9449
90,0.9448
91,0.9448
92,0.9448
93,0.9447
94,0.9447
95,0.9446
96,0.9446
97,0.9446
98,0.9446
99,0.9445
100,0.9445
101,0.9445
102,0.9444
103,0.9444
104,0.9444
105,0.9444
106,0.9443
107,0.9443
108,0.9443
109,0.9443
110,0.9442
111,0.9442
112,0.9442
113,0.9442
114,0.9442
115,0.9441
116,0.944
117,0.944
118,0.944
119,0.944
120,0.9439
121,0.9438
122,0.9438
123,0.9438
124,0.9437
125,0.9437
126,0.9437
127,0.9436
128,0.9436
129,0.9436
130,0.9435
131,0.9435
132,0.9435
133,0.9435
134,0.9435
135,0.9434
136,0.9433
137,0.9432
138,0.9432
139,0.9431
140,0.943
141,0.943
142,0.943
143,0.9429
144,0.9429
145,0.9429
146,0.9427
147,0.9426
148,0.9426
149,0.9425
150,0.9425
151,0.9425
152,0.9425
153,0.9424
154,0.9424
155,0.9424
156,0.9423
157,0.9422
158,0.9421
159,0.9421
160,0.9421
161,0.9421
162,0.9421
163,0.942
164,0.9419
165,0.9418
166,0.9416
167,0.9414
168,0.9413
169,0.9413
170,0.9413
171,0.9413
172,0.9412
173,0.9411
174,0.9411
175,0.9411
176,0.9409
177,0.9409
178,0.9409
179,0.9408
180,0.9407
181,0.9407
182,0.9407
183,0.9406
184,0.9406
185,0.9404
186,0.9404
187,0.9403
188,0.94
189,0.94
190,0.94
191,0.94
192,0.9399
193,0.9397
194,0.9397
195,0.9396
196,0.9395
197,0.9395
198,0.9393
199,0.9392
200,0.9391
201,0.9391
202,0.939
203,0.939
204,0.9389
205,0.9387
206,0.9387
207,0.9387
208,0.9386
209,0.9386
210,0.9386
211,0.9386
212,0.9385
213,0.9384
214,0.9384
215,0.9384
216,0.9383
217,0.9382
218,0.9382
219,0.9381
220,0.938
221,0.9377
222,0.9375
223,0.9375
224,0.9374
225,0.9374
226,0.9374
227,0.9373
228,0.9373
229,0.9373
230,0.9371
231,0.9371
232,0.937
233,0.937
234,0.937
235,0.937
236,0.937
237,0.937
238,0.937
239,0.937
240,0.937
241,0.937
242,0.937
243,0.937
244,0.937
245,0.937
246,0.937
247,0.937
248,0.937
249,0.937
250,0.937
251,0.937
252,0.937
253,0.937
254,0.937
255,0.937
256,0.937
257,0.937
258,0.937
259,0.937
260,0.937
261,0.937
262,0.937
263,0.937
264,0.937
265,0.9369
266,0.9368
267,0.9368
268,0.9368
269,0.9366
270,0.9363
271,0.9363
272,0.9362
273,0.9361
274,0.9361
275,0.9361
276,0.9361
277,0.9359
278,0.9359
279,0.9358
280,0.9358
281,0.9358
282,0.9358
283,0.9358
284,0.9358
285,0.9358
286,0.9358
287,0.9358
288,0.9358
289,0.9358
290,0.9358
291,0.9358
292,0.9358
293,0.9358
294,0.9358
295,0.9358
296,0.9358
297,0.9358
298,0.9358
299,0.9358
300,0.9358
301,0.9358
302,0.9358
303,0.9358
304,0.9358
305,0.9358
306,0.9358
307,0.9358
308,0.9358
309,0.9358
310,0.9357
311,0.9357
312,0.9356
313,0.9355
314,0.9355
315,0.9355
316,0.9355
317,0.9354
318,0.9354
319,0.9354
320,0.9354
321,0.9354
322,0.9354
323,0.9354
324,0.9354
325,0.9354
326,0.9354
327,0.9354
328,0.9354
329,0.9354
330,0.9354
331,0.9353
332,0.9353
333,0.9352
334,0.9352
335,0.9351
336,0.935
337,0.9347
338,0.9347
339,0.9347
340,0.9347
341,0.9347
342,0.9347
343,0.9347
344,0.9347
345,0.9347
346,0.9347
347,0.9347
348,0.9347
349,0.9347
350,0.9347
351,0.9347
352,0.9347
353,0.9347
