rank,score
1,0.9512
2,0.9449
3,0.9446
4,0.9439
5,0.9429
6,0.9428
7,0.9428
8,0.9427
9,0.9422
10,0.9412
11,0.9411
12,0.941
13,0.9408
14,0.9407
15,0.9407
16,0.9405
17,0.9405
18,0.9405
19,0.9403
20,0.9402
21,0.9402
22,0.94
23,0.9399
24,0.9398
25,0.9395
26,0.9394
27,0.9394
28,0.9393
29,0.9393
30,0.9389
31,0.9389
32,0.9389
33,0.9388
34,0.9388
35,0.9388
36,0.9387
37,0.9387
38,0.9387
39,0.9386
40,0.9386
41,0.9385
42,0.9385
43,0.9385
44,0.9384
45,0.9384
46,0.9383
47,0.9382
48,0.9381
49,0.938
50,0.9379
51,0.9377
52,0.9377
53,0.9376
54,0.9376
55,0.9375
56,0.9375
57,0.9374
58,0.9374
59,0.9372
60,0.9372
61,0.9372
62,0.9372
63,0.9372
64,0.9371
65,0.9371
66,0.9371
67,0.937
68,0.937
69,0.937
70,0.937
71,0.9369
72,0.9367
73,0.9367
74,0.9367
75,0.9366
76,0.9365
77,0.9363
78,0.9363
79,0.9363
80,0.9362
81,0.9361
82,0.9361
83,0.9361
84,0.9361
85,0.936
86,0.936
87,0.936
88,0.936
89,0.9359
90,0.9359
91,0.9357
92,0.9357
93,0.9357
94,0.9357
95,0.9356
96,0.9356
97,0.9356
98,0.9356
99,0.9356
100,0.9356
101,0.9355
102,0.9354
103,0.9354
104,0.9354
105,0.9354
106,0.9354
107,0.9353
108,0.9353
109,0.9353
110,0.9352
111,0.9351
112,0.9351
113,0.935
114,0.935
115,0.935
116,0.935
117,0.935
118,0.935
119,0.935
120,0.935
121,0.935
122,0.935
123,0.9349
124,0.9349
125,0.9348
126,0.9348
127,0.9348
128,0.9348
129,0.9348
130,0.9348
131,0.9347
132,0.9347
133,0.9346
134,0.9346
135,0.9345
136,0.9345
137,0.9344
138,0.9344
139,0.9344
140,0.9343
141,0.9343
142,0.9343
143,0.9343
144,0.9343
145,0.9342
146,0.9342
147,0.9342
148,0.9341
149,0.9341
150,0.9341
151,0.9341
152,0.9341
153,0.9341
154,0.934
155,0.934
156,0.934
157,0.934
158,0.934
159,0.934
160,0.934
161,0.9338
162,0.9337
163,0.9337
164,0.9337
165,0.9336
166,0.9335
167,0.9335
168,0.9335
169,0.9333
170,0.9333
171,0.9332
172,0.9331
173,0.9329
174,0.9328
175,0.9328
176,0.9327
177,0.9327
178,0.9326
179,0.9326
180,0.9326
181,0.9324
182,0.9323
183,0.9323
184,0.9323
185,0.9322
186,0.9322
187,0.9321
188,0.9321
189,0.932
190,0.932
191,0.932
192,0.9319
193,0.9319
194,0.9319
195,0.9318
196,0.9318
197,0.9316
198,0.9315
199,0.9315
200,0.9315
201,0.9315
202,0.9315
203,0.9314
204,0.9313
205,0.9312
206,0.9309
207,0.9309
208,0.9308
209,0.9305
210,0.9305
211,0.9303
212,0.93
213,0.93
214,0.9299
215,0.9299
216,0.9299
217,0.9298
218,0.9296
219,0.9296
220,0.9295
221,0.929
222,0.929
223,0.929
224,0.9286
225,0.9286
226,0.9283
227,0.9281
228,0.9281
229,0.928
230,0.9278
231,0.9276
232,0.9276
233,0.9276
234,0.9275
235,0.9274
236,0.9272
237,0.9272
238,0.9272
239,0.927
240,0.927
241,0.927
242,0.927
243,0.927
244,0.927
245,0.927
246,0.927
247,0.927
248,0.927
249,0.927
250,0.9269
251,0.9268
252,0.9267
253,0.9267
254,0.9267
255,0.9267
256,0.9265
257,0.9264
258,0.9263
259,0.9263
260,0.9261
261,0.926
262,0.926
263,0.9259
264,0.9259
265,0.9258
266,0.9258
267,0.9252
268,0.925
269,0.9249
270,0.9249
271,0.9249
272,0.9248
273,0.9246
274,0.9245
275,0.9245
276,0.9245
277,0.9244
278,0.9244
279,0.9244
280,0.9244
281,0.9244
282,0.9244
283,0.9243
284,0.9243
285,0.9241
286,0.9241
287,0.924
288,0.9238
289,0.9238
290,0.9238
291,0.9238
292,0.9236
293,0.9236
294,0.9235
295,0.9235
296,0.9234
297,0.9233
298,0.9233
299,0.9233
300,0.9232
301,0.9231
302,0.9231
303,0.9231
304,0.9228
305,0.9225
306,0.9225
307,0.9223
308,0.9223
309,0.9223
310,0.9223
311,0.9223
312,0.9223
313,0.9223
314,0.9223
315,0.9223
316,0.9223
317,0.9223
318,0.9223
319,0.9223
320,0.9223
321,0.9223
322,0.9223
323,0.9223
324,0.9223
325,0.9223
326,0.9223
327,0.9223
328,0.9223
329,0.9223
330,0.9223
331,0.9223
332,0.9223
333,0.9219
334,0.9218
335,0.9218
336,0.9218
337,0.9217
338,0.9216
339,0.9216
340,0.9216
341,0.9216
342,0.9216
343,0.9216
344,0.9216
345,0.9216
346,0.9216
347,0.9216
348,0.9216
349,0.9216
350,0.9216
351,0.9216
352,0.9216
353,0.9216
354,0.9216
355,0.9216
356,0.9216
357,0.9216
358,0.9216
359,0.9216
360,0.9216
361,0.9216
362,0.9216
363,0.9216
364,0.9216
365,0.9216
366,0.9216
367,0.9216
368,0.9215
369,0.9215
370,0.9214
371,0.9214
372,0.9212
373,0.9212
374,0.921
375,0.921
376,0.9208
377,0.9207
378,0.9207
379,0.9205
380,0.9204
381,0.9203
382,0.9203
383,0.9203
384,0.9203
385,0.9202
386,0.9202
387,0.9202
388,0.9202
389,0.9202
390,0.9202
391,0.9202
392,0.9202
393,0.9202
394,0.9202
395,0.9202
396,0.9202
397,0.9202
398,0.9202
399,0.9202
400,0.9202
401,0.9202
402,0.9202
403,0.9202
404,0.9202
405,0.9202
406,0.9202
407,0.9202
408,0.9202
409,0.9202
410,0.9202
411,0.9202
412,0.9202
413,0.9202
414,0.9202
415,0.9201
416,0.92
417,0.92
418,0.92
419,0.92
420,0.92
421,0.92
422,0.92
423,0.92
424,0.92
425,0.92
426,0.92
427,0.92
428,0.92
429,0.92
430,0.92
431,0.92
432,0.92
433,0.92
434,0.92
435,0.92
436,0.92
437,0.92
438,0.92
439,0.92
440,0.92
441,0.92
442,0.92
443,0.92
444,0.92
445,0.92
446,0.92
447,0.92
448,0.92
449,0.9199
450,0.9199
451,0.9198
452,0.9198
453,0.9198
454,0.9196
455,0.9196
456,0.9196
457,0.9194
458,0.9193
459,0.9192
460,0.9191
461,0.9191
462,0.9191
463,0.9191
464,0.9191
465,0.9191
466,0.9191
467,0.9191
468,0.9191
469,0.9191
470,0.9191
471,0.9191
472,0.9191
473,0.9191
474,0.9191
475,0.9191
476,0.9191
477,0.9191
478,0.9191
479,0.9191
480,0.9191
481,0.9191
482,0.9191
483,0.9191
484,0.9191
485,0.9191
486,0.9191
487,0.919
488,0.919
489,0.919
490,0.919
491,0.919
492,0.9188
493,0.9187
494,0.9187
495,0.9186
496,0.9186
497,0.9185
498,0.9183
499,0.9183
500,0.9183
501,0.9183
502,0.9183
503,0.9183
504,0.9183
505,0.9183
506,0.9183
507,0.9183
508,0.9183
509,0.9183
510,0.9183
511,0.9183
512,0.9183
513,0.9183
514,0.9182
515,0.9182
516,0.9181
517,0.9181
518,0.918
519,0.918
520,0.9179
521,0.9178
522,0.9178
523,0.9178
524,0.9176
525,0.9176
526,0.9176
527,0.9175
528,0.9173
529,0.9173
530,0.9171
531,0.9168
532,0.9168
533,0.9167
534,0.9167
535,0.9167
536,0.9167
537,0.9167
538,0.9167
