rank,score
1,0.960027
2,0.960242
3,0.96466
4,0.965457
5,0.974912
6,0.975052
7,0.975408
8,0.97658
9,0.976827
10,0.97685
11,0.977306
12,0.978663
13,0.981194
14,0.983078
15,0.985087
16,0.987157
17,0.987735
18,0.987743
19,0.990406
20,0.992082
21,0.99318
22,0.993731
23,0.993988
24,0.995048
25,0.995327
26,0.995368
27,0.995818
28,0.996036
29,0.997448
30,0.997451
31,0.997474
32,0.997558
33,0.998357
34,0.99921
35,0.999294
36,0.999446
37,1.000479
38,1.000762
39,1.00262
40,1.00296
41,1.003848
42,1.003968
43,1.004264
44,1.004614
45,1.004716
46,1.005204
47,1.006274
48,1.006531
49,1.007446
50,1.007885
51,1.008035
52,1.008337
53,1.008538
54,1.009111
55,1.009225
56,1.009375
57,1.009676
58,1.01009
59,1.010248
60,1.010315
61,1.01058
62,1.011041
63,1.011163
64,1.011676
65,1.011948
66,1.012006
67,1.012238
68,1.012367
69,1.012523
70,1.012711
71,1.013587
72,1.013595
73,1.013871
74,1.014327
75,1.0144
76,1.014694
77,1.014766
78,1.014868
79,1.014982
80,1.015135
81,1.015144
82,1.015193
83,1.015284
84,1.015812
85,1.015974
86,1.016099
87,1.016275
88,1.016278
89,1.016367
90,1.01657
91,1.016719
92,1.01708
93,1.017103
94,1.017208
95,1.017266
96,1.017319
97,1.017543
98,1.018149
99,1.018484
100,1.018571
101,1.018595
102,1.018618
103,1.018762
104,1.018836
105,1.018836
106,1.01893
107,1.018968
108,1.019002
109,1.019012
110,1.019015
111,1.019016
112,1.019017
113,1.019018
114,1.019018
115,1.019018
116,1.019019
117,1.019019
118,1.019019
119,1.019019
120,1.019019
121,1.019019
122,1.019019
123,1.01902
124,1.01902
125,1.01902
126,1.01902
127,1.01902
128,1.01902
129,1.01902
130,1.019021
131,1.019021
132,1.019022
133,1.019022
134,1.019022
135,1.019023
136,1.019023
137,1.019023
138,1.019023
139,1.019023
140,1.019023
141,1.019025
142,1.019025
143,1.019026
144,1.019026
145,1.019027
146,1.019027
147,1.019028
148,1.019028
149,1.019028
150,1.019028
151,1.019028
152,1.019028
153,1.019028
154,1.019028
155,1.019028
156,1.019028
157,1.019028
158,1.019028
159,1.019028
160,1.019028
161,1.019028
162,1.019028
163,1.019028
164,1.019028
165,1.019028
166,1.019028
167,1.019028
