rank,score
1,0.959378
2,0.959495
3,0.962769
4,0.964146
5,0.974294
6,0.974638
7,0.974838
8,0.975545
9,0.975771
10,0.97635
11,0.976716
12,0.978026
13,0.979414
14,0.982585
15,0.984403
16,0.986424
17,0.986665
18,0.986786
19,0.990368
20,0.991094
21,0.992522
22,0.993162
23,0.993539
24,0.994534
25,0.994622
26,0.994788
27,0.994795
28,0.995054
29,0.995876
30,0.995939
31,0.996377
32,0.996722
33,0.997421
34,0.998353
35,0.998552
36,0.998588
37,0.999445
38,0.999719
39,1.00096
40,1.001429
41,1.002576
42,1.002656
43,1.002703
44,1.00298
45,1.003134
46,1.004382
47,1.005127
48,1.005683
49,1.006116
50,1.006579
51,1.00682
52,1.007087
53,1.007093
54,1.00723
55,1.007514
56,1.007572
57,1.008106
58,1.008616
59,1.008931
60,1.008979
61,1.009327
62,1.010113
63,1.010122
64,1.010529
65,1.011001
66,1.011063
67,1.011066
68,1.011124
69,1.011308
70,1.011604
71,1.01233
72,1.012585
73,1.012725
74,1.01274
75,1.012868
76,1.01303
77,1.013174
78,1.013326
79,1.013448
80,1.013534
81,1.013562
82,1.013895
83,1.01399
84,1.014553
85,1.014809
86,1.014931
87,1.014958
88,1.015029
89,1.015059
90,1.015236
91,1.015447
92,1.015464
93,1.015625
94,1.015744
95,1.015748
96,1.015771
97,1.01615
98,1.016542
99,1.016903
100,1.016938
101,1.016938
102,1.01697
103,1.017092
104,1.01723
105,1.017235
106,1.017235
107,1.017288
108,1.017369
109,1.01737
110,1.017374
111,1.017375
112,1.017377
113,1.017377
114,1.017377
115,1.017377
116,1.017377
117,1.017377
118,1.017377
119,1.017377
120,1.017378
121,1.017379
122,1.01738
123,1.01738
124,1.01738
125,1.01738
126,1.017381
127,1.017381
128,1.017381
129,1.017381
130,1.017382
131,1.017382
132,1.017382
133,1.017382
134,1.017382
135,1.017383
136,1.017383
137,1.017383
138,1.017383
139,1.017384
140,1.017384
141,1.017384
142,1.017384
143,1.017384
144,1.017384
145,1.017384
146,1.017384
147,1.017384
148,1.017384
149,1.017384
150,1.017384
151,1.017384
152,1.017384
153,1.017384
154,1.017384
155,1.017384
156,1.017384
157,1.017384
158,1.017384
159,1.017384
160,1.017384
161,1.017384
162,1.017384
163,1.017384
164,1.017384
165,1.017384
166,1.017384
167,1.017384
168,1.017384
169,1.017384
170,1.017384
171,1.017384
172,1.017384
173,1.017384
174,1.017384
175,1.017384
176,1.017384
177,1.017384
178,1.017384
179,1.017384
180,1.017384
181,1.017384
182,1.017384
183,1.017384
184,1.017384
185,1.017384
186,1.017384
187,1.017384
188,1.017384
189,1.017384
190,1.017384
191,1.017384
192,1.017384
193,1.017384
194,1.017384
195,1.017384
196,1.017384
197,1.017384
198,1.017384
199,1.017384
200,1.017384
201,1.017384
202,1.017384
203,1.017384
204,1.017384
205,1.017384
206,1.017384
207,1.017384
208,1.017384
209,1.017384
210,1.017384
211,1.017384
212,1.017384
213,1.017384
214,1.017384
215,1.017384
216,1.017384
217,1.017384
218,1.017384
219,1.017384
220,1.017384
221,1.017384
222,1.017384
223,1.017384
224,1.017384
225,1.017384
226,1.017384
227,1.017384
228,1.017384
229,1.017384
230,1.017384
231,1.017384
232,1.017384
233,1.017384
234,1.017384
235,1.017384
236,1.017384
237,1.017384
238,1.017384
239,1.017384
240,1.017384
241,1.017384
242,1.017384
243,1.017384
244,1.017384
245,1.017384
246,1.017384
247,1.017384
248,1.017384
249,1.017384
250,1.017384
251,1.017384
252,1.017384
253,1.017384
254,1.017384
255,1.017384
256,1.017384
257,1.017384
258,1.017384
259,1.017384
260,1.017384
261,1.017384
262,1.017384
263,1.017384
264,1.017384
265,1.017384
266,1.017384
267,1.017384
268,1.017384
269,1.017384
270,1.017384
271,1.017384
272,1.017384
273,1.017384
274,1.017384
275,1.017384
276,1.017384
277,1.017384
278,1.017384
279,1.017384
280,1.017384
281,1.017384
282,1.017384
283,1.017384
284,1.017384
285,1.017384
286,1.017384
287,1.017384
288,1.017384
289,1.017384
290,1.017384
291,1.017384
292,1.017384
293,1.017384
294,1.017384
295,1.017384
296,1.017384
297,1.017384
298,1.017384
299,1.017384
300,1.017384
301,1.017384
302,1.017384
303,1.017384
304,1.017384
305,1.017384
306,1.017384
307,1.017384
308,1.017384
309,1.017384
310,1.017384
311,1.017384
312,1.017384
313,1.017384
314,1.017384
315,1.017384
316,1.017384
317,1.017384
318,1.017384
319,1.017384
320,1.017384
321,1.017384
322,1.017384
323,1.017384
324,1.017384
325,1.017384
326,1.017384
327,1.017384
328,1.017384
329,1.017384
330,1.017384
331,1.017384
332,1.017384
333,1.017384
334,1.017384
335,1.017384
336,1.017384
337,1.017384
338,1.017384
339,1.017385
340,1.017385
341,1.017387
342,1.017388
343,1.017389
344,1.017391
345,1.017391
346,1.017393
347,1.017396
348,1.017402
349,1.017415
350,1.017418
351,1.017429
352,1.01743
353,1.017457
354,1.017483
355,1.017491
356,1.017523
357,1.017538
358,1.017579
359,1.017877
360,1.01804
361,1.018049
362,1.0181
363,1.018201
364,1.018213
365,1.018213
366,1.018213
367,1.018213
368,1.018213
369,1.018213
370,1.018213
371,1.018213
372,1.018213
373,1.018214
374,1.018214
375,1.018214
376,1.018214
377,1.018214
378,1.018214
379,1.018214
380,1.018214
381,1.018214
382,1.018214
383,1.018214
384,1.018214
385,1.018214
386,1.018214
387,1.018214
388,1.018214
389,1.018214
390,1.018215
391,1.018215
392,1.018215
393,1.018215
394,1.018215
395,1.018215
396,1.018215
397,1.018215
398,1.018215
399,1.018215
400,1.018215
401,1.018215
402,1.018215
403,1.018215
404,1.018215
405,1.018215
406,1.018215
407,1.018215
408,1.018215
409,1.018215
410,1.018215
411,1.018215
412,1.018215
413,1.018215
414,1.018215
415,1.018215
416,1.018215
417,1.018215
418,1.018215
419,1.018215
420,1.018215
421,1.018215
422,1.018215
423,1.018215
424,1.018215
425,1.018215
426,1.018215
427,1.018215
428,1.018215
429,1.018215
430,1.018215
431,1.018215
432,1.018215
433,1.018215
434,1.018215
435,1.018215
436,1.018215
437,1.018215
438,1.018216
439,1.018216
