rank,score
1,0.30626
2,0.32586
3,0.33974
4,0.34077
5,0.34512
6,0.34696
7,0.34752
8,0.34858
9,0.35304
10,0.35326
11,0.35568
12,0.35621
13,0.36148
14,0.36168
15,0.36331
16,0.36361
17,0.36622
18,0.36632
19,0.36689
20,0.36998
21,0.37003
22,0.37093
23,0.3716
24,0.37203
25,0.37295
26,0.37383
27,0.37389
28,0.37411
29,0.37418
30,0.37426
31,0.3745
32,0.37486
33,0.3751
34,0.37548
35,0.37591
36,0.37608
37,0.37609
38,0.3766
39,0.3771
40,0.37719
41,0.37731
42,0.37796
43,0.37816
44,0.37816
45,0.37816
46,0.37816
47,0.37816
48,0.37816
49,0.37816
50,0.37816
51,0.37816
52,0.37816
53,0.37816
54,0.37816
55,0.37816
56,0.37816
57,0.37816
58,0.37816
59,0.37816
60,0.37816
61,0.37816
62,0.37816
63,0.37816
64,0.37816
65,0.37816
66,0.37816
67,0.37816
68,0.37816
69,0.37816
70,0.37816
71,0.37816
72,0.37816
73,0.37816
74,0.37816
75,0.37816
76,0.37816
77,0.37816
78,0.37816
79,0.37816
80,0.37816
81,0.37816
82,0.37816
83,0.37816
84,0.37816
85,0.37875
86,0.37899
87,0.37972
88,0.3803
89,0.3805
90,0.38059
91,0.38087
92,0.38087
93,0.38087
94,0.38092
95,0.38129
96,0.38143
97,0.38163
98,0.38176
99,0.3819
100,0.3819
101,0.38195
102,0.3821
103,0.38215
104,0.38288
105,0.38388
106,0.38431
107,0.38441
108,0.38441
109,0.38445
110,0.38464
111,0.38467
112,0.38508
113,0.38552
114,0.3856
115,0.38567
116,0.38599
117,0.38602
118,0.38645
119,0.38678
120,0.38684
121,0.38754
122,0.38759
123,0.3876
124,0.38824
125,0.38832
126,0.38888
127,0.38938
128,0.38961
129,0.39008
130,0.39019
131,0.39035
132,0.39043
133,0.3906
134,0.39092
135,0.39113
136,0.39157
137,0.39159
138,0.39163
139,0.39171
140,0.39197
141,0.39209
142,0.39221
143,0.39231
144,0.39253
145,0.39256
146,0.393
147,0.39308
148,0.39358
149,0.39377
150,0.39407
151,0.39483
152,0.39486
153,0.39503
154,0.3952
155,0.39594
156,0.39623
157,0.39627
158,0.39641
159,0.39644
160,0.39674
161,0.39693
162,0.39697
163,0.39711
164,0.39711
165,0.39711
166,0.39711
167,0.39711
168,0.39711
169,0.39711
170,0.39711
171,0.39711
172,0.39711
173,0.39711
174,0.39711
175,0.39711
176,0.39711
177,0.39711
178,0.39711
179,0.39711
180,0.39711
181,0.39711
182,0.3974
183,0.39742
184,0.39744
185,0.39758
186,0.39792
187,0.398
188,0.39804
189,0.39813
190,0.39825
191,0.39833
192,0.39863
193,0.39866
194,0.39889
195,0.39894
196,0.39895
197,0.39898
198,0.39915
199,0.39922
200,0.39929
201,0.39933
202,0.3995
203,0.39971
204,0.39988
205,0.40014
206,0.40019
207,0.40023
208,0.40023
209,0.40023
210,0.40023
211,0.40023
212,0.40023
213,0.40023
214,0.40023
215,0.40026
216,0.40032
217,0.40037
218,0.40051
219,0.40086
220,0.40088
221,0.40088
222,0.40093
223,0.40099
224,0.40099
225,0.40101
226,0.40114
227,0.40119
228,0.4013
229,0.40143
230,0.40151
231,0.40165
232,0.40182
233,0.40191
234,0.40201
235,0.40212
236,0.40238
237,0.40251
238,0.40256
239,0.40263
240,0.40271
241,0.40274
242,0.40277
243,0.40283
244,0.40283
245,0.40312
246,0.40328
247,0.4033
248,0.40337
249,0.40339
250,0.40344
251,0.40345
252,0.40359
253,0.40359
254,0.40372
255,0.40375
256,0.40377
257,0.4038
258,0.4041
259,0.40415
260,0.40427
261,0.40459
262,0.40485
263,0.40501
264,0.40502
265,0.40512
266,0.40535
267,0.40555
268,0.40579
269,0.40596
270,0.40612
271,0.40628
272,0.40636
273,0.40646
274,0.40669
275,0.40693
276,0.40701
277,0.40701
278,0.40706
279,0.40707
280,0.40739
281,0.4074
282,0.40742
283,0.40747
284,0.40762
285,0.40775
286,0.4078
287,0.40817
288,0.40824
289,0.40824
290,0.40833
291,0.40878
292,0.4088
293,0.40882
294,0.40883
295,0.40896
296,0.40913
297,0.40917
298,0.4093
299,0.40947
300,0.40953
301,0.40958
302,0.4096
303,0.40963
304,0.40984
305,0.40997
306,0.41024
307,0.41039
308,0.41041
309,0.41041
310,0.41041
311,0.41057
312,0.41073
313,0.41074
314,0.41075
315,0.4109
316,0.41092
317,0.41118
318,0.41125
319,0.41139
320,0.41153
321,0.41175
322,0.41209
323,0.41215
324,0.41216
325,0.41224
326,0.41227
327,0.4123
328,0.41241
329,0.41245
330,0.41247
331,0.41254
332,0.41266
333,0.41268
334,0.41287
335,0.41293
336,0.41311
337,0.41311
338,0.41318
339,0.41333
340,0.4134
341,0.41349
342,0.41356
343,0.4137
344,0.41378
345,0.41388
346,0.41391
347,0.41394
348,0.41398
349,0.41402
350,0.41404
351,0.41413
352,0.41414
353,0.4142
354,0.41439
355,0.41443
356,0.41447
357,0.4145
358,0.41458
359,0.4147
360,0.41488
361,0.41488
362,0.41496
363,0.41498
364,0.41498
365,0.41505
366,0.41508
367,0.41511
368,0.41511
369,0.41526
370,0.41544
371,0.41544
372,0.41547
373,0.41549
374,0.41558
375,0.4156
376,0.41573
377,0.41576
378,0.41582
379,0.41585
380,0.41591
381,0.41595
382,0.41597
383,0.41598
384,0.41604
385,0.41607
386,0.41612
387,0.41612
388,0.41612
389,0.41612
390,0.41612
391,0.41612
392,0.41612
393,0.41623
394,0.41624
395,0.41634
396,0.41642
397,0.41676
398,0.41677
399,0.41678
400,0.41678
401,0.4169
402,0.41699
403,0.417
404,0.41714
405,0.41715
406,0.41718
407,0.41727
408,0.4173
409,0.41735
410,0.41738
411,0.41738
412,0.4175
413,0.4175
414,0.41754
415,0.41758
416,0.41767
417,0.41781
418,0.41782
419,0.41784
420,0.4181
421,0.4183
422,0.41844
423,0.41849
424,0.41868
425,0.41871
426,0.41876
427,0.41891
428,0.41897
429,0.41905
430,0.4191
431,0.41921
432,0.41924
433,0.4193
434,0.41936
435,0.41951
436,0.41951
437,0.41951
438,0.41974
439,0.41976
440,0.4198
441,0.41981
442,0.41993
443,0.41994
444,0.41995
445,0.41997
446,0.41998
447,0.42005
448,0.42009
449,0.4201
450,0.42021
451,0.42032
452,0.42035
453,0.42042
454,0.42044
