rank,score
1,0.0
2,0.00482
3,0.01875
4,0.03037
5,0.03043
6,0.03597
7,0.038
8,0.04041
9,0.04313
10,0.04378
11,0.04429
12,0.04437
13,0.04824
14,0.04838
15,0.04913
16,0.04925
17,0.04993
18,0.05161
19,0.05231
20,0.05288
21,0.05314
22,0.05318
23,0.05336
24,0.05385
25,0.05458
26,0.05491
27,0.05491
28,0.05506
29,0.05511
30,0.05552
31,0.05565
32,0.0561
33,0.05626
34,0.05647
35,0.05727
36,0.05733
37,0.05733
38,0.05756
39,0.05756
40,0.05756
41,0.05756
42,0.05756
43,0.05764
44,0.05771
45,0.05857
46,0.05896
47,0.05926
48,0.05939
49,0.05958
50,0.05965
51,0.05965
52,0.05976
53,0.05987
54,0.05988
55,0.05991
56,0.06037
57,0.06044
58,0.06044
59,0.06044
60,0.06049
61,0.06056
62,0.06072
63,0.06085
64,0.06096
65,0.06118
66,0.06125
67,0.06128
68,0.06128
69,0.06137
70,0.06148
71,0.06148
72,0.06149
73,0.06161
74,0.06174
75,0.06176
76,0.06184
77,0.06185
78,0.06223
79,0.06239
80,0.0625
81,0.06251
82,0.0626
83,0.06264
84,0.0628
85,0.06285
86,0.06288
87,0.06288
88,0.06288
89,0.06288
90,0.06288
91,0.0629
92,0.0629
93,0.06294
94,0.06294
95,0.06294
96,0.06294
97,0.06294
98,0.06294
99,0.06294
100,0.06294
101,0.06294
102,0.06294
103,0.06294
104,0.06294
105,0.06294
106,0.06294
107,0.06294
108,0.06294
109,0.06294
110,0.06294
111,0.06294
112,0.06294
113,0.06294
114,0.06294
115,0.06306
116,0.06329
117,0.06333
118,0.06335
119,0.06339
120,0.06366
121,0.06367
122,0.06369
123,0.06372
124,0.0638
125,0.06382
126,0.06382
127,0.06382
128,0.06382
129,0.06382
130,0.06382
131,0.06382
132,0.06382
133,0.06384
134,0.06391
135,0.06392
136,0.06395
137,0.06398
138,0.06399
139,0.06405
140,0.06405
141,0.06409
142,0.06413
143,0.06413
144,0.06415
145,0.06427
146,0.06427
147,0.06427
148,0.0643
149,0.06432
150,0.06438
151,0.06451
152,0.06457
153,0.06458
154,0.06458
155,0.06458
156,0.06458
157,0.06458
158,0.06458
159,0.0647
160,0.0647
161,0.06482
162,0.06483
163,0.06496
164,0.06496
165,0.06496
166,0.06512
167,0.06517
168,0.06518
169,0.06518
170,0.06518
171,0.06518
172,0.06518
173,0.06518
174,0.06518
175,0.06518
176,0.06518
177,0.06518
178,0.06518
179,0.06518
180,0.06518
181,0.06518
182,0.06518
183,0.06518
184,0.06518
185,0.06518
186,0.06518
187,0.06518
188,0.06518
189,0.06518
190,0.06518
191,0.06518
192,0.06518
193,0.06518
194,0.06518
195,0.06518
196,0.06518
197,0.06518
198,0.06518
199,0.06518
200,0.06518
201,0.06518
202,0.06518
203,0.06518
204,0.06518
205,0.06518
206,0.06518
207,0.06518
208,0.06518
209,0.06518
210,0.06518
211,0.06518
212,0.06518
213,0.06518
214,0.06518
215,0.06518
216,0.06518
217,0.06518
218,0.06518
219,0.06518
220,0.06518
221,0.06518
222,0.06518
223,0.06518
224,0.06518
225,0.06518
226,0.06518
227,0.06518
228,0.06518
229,0.06518
230,0.06518
231,0.06518
232,0.06518
233,0.06518
234,0.06518
235,0.06518
236,0.06518
237,0.06518
238,0.06518
239,0.06518
240,0.06518
241,0.06518
242,0.06518
243,0.06518
244,0.06518
245,0.06518
246,0.06518
247,0.06518
248,0.06518
249,0.06518
250,0.06518
251,0.06518
252,0.06518
253,0.06518
254,0.06518
255,0.06518
256,0.06518
257,0.06518
258,0.06518
259,0.06518
260,0.06518
261,0.06518
262,0.06518
263,0.06518
264,0.06518
265,0.06518
266,0.06518
267,0.06518
268,0.06518
269,0.06518
270,0.06518
271,0.06518
272,0.06518
273,0.06518
274,0.06518
275,0.06518
276,0.06518
277,0.06518
278,0.06518
279,0.06518
280,0.06518
281,0.06518
282,0.06518
283,0.06518
284,0.06518
285,0.06518
286,0.06518
287,0.06518
288,0.06518
289,0.06518
290,0.06518
291,0.06518
292,0.06518
293,0.06518
294,0.06518
295,0.06518
296,0.06518
297,0.06518
298,0.06521
299,0.06523
300,0.06524
301,0.06527
302,0.06527
303,0.06527
304,0.06527
305,0.06527
306,0.06531
307,0.06537
308,0.06538
309,0.0654
310,0.06542
311,0.06553
312,0.06554
313,0.06554
314,0.06554
315,0.06554
316,0.06554
317,0.06554
318,0.06555
319,0.06558
320,0.0656
321,0.0656
322,0.0656
323,0.06561
324,0.06561
325,0.06561
326,0.06561
327,0.06561
328,0.06561
329,0.06561
330,0.06561
331,0.06561
332,0.06561
333,0.06561
334,0.06561
335,0.06561
336,0.06561
337,0.06561
338,0.06561
339,0.06564
340,0.06564
341,0.06565
342,0.06568
343,0.06573
344,0.06576
345,0.06578
346,0.06578
347,0.06589
348,0.0659
349,0.06591
350,0.06591
351,0.06591
352,0.06591
353,0.06591
354,0.06591
355,0.06591
356,0.06591
357,0.06591
358,0.06591
359,0.06591
360,0.06591
361,0.06591
362,0.06591
363,0.06591
364,0.06591
365,0.06591
366,0.06591
367,0.06591
368,0.06591
369,0.06591
370,0.06591
371,0.06591
372,0.06591
373,0.06591
374,0.06591
375,0.06591
376,0.06591
377,0.06591
378,0.06591
379,0.06591
380,0.06591
381,0.06591
382,0.06591
383,0.06591
384,0.06591
385,0.06596
386,0.06596
387,0.06596
388,0.06596
389,0.06596
390,0.06596
391,0.06596
392,0.06596
393,0.06596
394,0.06596
395,0.06596
396,0.06596
397,0.06596
398,0.06596
399,0.06596
400,0.06596
401,0.06596
402,0.06596
403,0.06596
404,0.06596
405,0.06596
406,0.06596
407,0.06596
408,0.06596
409,0.06596
410,0.06596
411,0.06596
412,0.06596
413,0.06596
414,0.06596
415,0.06596
416,0.06596
417,0.06596
418,0.06596
419,0.06596
420,0.06596
421,0.06596
422,0.06596
423,0.06596
424,0.06596
425,0.06596
426,0.06596
427,0.06596
428,0.06596
429,0.06596
430,0.06596
431,0.06596
432,0.06596
433,0.06596
434,0.06596
435,0.06596
436,0.06596
437,0.06596
438,0.06596
439,0.06596
440,0.06596
441,0.06596
442,0.06599
443,0.066
444,0.06601
445,0.06601
446,0.06601
447,0.06605
448,0.06605
449,0.06605
450,0.06606
451,0.06608
452,0.06611
453,0.06612
454,0.06613
455,0.06613
456,0.06613
457,0.06613
458,0.06613
459,0.06613
460,0.06613
461,0.06613
462,0.06613
463,0.06613
464,0.06613
465,0.06613
466,0.06613
467,0.06613
468,0.06613
469,0.06613
470,0.06613
471,0.06613
472,0.06613
473,0.06613
474,0.06613
475,0.06613
476,0.06613
477,0.06613
478,0.06613
479,0.06613
480,0.06613
481,0.06613
482,0.06613
483,0.06613
484,0.06613
485,0.06613
486,0.06613
487,0.06613
488,0.06613
489,0.06613
490,0.06613
491,0.06613
492,0.06613
493,0.06613
494,0.06613
495,0.06613
496,0.06613
497,0.06613
498,0.06613
499,0.06613
500,0.06613
501,0.06613
502,0.06613
503,0.06613
504,0.06613
505,0.06613
506,0.06613
507,0.06613
508,0.06613
509,0.06613
510,0.06613
511,0.06613
512,0.06613
513,0.06613
514,0.06613
515,0.06613
516,0.06613
517,0.06613
518,0.06613
519,0.06613
520,0.06613
521,0.06613
522,0.06613
523,0.06613
524,0.06613
525,0.06613
526,0.06613
527,0.06613
528,0.06613
529,0.06613
530,0.06613
531,0.06613
532,0.06613
533,0.06613
534,0.06613
535,0.06613
536,0.06613
537,0.06613
538,0.06613
539,0.06613
540,0.06613
541,0.06613
542,0.06613
543,0.06613
544,0.06613
545,0.06613
546,0.06613
547,0.06613
548,0.06613
549,0.06613
550,0.06613
551,0.06613
552,0.06613
553,0.06613
554,0.06613
555,0.06613
556,0.06613
557,0.06613
558,0.06613
559,0.06613
560,0.06613
561,0.06613
562,0.06613
563,0.06613
564,0.06613
565,0.06613
566,0.06613
567,0.06613
568,0.06613
569,0.06613
570,0.06613
571,0.06613
572,0.06613
573,0.06613
574,0.06613
575,0.06613
576,0.06613
577,0.06613
578,0.06613
579,0.06613
580,0.06613
581,0.06613
582,0.06613
583,0.06613
584,0.06613
585,0.06613
586,0.06613
587,0.06613
588,0.06613
589,0.06613
590,0.06613
591,0.06613
592,0.06613
593,0.06613
594,0.06613
595,0.06613
596,0.06613
597,0.06613
598,0.06613
599,0.06613
600,0.06613
601,0.06613
602,0.06613
603,0.06613
604,0.06613
605,0.06613
606,0.06613
607,0.06613
608,0.06613
609,0.06613
610,0.06613
611,0.06613
612,0.06613
613,0.06613
614,0.06613
615,0.06613
616,0.06613
617,0.06613
618,0.06613
619,0.06613
620,0.06613
621,0.06613
622,0.06613
623,0.06613
624,0.06613
625,0.06613
626,0.06613
627,0.06613
628,0.06613
629,0.06613
630,0.06613
631,0.06613
632,0.06613
633,0.06613
634,0.06613
635,0.06613
636,0.06613
637,0.06613
638,0.06613
639,0.06613
640,0.06613
641,0.06613
642,0.06613
643,0.06613
644,0.06613
645,0.06613
646,0.06613
647,0.06613
648,0.06613
649,0.06613
650,0.06613
651,0.06613
652,0.06613
653,0.06613
654,0.06613
655,0.06613
656,0.06613
657,0.06613
658,0.06613
659,0.06613
660,0.06613
661,0.06613
662,0.06613
663,0.06613
664,0.06613
665,0.06613
666,0.06613
667,0.06613
668,0.06613
669,0.06613
670,0.06613
671,0.06613
672,0.06613
673,0.06613
674,0.06613
675,0.06613
676,0.06613
677,0.06613
678,0.06613
679,0.06613
680,0.06613
681,0.06613
682,0.06613
683,0.06613
684,0.06613
685,0.06613
686,0.06613
687,0.06613
688,0.06613
689,0.06613
690,0.06613
691,0.06613
692,0.06613
693,0.06613
694,0.06613
695,0.06613
696,0.06613
697,0.06613
698,0.06613
699,0.06613
700,0.06613
701,0.06613
702,0.06613
703,0.06613
704,0.06613
705,0.06613
706,0.06613
707,0.06613
708,0.06613
709,0.06613
710,0.06613
711,0.06613
712,0.06613
713,0.06613
714,0.06613
715,0.06613
716,0.06613
