rank,score
1,0.11983
2,0.12018
3,0.12239
4,0.12274
5,0.12379
6,0.12379
7,0.12414
8,0.12437
9,0.12449
10,0.12507
11,0.1253
12,0.12577
13,0.12623
14,0.12635
15,0.12658
16,0.12681
17,0.12693
18,0.12739
19,0.12751
20,0.12798
21,0.12809
22,0.12821
23,0.12984
24,0.13042
25,0.13042
26,0.13147
27,0.1317
28,0.13216
29,0.13333
30,0.13368
31,0.13391
32,0.13403
33,0.13426
34,0.13507
35,0.13531
36,0.13542
37,0.136
38,0.13694
39,0.13775
40,0.13787
41,0.13833
42,0.13926
43,0.13938
44,0.13961
45,0.13984
46,0.13984
47,0.13996
48,0.14019
49,0.14031
50,0.14043
51,0.14124
52,0.14171
53,0.14299
54,0.14357
55,0.14461
56,0.14473
57,0.14496
58,0.14508
59,0.14508
60,0.14508
61,0.1452
62,0.1452
63,0.14543
64,0.14543
65,0.14554
66,0.14566
67,0.14566
68,0.14601
69,0.14613
70,0.14624
71,0.14682
72,0.14729
73,0.14729
74,0.14764
75,0.14822
76,0.14822
77,0.14845
78,0.14857
79,0.1488
80,0.14892
81,0.14892
82,0.14915
83,0.14938
84,0.1495
85,0.14962
86,0.14973
87,0.15008
88,0.1502
89,0.1502
90,0.15066
91,0.1509
92,0.15113
93,0.15125
94,0.15183
95,0.15206
96,0.15218
97,0.15229
98,0.15229
99,0.15229
100,0.15322
101,0.15334
102,0.15334
103,0.15404
104,0.15404
105,0.15415
106,0.15485
107,0.15509
108,0.1552
109,0.1573
110,0.15764
111,0.15834
112,0.15858
113,0.15881
114,0.15881
115,0.15904
116,0.15997
117,0.16172
118,0.16195
119,0.16195
120,0.16253
121,0.16265
122,0.16265
123,0.16276
124,0.16288
125,0.16369
126,0.16451
127,0.16486
128,0.16579
129,0.16637
130,0.16649
131,0.16765
132,0.16765
133,0.16881
134,0.16881
135,0.16916
136,0.16951
137,0.16951
138,0.16951
139,0.16974
140,0.17079
141,0.17114
142,0.17172
143,0.17393
144,0.17486
145,0.17545
146,0.17568
147,0.17614
148,0.17649
149,0.17998
150,0.18045
