rank,score
1,0.11262
2,0.11289
3,0.11507
4,0.11534
5,0.11534
6,0.11561
7,0.11615
8,0.1167
9,0.11833
10,0.11915
11,0.11942
12,0.11942
13,0.11942
14,0.11996
15,0.12159
16,0.12159
17,0.12187
18,0.12214
19,0.12241
20,0.12323
21,0.12431
22,0.12486
23,0.12486
24,0.12513
25,0.12649
26,0.12676
27,0.12704
28,0.12704
29,0.12731
30,0.12758
31,0.12758
32,0.12812
33,0.12894
34,0.12921
35,0.12921
36,0.13057
37,0.13193
38,0.13193
39,0.13248
40,0.13275
41,0.13275
42,0.13329
43,0.13356
44,0.13356
45,0.13411
46,0.13438
47,0.1352
48,0.13574
49,0.13574
50,0.13574
51,0.13601
52,0.13683
53,0.1371
54,0.13737
55,0.13737
56,0.13764
57,0.13764
58,0.13792
59,0.139
60,0.13928
61,0.13955
62,0.13955
63,0.14118
64,0.14118
65,0.14173
66,0.14173
67,0.14254
68,0.14254
69,0.14254
70,0.14281
71,0.14281
72,0.14336
73,0.14363
74,0.14417
75,0.14417
76,0.14445
77,0.14445
78,0.14472
79,0.14472
80,0.14472
81,0.14472
82,0.14499
83,0.14499
84,0.14526
85,0.14581
86,0.14581
87,0.14608
88,0.14717
89,0.14744
90,0.14744
91,0.14744
92,0.14771
93,0.14798
94,0.14798
95,0.14825
96,0.14853
97,0.1488
98,0.14934
99,0.14934
100,0.14961
101,0.15016
102,0.15043
103,0.1507
104,0.15125
105,0.15261
106,0.15288
107,0.15342
108,0.15342
109,0.15342
110,0.15342
111,0.15369
112,0.15397
113,0.15451
114,0.15614
115,0.15642
116,0.15669
117,0.15696
118,0.1575
119,0.1575
120,0.15805
121,0.15859
122,0.15886
123,0.15886
124,0.15886
125,0.15886
126,0.1605
127,0.16131
128,0.16158
129,0.16186
130,0.16322
131,0.16485
132,0.16512
133,0.16512
134,0.16566
135,0.16594
136,0.16621
137,0.16675
138,0.16702
139,0.1673
140,0.16757
141,0.16757
142,0.16784
143,0.16784
144,0.16893
145,0.17274
146,0.17383
147,0.1741
148,0.1741
149,0.17437
150,0.17519
151,0.17627
152,0.17682
153,0.17845
154,0.17927
155,0.17954
156,0.17981
157,0.18063
158,0.18144
159,0.18226
160,0.1828
161,0.18416
162,0.18416
163,0.18471
164,0.18471
165,0.18471
166,0.18607
167,0.18688
168,0.18743
169,0.18906
170,0.1896
171,0.19015
172,0.19015
173,0.19069
174,0.19096
175,0.19314
176,0.19368
177,0.19368
178,0.19586
179,0.19586
180,0.19586
181,0.19668
182,0.19776
183,0.19804
184,0.19912
185,0.19994
186,0.2013
187,0.20429
188,0.20457
189,0.20511
190,0.20565
191,0.2062
192,0.20674
193,0.20701
194,0.20865
195,0.20919
196,0.21001
197,0.21082
198,0.21082
199,0.21109
200,0.21164
201,0.21191
202,0.21463
203,0.21708
204,0.21708
205,0.21789
206,0.21817
207,0.21898
208,0.21898
209,0.22089
210,0.22306
211,0.22415
212,0.23095
213,0.23095
214,0.2315
215,0.23286
216,0.23367
217,0.23476
218,0.24292
219,0.24455
220,0.2451
221,0.24673
222,0.24782
223,0.24782
224,0.24809
225,0.25163
226,0.25598
227,0.25816
228,0.25843
229,0.26196
230,0.26305
231,0.26414
232,0.26468
233,0.26523
234,0.26958
235,0.28019
236,0.28482
237,0.2889
238,0.28917
239,0.29026
240,0.29134
241,0.29379
242,0.29434
