rank,score
1,0.738
2,0.726
3,0.726
4,0.715
5,0.713
6,0.707
7,0.701
8,0.701
9,0.696
10,0.688
11,0.688
12,0.684
13,0.68
14,0.679
15,0.66
16,0.656
17,0.65
18,0.65
19,0.649
20,0.649
21,0.649
22,0.649
23,0.649
24,0.649
25,0.649
26,0.649
27,0.649
28,0.649
29,0.649
30,0.649
31,0.649
32,0.649
33,0.649
34,0.649
35,0.649
36,0.649
37,0.649
38,0.649
39,0.649
40,0.649
41,0.649
42,0.648
43,0.636
44,0.634
45,0.632
46,0.631
47,0.63
48,0.627
49,0.627
50,0.627
51,0.625
52,0.621
53,0.619
54,0.617
55,0.608
56,0.602
57,0.602
58,0.597
59,0.593
60,0.582
61,0.581
62,0.572
63,0.568
64,0.563
65,0.561
66,0.559
67,0.559
68,0.559
69,0.542
70,0.514
71,0.496
72,0.46
73,0.453
74,0.438
75,0.428
76,0.379
77,0.368
78,0.262
79,0.238
80,0.227
81,0.226
82,0.224
83,0.161
84,0.086
85,0.071
86,0.023
87,0.007
88,0.006
89,0.006
90,0.006
91,0.006
92,0.003
93,0.0
94,0.0
95,0.0
96,0.0
