rank,score
1,0.782
2,0.771
3,0.769
4,0.762
5,0.757
6,0.753
7,0.748
8,0.748
9,0.741
10,0.736
11,0.734
12,0.733
13,0.731
14,0.727
15,0.709
16,0.708
17,0.699
18,0.699
19,0.699
20,0.699
21,0.699
22,0.699
23,0.699
24,0.699
25,0.699
26,0.699
27,0.699
28,0.699
29,0.699
30,0.699
31,0.699
32,0.699
33,0.699
34,0.699
35,0.699
36,0.699
37,0.699
38,0.699
39,0.699
40,0.699
41,0.698
42,0.698
43,0.686
44,0.686
45,0.684
46,0.684
47,0.682
48,0.682
49,0.68
50,0.679
51,0.677
52,0.673
53,0.671
54,0.667
55,0.666
56,0.659
57,0.655
58,0.652
59,0.65
60,0.637
61,0.635
62,0.629
63,0.622
64,0.619
65,0.615
66,0.613
67,0.613
68,0.613
69,0.607
70,0.566
71,0.549
72,0.535
73,0.508
74,0.503
75,0.498
76,0.456
77,0.445
78,0.329
79,0.266
80,0.262
81,0.238
82,0.225
83,0.174
84,0.161
85,0.072
86,0.025
87,0.006
88,0.006
89,0.005
90,0.005
91,0.005
92,0.002
93,0.0
94,0.0
95,0.0
96,0.0
