rank,score
1,0.10342
2,0.11298
3,0.12696
4,0.13121
5,0.13423
6,0.1387
7,0.13959
8,0.15234
9,0.15866
10,0.15955
11,0.16006
12,0.16078
13,0.16962
14,0.17185
15,0.17325
16,0.17923
17,0.18672
18,0.18672
19,0.18901
20,0.19114
21,0.19254
22,0.2054
23,0.20545
24,0.20869
25,0.20948
26,0.21451
27,0.21641
28,0.21747
29,0.22178
30,0.22809
31,0.22865
32,0.23257
33,0.23324
34,0.23391
35,0.23989
36,0.24207
37,0.24291
38,0.2438
39,0.24777
40,0.25029
41,0.25487
42,0.25862
43,0.26058
44,0.26533
45,0.26863
46,0.26879
47,0.27656
48,0.28132
49,0.28182
50,0.28987
51,0.29507
52,0.29703
53,0.30362
54,0.30502
55,0.30524
56,0.30838
57,0.31262
58,0.31894
59,0.31967
60,0.337
61,0.33795
62,0.34153
63,0.34242
64,0.34259
65,0.34466
66,0.35282
67,0.35349
68,0.35651
69,0.35897
70,0.37015
71,0.38161
72,0.38318
73,0.38435
74,0.38569
75,0.38586
76,0.38636
77,0.38726
78,0.38726
79,0.38776
80,0.3886
81,0.39028
82,0.39028
83,0.39028
84,0.39028
85,0.39028
86,0.39033
87,0.39246
88,0.39783
89,0.40045
90,0.40487
91,0.40895
92,0.40996
93,0.41717
94,0.41879
95,0.4189
96,0.41918
97,0.42315
98,0.42315
99,0.42511
100,0.42533
101,0.42589
102,0.42595
103,0.42734
104,0.42796
105,0.42818
106,0.43226
107,0.43478
108,0.43478
109,0.43534
110,0.43813
111,0.44356
112,0.444
113,0.44456
114,0.44568
115,0.44954
116,0.45843
117,0.45988
118,0.46173
119,0.48884
120,0.48934
121,0.49488
122,0.49863
123,0.50763
124,0.51014
125,0.51663
126,0.51892
127,0.51993
128,0.52076
129,0.52099
130,0.5216
131,0.52211
132,0.52211
133,0.52211
134,0.52211
135,0.52211
136,0.52211
137,0.52211
138,0.52211
139,0.52211
140,0.52216
141,0.52261
142,0.52356
143,0.52356
144,0.52512
145,0.52512
146,0.54061
147,0.56303
148,0.56376
149,0.56493
150,0.58601
151,0.59048
152,0.60535
153,0.61077
154,0.61077
155,0.62156
156,0.63671
157,0.64449
158,0.6981
159,0.76211
160,0.7719
161,0.78056
162,0.83474
163,0.85207
164,0.85296
165,0.86839
166,0.87018
167,0.8704
168,0.90697
169,0.91602
170,0.91955
171,0.93688
172,0.94593
173,0.96701
174,0.96718
175,0.96908
176,0.96908
177,0.96908
178,0.96908
179,0.96908
180,0.96908
181,0.96908
182,0.96908
183,0.96908
184,0.97405
185,0.97668
186,0.9792
187,0.97965
188,0.99094
189,0.99094
190,0.99116
191,0.99385
192,0.9972
193,0.99737
194,0.99865
195,0.99871
196,0.99871
197,0.99871
198,0.99871
199,0.99871
200,0.99871
201,0.99871
202,0.99871
203,0.99871
204,0.99871
205,0.99871
206,0.99888
207,0.99893
208,0.99904
209,0.99904
210,0.99904
211,0.99916
212,0.99916
213,0.99927
