rank,score
1,0.10267
2,0.11315
3,0.12678
4,0.13468
5,0.13703
6,0.13995
7,0.14201
8,0.15197
9,0.15564
10,0.15724
11,0.15862
12,0.15907
13,0.17179
14,0.17465
15,0.17665
16,0.18313
17,0.18879
18,0.19074
19,0.19108
20,0.19349
21,0.19761
22,0.20592
23,0.20769
24,0.21153
25,0.21222
26,0.21708
27,0.21886
28,0.22138
29,0.22155
30,0.2235
31,0.23277
32,0.23323
33,0.23581
34,0.23609
35,0.24199
36,0.24554
37,0.24812
38,0.24829
39,0.24841
40,0.25201
41,0.25757
42,0.25986
43,0.26158
44,0.26765
45,0.26954
46,0.26988
47,0.27847
48,0.28626
49,0.28769
50,0.29382
51,0.29473
52,0.29651
53,0.3008
54,0.30607
55,0.30624
56,0.30807
57,0.31426
58,0.31861
59,0.32136
60,0.33522
61,0.33928
62,0.33951
63,0.34455
64,0.34501
65,0.34724
66,0.35303
67,0.35515
68,0.35641
69,0.35744
70,0.37049
71,0.37255
72,0.38074
73,0.38229
74,0.38292
75,0.38315
76,0.38349
77,0.38401
78,0.38418
79,0.38435
80,0.38584
81,0.38584
82,0.38584
83,0.38584
84,0.38584
85,0.38584
86,0.38584
87,0.38584
88,0.38635
89,0.38647
90,0.38979
91,0.39723
92,0.40176
93,0.40697
94,0.40909
95,0.41207
96,0.41304
97,0.41653
98,0.4167
99,0.41894
100,0.41928
101,0.41934
102,0.41957
103,0.41985
104,0.42524
105,0.42541
106,0.42615
107,0.42673
108,0.42736
109,0.42827
110,0.42913
111,0.42913
112,0.4328
113,0.44087
114,0.44236
115,0.44476
116,0.44786
117,0.45633
118,0.45679
119,0.46034
120,0.46166
121,0.48863
122,0.4896
123,0.49212
124,0.50272
125,0.50695
126,0.51445
127,0.516
128,0.51697
129,0.51697
130,0.51697
131,0.51697
132,0.51697
133,0.51697
134,0.51697
135,0.51697
136,0.51697
137,0.51703
138,0.51846
139,0.52035
140,0.52058
141,0.5211
142,0.52299
143,0.52373
144,0.52373
145,0.5243
146,0.52482
147,0.54148
148,0.5629
149,0.56571
150,0.56931
151,0.58151
152,0.58684
153,0.60264
154,0.60264
155,0.60379
156,0.62274
157,0.63557
158,0.64536
159,0.69638
160,0.7667
161,0.76882
162,0.78337
163,0.83536
164,0.84962
165,0.85311
166,0.86491
167,0.8668
168,0.87482
169,0.90711
170,0.91404
171,0.91467
172,0.93729
173,0.94514
174,0.96352
175,0.96609
176,0.96609
177,0.96609
178,0.96609
179,0.96609
180,0.96609
181,0.96609
182,0.96609
183,0.96609
184,0.9665
185,0.97279
186,0.97291
187,0.97812
188,0.98007
189,0.99089
190,0.99106
191,0.99106
192,0.99427
193,0.99725
194,0.99736
195,0.99856
196,0.99874
197,0.99885
198,0.99891
199,0.99896
200,0.99902
201,0.99908
202,0.99908
203,0.99908
204,0.99908
205,0.99908
206,0.99908
207,0.99908
208,0.99908
209,0.99908
210,0.99908
211,0.99908
212,0.99914
213,0.99937
