rank,score
1,0.97598
2,0.97596
3,0.97596
4,0.97596
5,0.97595
6,0.97595
7,0.97588
8,0.97588
9,0.97587
10,0.97587
11,0.97586
12,0.97586
13,0.97581
14,0.97581
15,0.9758
16,0.97579
17,0.97578
18,0.97576
19,0.97576
20,0.97572
21,0.97572
22,0.97571
23,0.97571
24,0.97571
25,0.9757
26,0.97569
27,0.97569
28,0.97568
29,0.97568
30,0.97567
31,0.97565
32,0.97565
33,0.97564
34,0.97564
35,0.97563
36,0.97563
37,0.97562
38,0.97562
39,0.97561
40,0.97561
41,0.97561
42,0.97561
43,0.9756
44,0.97559
45,0.97559
46,0.97558
47,0.97557
48,0.97556
49,0.97556
50,0.97555
51,0.97555
52,0.97555
53,0.97554
54,0.97554
55,0.97553
56,0.9755
57,0.9755
58,0.9755
59,0.9755
60,0.97549
61,0.97549
62,0.97548
63,0.97548
64,0.97547
65,0.97545
66,0.97545
67,0.97544
68,0.97543
69,0.97538
70,0.97536
71,0.97524
72,0.97518
73,0.97513
74,0.97512
75,0.97469
76,0.97459
77,0.97455
78,0.97328
79,0.97277
80,0.97276
81,0.97271
82,0.9727
83,0.97264
84,0.9726
85,0.97253
86,0.9725
87,0.9724
88,0.97239
89,0.97237
90,0.97233
91,0.97223
92,0.97219
93,0.97214
94,0.97213
95,0.97209
96,0.97205
97,0.97195
98,0.97195
99,0.97194
100,0.97191
101,0.97189
102,0.97187
103,0.97186
104,0.97186
105,0.97182
106,0.9718
107,0.97176
108,0.97175
109,0.97175
110,0.97174
111,0.97173
112,0.9717
113,0.97169
114,0.97169
115,0.97168
116,0.97166
117,0.97166
118,0.97164
119,0.97164
120,0.97163
121,0.97162
122,0.97162
123,0.97162
124,0.97162
125,0.97161
126,0.9716
127,0.97157
128,0.97156
129,0.97154
130,0.97153
131,0.97152
132,0.97152
133,0.97151
134,0.9715
135,0.97149
136,0.97149
137,0.97147
138,0.97147
139,0.97147
140,0.97146
141,0.97146
142,0.97146
143,0.97145
144,0.97145
145,0.97145
146,0.97145
147,0.97145
148,0.97145
149,0.97144
150,0.97144
151,0.97144
152,0.97144
153,0.97144
154,0.97143
155,0.97143
156,0.97143
157,0.97143
158,0.97142
159,0.97142
160,0.97142
161,0.97142
162,0.97142
163,0.97142
164,0.97142
165,0.97141
166,0.97141
167,0.97141
168,0.97141
169,0.97141
170,0.97141
171,0.97141
172,0.97141
173,0.97141
174,0.97141
175,0.97141
176,0.97141
177,0.97141
178,0.97141
179,0.97141
180,0.9714
181,0.9714
182,0.9714
183,0.9714
184,0.9714
185,0.9714
186,0.9714
187,0.9714
188,0.9714
189,0.9714
190,0.9714
191,0.9714
192,0.9714
193,0.9714
194,0.9714
195,0.9714
196,0.9714
197,0.9714
198,0.9714
199,0.9714
200,0.9714
201,0.9714
202,0.9714
203,0.9714
204,0.9714
205,0.9714
206,0.9714
207,0.9714
208,0.9714
209,0.9714
210,0.9714
211,0.9714
212,0.9714
213,0.9714
214,0.9714
215,0.9714
216,0.9714
217,0.9714
218,0.9714
219,0.9714
220,0.9714
221,0.9714
222,0.9714
223,0.9714
224,0.9714
225,0.9714
226,0.9714
227,0.9714
228,0.9714
229,0.9714
230,0.9714
231,0.9714
232,0.9714
233,0.9714
234,0.9714
235,0.9714
236,0.9714
237,0.9714
238,0.9714
239,0.9714
240,0.9714
241,0.9714
242,0.9714
243,0.9714
244,0.9714
245,0.9714
246,0.9714
247,0.9714
248,0.9714
249,0.9714
250,0.9714
251,0.9714
252,0.9714
253,0.9714
254,0.9714
255,0.9714
256,0.9714
257,0.9714
258,0.9714
259,0.9714
260,0.9714
261,0.9714
262,0.9714
263,0.9714
264,0.9714
265,0.9714
266,0.9714
267,0.9714
268,0.9714
269,0.9714
270,0.9714
271,0.9714
272,0.9714
273,0.9714
274,0.9714
275,0.9714
276,0.9714
277,0.9714
278,0.9714
279,0.9714
280,0.9714
281,0.9714
282,0.9714
283,0.9714
284,0.9714
285,0.9714
286,0.9714
287,0.9714
288,0.9714
289,0.9714
290,0.9714
291,0.9714
292,0.9714
293,0.9714
294,0.9714
295,0.9714
296,0.9714
297,0.9714
298,0.9714
299,0.9714
300,0.9714
301,0.9714
302,0.9714
303,0.9714
304,0.9714
305,0.9714
306,0.97139
307,0.97139
308,0.97139
309,0.97139
310,0.97139
311,0.97139
312,0.97139
313,0.97139
314,0.97139
315,0.97139
316,0.97139
