rank,score
1,0.97522
2,0.97516
3,0.97514
4,0.97513
5,0.9751
6,0.97508
7,0.97505
8,0.97504
9,0.97502
10,0.97499
11,0.97499
12,0.97496
13,0.97495
14,0.97495
15,0.97494
16,0.97493
17,0.97491
18,0.97491
19,0.97491
20,0.9749
21,0.97489
22,0.97488
23,0.97485
24,0.97485
25,0.97484
26,0.97484
27,0.97483
28,0.97482
29,0.97482
30,0.97481
31,0.97481
32,0.9748
33,0.9748
34,0.97479
35,0.97478
36,0.97477
37,0.97477
38,0.97476
39,0.97476
40,0.97473
41,0.97473
42,0.97472
43,0.97472
44,0.97471
45,0.97469
46,0.97467
47,0.97467
48,0.97466
49,0.97465
50,0.97463
51,0.97462
52,0.97462
53,0.97459
54,0.97457
55,0.97454
56,0.97453
57,0.97453
58,0.9745
59,0.97449
60,0.97449
61,0.97448
62,0.97447
63,0.97446
64,0.97446
65,0.97446
66,0.97445
67,0.97445
68,0.97444
69,0.97444
70,0.97444
71,0.97443
72,0.97443
73,0.97442
74,0.97441
75,0.9744
76,0.9744
77,0.9744
78,0.97439
79,0.97438
80,0.97437
81,0.97437
82,0.97437
83,0.97436
84,0.97436
85,0.97434
86,0.97433
87,0.97433
88,0.97433
89,0.97432
90,0.97432
91,0.97431
92,0.97428
93,0.97427
94,0.97426
95,0.97425
96,0.97423
97,0.97422
98,0.97422
99,0.97421
100,0.97421
101,0.9742
102,0.97416
103,0.97416
104,0.97416
105,0.97415
106,0.97414
107,0.97413
108,0.97408
109,0.97395
110,0.97394
111,0.9739
112,0.97389
113,0.97378
114,0.97372
115,0.97371
116,0.97369
117,0.97369
118,0.97369
119,0.97369
120,0.97369
121,0.97369
122,0.97369
123,0.97369
124,0.97369
125,0.97369
126,0.97369
127,0.97369
128,0.97369
129,0.97369
130,0.97369
131,0.97369
132,0.97369
133,0.97369
134,0.97369
135,0.97369
136,0.97369
137,0.97369
138,0.97369
139,0.97369
140,0.97369
141,0.97369
142,0.97369
143,0.97369
144,0.97369
145,0.97369
146,0.97369
147,0.97369
148,0.97369
149,0.97369
150,0.97369
151,0.97369
152,0.97369
153,0.97369
154,0.97369
155,0.97369
156,0.97369
157,0.97369
158,0.97369
159,0.97369
160,0.97369
161,0.97369
162,0.97369
163,0.97369
164,0.97369
165,0.97369
166,0.97369
167,0.97369
168,0.97369
169,0.97369
170,0.97369
171,0.97369
172,0.97369
173,0.97369
174,0.97369
175,0.97369
176,0.97369
177,0.97369
178,0.97369
179,0.97369
180,0.97369
181,0.97369
182,0.97369
183,0.97369
184,0.97369
185,0.97369
186,0.97369
187,0.97369
188,0.97369
189,0.97369
190,0.97369
191,0.97369
192,0.97369
193,0.97369
194,0.97369
195,0.97369
196,0.97369
197,0.97369
198,0.97369
199,0.97369
200,0.97369
201,0.97369
202,0.97369
203,0.97369
204,0.97369
205,0.97369
206,0.97369
207,0.97369
208,0.97369
209,0.97369
210,0.97369
211,0.97369
212,0.97369
213,0.97369
214,0.97369
