rank,score
1,0.98272
2,0.59256
3,0.44099
4,0.37248
5,0.37198
6,0.34265
7,0.32629
8,0.32391
9,0.32211
10,0.28101
11,0.26147
12,0.25929
13,0.25615
14,0.2526
15,0.24497
16,0.23128
17,0.21938
18,0.20867
19,0.20439
20,0.1995
21,0.19779
22,0.19734
23,0.19646
24,0.19529
25,0.19244
26,0.19147
27,0.19137
28,0.18858
29,0.1882
30,0.18748
31,0.18396
32,0.18353
33,0.18208
34,0.18173
35,0.18172
36,0.18099
37,0.18099
38,0.18095
39,0.18095
40,0.18095
41,0.18095
42,0.18095
43,0.18095
44,0.18095
45,0.18095
46,0.18095
47,0.18095
48,0.18095
49,0.18095
50,0.18073
51,0.18034
52,0.17765
53,0.17623
54,0.17474
55,0.17134
56,0.17128
57,0.17128
58,0.17128
59,0.17128
60,0.17128
61,0.17128
62,0.17128
63,0.17128
64,0.17128
65,0.17128
66,0.17128
67,0.17128
68,0.17128
69,0.17128
70,0.17128
71,0.17128
72,0.17128
73,0.17128
74,0.17128
75,0.17128
76,0.17128
77,0.17128
78,0.17128
79,0.17113
80,0.17088
81,0.17078
82,0.16757
83,0.16691
84,0.16691
85,0.16691
86,0.16691
87,0.16691
88,0.16691
89,0.16691
90,0.16691
91,0.16691
92,0.16691
93,0.16691
94,0.16691
95,0.16691
96,0.16691
97,0.16691
98,0.16681
99,0.16681
100,0.16663
101,0.16613
102,0.16452
103,0.16206
104,0.1613
105,0.16111
106,0.16107
107,0.15996
108,0.15891
109,0.15891
110,0.15862
111,0.15455
112,0.15251
113,0.15131
114,0.15077
115,0.14996
116,0.14927
117,0.14893
118,0.14687
119,0.14535
120,0.14432
121,0.14338
122,0.14337
123,0.13875
124,0.13453
125,0.1311
126,0.13069
127,0.12859
128,0.12777
129,0.12738
130,0.12686
131,0.12473
132,0.12458
133,0.12454
134,0.12454
135,0.11904
136,0.11831
137,0.11622
138,0.11423
139,0.11109
140,0.11107
141,0.11045
142,0.10587
143,0.10469
144,0.104
145,0.10321
146,0.09938
147,0.0962
148,0.09584
149,0.09584
150,0.09584
151,0.09546
152,0.09127
153,0.09075
154,0.09044
155,0.08999
156,0.08889
157,0.08754
158,0.08572
159,0.08512
160,0.08313
161,0.08287
162,0.08281
163,0.08281
164,0.08161
165,0.0816
166,0.08126
167,0.08003
168,0.07853
169,0.07818
170,0.07804
171,0.07804
172,0.07757
173,0.07754
174,0.07694
175,0.07543
176,0.07381
177,0.07295
178,0.07236
179,0.07227
180,0.07062
181,0.07033
182,0.06926
183,0.06926
184,0.06926
185,0.06926
186,0.06926
187,0.06557
188,0.06392
189,0.06223
190,0.06027
191,0.05986
192,0.05893
193,0.05824
194,0.05746
195,0.05746
196,0.05746
197,0.05746
198,0.05746
199,0.05726
200,0.05688
201,0.05679
202,0.05677
203,0.05676
204,0.05661
205,0.05532
206,0.05406
207,0.05391
208,0.05086
209,0.0505
210,0.04993
211,0.04809
212,0.04803
213,0.04781
214,0.04755
215,0.04712
216,0.04508
217,0.04059
218,0.03733
219,0.03663
220,0.03596
221,0.03413
222,0.03413
223,0.03413
224,0.03413
225,0.03413
226,0.03413
227,0.03413
228,0.03363
229,0.02882
230,0.02879
231,0.02795
232,0.02793
233,0.0276
234,0.02573
235,0.0257
236,0.02543
237,0.02519
238,0.02517
239,0.02517
240,0.02517
241,0.02517
242,0.02517
243,0.02517
244,0.02517
245,0.02517
246,0.02517
247,0.02517
248,0.02517
249,0.02517
250,0.02517
251,0.02517
252,0.02517
253,0.02517
254,0.02517
255,0.02517
256,0.02517
257,0.02517
258,0.02517
259,0.02517
260,0.02517
261,0.02517
262,0.02517
263,0.02517
264,0.02517
265,0.02517
266,0.02507
267,0.02426
268,0.02337
269,0.01552
270,0.01201
271,0.00733
272,0.006
273,0.00453
274,0.00283
275,0.00252
276,0.00193
277,0.00069
278,0.00059
279,0.00014
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
