rank,score
1,0.9977
2,0.99767
3,0.99643
4,0.99579
5,0.99568
6,0.99553
7,0.99544
8,0.99538
9,0.99534
10,0.99513
11,0.99505
12,0.99501
13,0.99501
14,0.99495
15,0.9947
16,0.99469
17,0.9944
18,0.99438
19,0.99431
20,0.99426
21,0.99424
22,0.99402
23,0.99389
24,0.99382
25,0.9938
26,0.99379
27,0.9937
28,0.9936
29,0.99359
30,0.99359
31,0.99354
32,0.99314
33,0.99305
34,0.99298
35,0.99295
36,0.99295
37,0.99292
38,0.9929
39,0.99285
40,0.9928
41,0.99274
42,0.99274
43,0.99262
44,0.99259
45,0.99243
46,0.99243
47,0.99238
48,0.99237
49,0.99237
50,0.99237
51,0.99235
52,0.99226
53,0.99224
54,0.99196
55,0.9919
56,0.99181
57,0.99178
58,0.99177
59,0.99175
60,0.99175
61,0.99171
62,0.99169
63,0.99158
64,0.99149
65,0.99142
66,0.99141
67,0.9914
68,0.99136
69,0.99129
70,0.99124
71,0.99109
72,0.99106
73,0.99098
74,0.99096
75,0.99095
76,0.99095
77,0.9909
78,0.99085
79,0.99081
80,0.99073
81,0.99073
82,0.99072
83,0.99066
84,0.99061
85,0.9906
86,0.99054
87,0.99053
88,0.99046
89,0.99044
90,0.99042
91,0.99033
92,0.9902
93,0.99006
94,0.99002
95,0.98998
96,0.98988
97,0.9898
98,0.9898
99,0.98979
100,0.98979
101,0.9894
102,0.98931
103,0.98931
104,0.98923
105,0.98921
106,0.9892
107,0.98918
108,0.98912
109,0.989
110,0.98891
111,0.98887
112,0.98884
113,0.98882
114,0.98864
115,0.98864
116,0.98862
117,0.9886
118,0.98851
119,0.9884
120,0.98827
121,0.98826
122,0.98815
123,0.98812
124,0.98809
125,0.98807
126,0.98801
127,0.98787
128,0.98786
129,0.9878
130,0.98771
131,0.9877
132,0.98766
133,0.98764
134,0.98751
135,0.98749
136,0.98733
137,0.98732
138,0.98721
139,0.98712
140,0.98704
141,0.98703
142,0.9869
143,0.98685
144,0.98675
145,0.98673
146,0.98669
147,0.98665
148,0.98646
149,0.98643
150,0.98637
151,0.98631
152,0.98626
153,0.98624
154,0.98623
155,0.98616
156,0.98615
157,0.98615
158,0.98605
159,0.98595
160,0.98594
161,0.98592
162,0.98591
163,0.98589
164,0.98588
165,0.98586
166,0.9858
167,0.98569
168,0.98565
169,0.98564
170,0.9855
171,0.98547
172,0.98547
173,0.98531
174,0.98531
175,0.98525
176,0.9852
177,0.98486
178,0.98484
179,0.98476
180,0.98474
181,0.9847
182,0.98469
183,0.98468
184,0.98454
185,0.98439
186,0.98405
187,0.98356
188,0.98341
189,0.98339
190,0.98308
191,0.98294
192,0.98276
193,0.98273
194,0.98256
195,0.98214
196,0.98208
197,0.98201
198,0.98142
199,0.98141
200,0.98123
201,0.98105
202,0.98098
203,0.98074
204,0.98059
205,0.98027
206,0.9801
207,0.98009
208,0.98002
209,0.97967
210,0.97955
211,0.97923
212,0.97907
213,0.97873
214,0.97863
215,0.97859
216,0.97794
217,0.97786
218,0.97768
219,0.97734
220,0.97708
221,0.97652
222,0.97626
223,0.97611
224,0.97611
225,0.97546
226,0.9753
227,0.9752
228,0.9749
229,0.97479
230,0.97466
231,0.97457
232,0.97454
233,0.97437
234,0.97435
235,0.97416
236,0.97391
237,0.97363
238,0.97347
239,0.97347
240,0.97341
241,0.97339
242,0.97308
243,0.97306
244,0.97264
245,0.97249
246,0.97225
247,0.97222
248,0.97205
249,0.97122
250,0.97117
251,0.97111
252,0.97103
253,0.97069
254,0.97027
255,0.97012
256,0.97006
257,0.96991
258,0.96983
259,0.9685
260,0.96838
261,0.96824
262,0.9678
263,0.96763
264,0.96757
265,0.96748
266,0.96721
267,0.96689
268,0.96679
269,0.96649
270,0.96617
271,0.96606
272,0.96594
273,0.96579
274,0.96553
275,0.96531
276,0.96531
277,0.96515
278,0.965
279,0.96478
280,0.96473
281,0.96463
282,0.96429
283,0.96405
284,0.96399
285,0.96394
286,0.96394
287,0.9636
288,0.9634
289,0.96261
290,0.96242
291,0.96194
292,0.96181
293,0.96154
294,0.96107
295,0.96106
296,0.96032
297,0.96004
298,0.96002
299,0.95976
300,0.95975
301,0.95934
302,0.959
303,0.95895
304,0.95827
305,0.95824
306,0.95811
307,0.95786
308,0.95772
309,0.95765
310,0.95732
311,0.95729
312,0.95726
313,0.95665
314,0.95662
315,0.95649
316,0.95627
317,0.95626
318,0.95612
319,0.95541
320,0.95522
321,0.95518
322,0.95514
323,0.95499
324,0.95363
325,0.95353
326,0.95348
327,0.95309
328,0.95229
329,0.95217
330,0.95145
331,0.9514
332,0.95075
333,0.95047
334,0.94997
335,0.94924
336,0.94924
337,0.94768
338,0.9474
339,0.9474
340,0.94731
341,0.9468
342,0.94662
343,0.94598
344,0.94575
345,0.94546
346,0.94537
347,0.94518
348,0.94515
349,0.94502
350,0.94368
351,0.94207
352,0.94178
353,0.94163
354,0.94083
355,0.9407
356,0.93977
357,0.93971
358,0.93969
359,0.93953
360,0.93923
361,0.93786
362,0.9352
363,0.93378
364,0.93352
365,0.93296
366,0.93244
367,0.93145
368,0.93133
369,0.9312
370,0.93043
371,0.92953
372,0.9294
373,0.92869
374,0.92646
375,0.92439
376,0.92403
377,0.92077
378,0.91981
379,0.91771
380,0.91676
381,0.9156
382,0.91545
383,0.91424
384,0.91389
385,0.9136
386,0.91243
387,0.91056
388,0.90422
389,0.90275
390,0.90253
391,0.90198
392,0.9019
393,0.89838
394,0.896
395,0.8953
396,0.8953
397,0.8953
398,0.8953
399,0.8953
400,0.8953
401,0.8953
402,0.8953
403,0.8953
404,0.8953
405,0.8953
406,0.8953
407,0.8953
408,0.89065
409,0.88982
410,0.88838
411,0.88789
412,0.88789
413,0.88745
414,0.88665
415,0.88547
416,0.88515
417,0.88494
418,0.88488
419,0.88464
420,0.88407
421,0.88258
422,0.88258
423,0.88176
424,0.8817
425,0.87619
426,0.87044
427,0.86914
428,0.86065
429,0.86023
430,0.83712
431,0.83498
432,0.83446
433,0.83372
434,0.82837
435,0.82535
436,0.8201
437,0.81813
438,0.81617
439,0.81597
440,0.8127
441,0.80947
442,0.80647
443,0.80482
444,0.78665
445,0.76389
446,0.76169
447,0.7484
448,0.74655
449,0.71749
450,0.70623
451,0.6856
452,0.67667
453,0.6741
454,0.65313
455,0.65289
456,0.65108
457,0.64366
458,0.64036
459,0.63124
460,0.61374
461,0.61073
462,0.58731
463,0.58731
464,0.58313
465,0.57228
466,0.57193
467,0.53816
468,0.52657
469,0.52172
470,0.52094
471,0.52053
472,0.51866
473,0.51862
474,0.51725
