rank,score
1,0.361
2,0.331
3,0.327
4,0.3
5,0.287
6,0.252
7,0.224
8,0.22
9,0.216
10,0.212
11,0.207
12,0.206
13,0.205
14,0.194
15,0.193
16,0.191
17,0.19
18,0.173
19,0.172
20,0.172
21,0.166
22,0.165
23,0.163
24,0.163
25,0.162
26,0.16
27,0.16
28,0.158
29,0.156
30,0.156
31,0.153
32,0.153
33,0.152
34,0.152
35,0.15
36,0.15
37,0.15
38,0.15
39,0.15
40,0.15
41,0.15
42,0.15
43,0.15
44,0.15
45,0.149
46,0.148
47,0.148
48,0.148
49,0.148
50,0.148
51,0.148
52,0.148
53,0.148
54,0.148
55,0.148
56,0.148
57,0.148
58,0.148
59,0.148
60,0.147
61,0.147
62,0.147
63,0.147
64,0.146
65,0.146
66,0.146
67,0.146
68,0.146
69,0.146
70,0.146
71,0.146
72,0.146
73,0.146
74,0.146
75,0.146
76,0.146
77,0.146
78,0.146
79,0.146
80,0.146
81,0.146
82,0.146
83,0.146
84,0.145
85,0.145
86,0.145
87,0.145
88,0.145
89,0.144
90,0.144
91,0.144
92,0.144
93,0.144
94,0.144
95,0.144
96,0.143
97,0.143
98,0.143
99,0.143
100,0.143
101,0.143
102,0.143
103,0.143
104,0.143
105,0.142
106,0.142
107,0.142
108,0.142
109,0.142
110,0.142
111,0.142
112,0.142
113,0.141
114,0.141
115,0.141
116,0.141
117,0.141
118,0.141
119,0.141
120,0.14
121,0.14
122,0.14
123,0.14
124,0.14
125,0.14
126,0.14
127,0.139
128,0.139
129,0.139
130,0.139
131,0.139
132,0.138
133,0.138
134,0.138
135,0.138
136,0.138
137,0.138
138,0.137
139,0.137
140,0.137
141,0.137
142,0.137
143,0.136
144,0.136
145,0.136
146,0.136
147,0.136
148,0.136
149,0.136
150,0.135
151,0.135
152,0.135
153,0.135
154,0.135
155,0.135
156,0.135
157,0.134
158,0.134
159,0.134
160,0.134
161,0.134
162,0.134
163,0.134
164,0.134
165,0.134
166,0.134
167,0.134
168,0.134
169,0.134
170,0.134
171,0.134
172,0.133
173,0.133
174,0.133
175,0.133
176,0.133
177,0.132
178,0.132
179,0.132
180,0.132
181,0.132
182,0.132
183,0.132
184,0.132
185,0.132
186,0.132
187,0.131
188,0.131
189,0.131
190,0.13
191,0.13
192,0.13
193,0.129
194,0.129
195,0.129
196,0.129
197,0.129
198,0.129
199,0.129
200,0.129
201,0.128
202,0.128
203,0.128
204,0.128
205,0.128
206,0.127
207,0.127
208,0.127
209,0.127
210,0.127
211,0.127
212,0.127
213,0.127
214,0.126
215,0.126
216,0.126
217,0.126
218,0.125
219,0.125
220,0.125
221,0.124
222,0.124
223,0.124
224,0.124
225,0.123
226,0.123
227,0.123
228,0.123
229,0.123
230,0.122
231,0.122
232,0.122
233,0.122
234,0.12
235,0.12
236,0.12
237,0.12
238,0.12
239,0.12
240,0.12
241,0.12
242,0.12
243,0.12
244,0.12
245,0.119
246,0.119
247,0.119
248,0.118
249,0.118
250,0.117
251,0.117
252,0.117
253,0.116
254,0.115
255,0.115
256,0.115
257,0.115
258,0.115
259,0.114
260,0.114
261,0.114
262,0.113
263,0.113
264,0.112
265,0.112
266,0.11
267,0.109
268,0.108
269,0.108
270,0.108
271,0.106
272,0.106
273,0.106
274,0.105
275,0.104
276,0.104
277,0.104
278,0.103
279,0.103
280,0.102
281,0.101
282,0.101
283,0.101
284,0.101
285,0.1
286,0.099
287,0.099
288,0.099
289,0.099
290,0.099
291,0.097
292,0.095
293,0.095
294,0.094
295,0.094
296,0.094
297,0.092
298,0.092
299,0.091
300,0.09
301,0.09
302,0.089
303,0.089
304,0.089
305,0.089
306,0.089
307,0.089
308,0.089
309,0.089
310,0.089
311,0.089
312,0.089
313,0.089
314,0.089
315,0.089
316,0.089
317,0.089
318,0.089
319,0.089
320,0.089
321,0.089
322,0.089
323,0.089
324,0.089
325,0.089
326,0.089
327,0.088
328,0.088
329,0.084
330,0.083
331,0.082
332,0.075
333,0.047
334,0.032
335,0.031
336,0.029
