rank,score
1,0.906
2,0.902
3,0.848
4,0.822
5,0.807
6,0.793
7,0.787
8,0.779
9,0.779
10,0.778
11,0.763
12,0.76
13,0.756
14,0.751
15,0.741
16,0.737
17,0.727
18,0.726
19,0.711
20,0.707
21,0.705
22,0.693
23,0.69
24,0.688
25,0.685
26,0.684
27,0.679
28,0.671
29,0.666
30,0.615
31,0.604
32,0.599
33,0.598
34,0.598
35,0.598
36,0.598
37,0.598
38,0.598
39,0.598
40,0.598
41,0.598
42,0.598
43,0.598
44,0.597
45,0.597
46,0.596
47,0.594
48,0.593
49,0.592
50,0.592
51,0.591
52,0.589
53,0.58
54,0.576
55,0.572
56,0.555
57,0.536
58,0.533
59,0.532
60,0.527
61,0.521
62,0.509
63,0.506
64,0.502
65,0.501
66,0.489
67,0.489
68,0.489
69,0.489
70,0.489
71,0.489
72,0.489
73,0.489
74,0.489
75,0.489
76,0.486
77,0.484
78,0.484
79,0.484
80,0.484
81,0.484
82,0.48
83,0.479
84,0.474
85,0.469
86,0.465
87,0.465
88,0.46
89,0.456
90,0.455
91,0.452
92,0.452
93,0.45
94,0.446
95,0.446
96,0.445
97,0.436
98,0.426
99,0.425
100,0.417
101,0.377
102,0.317
103,0.272
104,0.26
105,0.216
106,0.163
107,0.001
108,0.001
109,0.001
110,0.001
111,0.001
112,0.001
113,0.001
114,0.001
115,0.001
116,0.001
117,0.001
118,0.001
119,0.001
120,0.0
121,0.0
