rank,score
1,0.98856
2,0.98822
3,0.98805
4,0.98788
5,0.98786
6,0.98785
7,0.9878
8,0.98779
9,0.98775
10,0.98768
11,0.98767
12,0.98764
13,0.98764
14,0.98751
15,0.98744
16,0.98743
17,0.9874
18,0.9874
19,0.9874
20,0.98738
21,0.98737
22,0.98737
23,0.98736
24,0.98732
25,0.98731
26,0.9873
27,0.98729
28,0.98729
29,0.98728
30,0.98726
31,0.98726
32,0.98725
33,0.98725
34,0.98724
35,0.98723
36,0.98722
37,0.98721
38,0.98721
39,0.98721
40,0.9872
41,0.98719
42,0.98719
43,0.98719
44,0.98718
45,0.98717
46,0.98714
47,0.98714
48,0.98713
49,0.98713
50,0.98713
51,0.98712
52,0.98711
53,0.9871
54,0.98709
55,0.98709
56,0.98709
57,0.98708
58,0.98707
59,0.98707
60,0.98707
61,0.98707
62,0.98707
63,0.98707
64,0.98707
65,0.98706
66,0.98706
67,0.98705
68,0.98705
69,0.98705
70,0.98703
71,0.98703
72,0.98703
73,0.98703
74,0.98702
75,0.98702
76,0.98702
77,0.98702
78,0.98702
79,0.98702
80,0.98702
81,0.98702
82,0.98702
83,0.98701
84,0.98701
85,0.98701
86,0.98701
87,0.987
88,0.987
89,0.987
90,0.98699
91,0.98699
92,0.98699
93,0.98698
94,0.98698
95,0.98698
96,0.98698
97,0.98698
98,0.98698
99,0.98697
100,0.98697
101,0.98697
102,0.98697
103,0.98697
104,0.98695
105,0.98695
106,0.98695
107,0.98695
108,0.98695
109,0.98694
110,0.98694
111,0.98694
112,0.98691
113,0.9869
114,0.9869
115,0.9869
116,0.98689
117,0.98689
118,0.98688
119,0.98688
120,0.98688
121,0.98688
122,0.98687
123,0.98687
124,0.98687
125,0.98687
126,0.98687
127,0.98687
128,0.98686
129,0.98686
130,0.98686
131,0.98685
132,0.98685
133,0.98685
134,0.98685
135,0.98685
136,0.98684
137,0.98684
138,0.98684
139,0.98684
140,0.98684
141,0.98684
142,0.98684
143,0.98683
144,0.98683
145,0.98683
146,0.98683
147,0.98682
148,0.98682
149,0.98682
150,0.98682
151,0.98681
152,0.98681
153,0.98681
154,0.9868
155,0.9868
156,0.9868
157,0.9868
158,0.98679
159,0.98679
160,0.98679
161,0.98678
162,0.98678
163,0.98678
164,0.98678
165,0.98678
166,0.98678
167,0.98677
168,0.98677
169,0.98677
170,0.98677
171,0.98677
172,0.98677
173,0.98677
174,0.98677
175,0.98676
176,0.98676
177,0.98676
178,0.98676
179,0.98676
180,0.98676
181,0.98676
182,0.98676
183,0.98676
184,0.98676
185,0.98675
186,0.98675
187,0.98675
188,0.98675
189,0.98674
190,0.98674
191,0.98674
192,0.98674
193,0.98674
194,0.98674
195,0.98674
196,0.98673
197,0.98673
198,0.98673
199,0.98673
200,0.98673
201,0.98673
202,0.98673
203,0.98673
204,0.98672
205,0.98672
206,0.98672
207,0.98672
208,0.98671
209,0.98671
210,0.9867
211,0.9867
212,0.9867
213,0.98669
214,0.98669
215,0.98669
216,0.98669
217,0.98669
218,0.98669
219,0.98668
220,0.98668
221,0.98668
222,0.98668
223,0.98668
224,0.98668
225,0.98668
226,0.98668
227,0.98668
228,0.98668
229,0.98668
230,0.98667
231,0.98667
232,0.98667
233,0.98667
234,0.98667
235,0.98667
236,0.98666
237,0.98666
238,0.98666
239,0.98666
240,0.98666
241,0.98666
242,0.98666
243,0.98666
244,0.98666
245,0.98665
246,0.98665
247,0.98665
248,0.98665
249,0.98665
250,0.98665
251,0.98664
252,0.98664
253,0.98664
254,0.98664
255,0.98664
256,0.98664
257,0.98664
258,0.98663
259,0.98663
260,0.98663
261,0.98663
262,0.98663
263,0.98663
264,0.98663
265,0.98663
266,0.98662
267,0.98662
268,0.98662
269,0.98662
270,0.98662
271,0.98661
272,0.98661
273,0.98661
274,0.9866
275,0.9866
276,0.9866
277,0.9866
278,0.98659
279,0.98659
280,0.98659
281,0.98659
282,0.98659
283,0.98659
284,0.98659
285,0.98659
286,0.98659
287,0.98659
288,0.98658
289,0.98658
290,0.98658
291,0.98658
292,0.98658
293,0.98658
294,0.98658
295,0.98657
296,0.98657
297,0.98657
298,0.98657
299,0.98657
300,0.98656
301,0.98656
302,0.98656
303,0.98656
304,0.98656
305,0.98656
306,0.98656
307,0.98656
308,0.98655
309,0.98655
310,0.98655
311,0.98655
312,0.98655
313,0.98655
314,0.98655
315,0.98655
316,0.98655
317,0.98654
318,0.98654
319,0.98654
320,0.98654
321,0.98654
322,0.98654
323,0.98654
324,0.98653
325,0.98653
326,0.98653
327,0.98653
328,0.98653
329,0.98653
330,0.98652
331,0.98652
332,0.98652
333,0.98652
334,0.98652
335,0.98652
336,0.98652
337,0.98652
338,0.98651
339,0.98651
340,0.98651
341,0.98651
342,0.98651
343,0.98651
344,0.9865
345,0.9865
346,0.9865
347,0.9865
348,0.9865
349,0.9865
350,0.9865
351,0.9865
352,0.98649
353,0.98649
354,0.98649
355,0.98649
356,0.98649
357,0.98649
358,0.98649
359,0.98648
360,0.98648
361,0.98648
362,0.98648
363,0.98648
364,0.98648
365,0.98648
366,0.98647
367,0.98647
368,0.98647
369,0.98647
370,0.98647
371,0.98647
372,0.98647
373,0.98647
374,0.98647
375,0.98647
376,0.98647
377,0.98646
378,0.98646
379,0.98646
380,0.98646
381,0.98646
382,0.98646
383,0.98646
384,0.98645
385,0.98645
386,0.98645
387,0.98645
388,0.98645
389,0.98645
390,0.98645
391,0.98644
392,0.98644
393,0.98644
394,0.98644
395,0.98644
396,0.98644
397,0.98644
398,0.98644
399,0.98643
400,0.98643
401,0.98643
402,0.98643
403,0.98643
404,0.98643
405,0.98643
406,0.98643
407,0.98643
408,0.98642
409,0.98642
410,0.98642
411,0.98642
412,0.98642
413,0.98642
414,0.98642
415,0.98642
416,0.98642
417,0.98642
418,0.98642
419,0.98642
420,0.98642
421,0.98642
422,0.98642
423,0.98642
424,0.98641
425,0.98641
426,0.98641
427,0.98641
428,0.98641
429,0.98641
430,0.98641
431,0.98641
432,0.98641
433,0.98641
434,0.98641
435,0.98641
436,0.9864
437,0.9864
438,0.9864
439,0.9864
440,0.9864
441,0.9864
442,0.9864
443,0.9864
444,0.9864
445,0.9864
446,0.9864
447,0.9864
448,0.9864
449,0.9864
450,0.9864
451,0.98639
452,0.98639
453,0.98639
454,0.98639
455,0.98639
456,0.98639
457,0.98639
458,0.98639
459,0.98639
460,0.98639
461,0.98639
462,0.98639
463,0.98639
464,0.98639
465,0.98638
466,0.98638
467,0.98638
468,0.98638
469,0.98638
470,0.98638
471,0.98638
472,0.98638
473,0.98638
474,0.98638
475,0.98638
476,0.98638
477,0.98638
478,0.98638
479,0.98638
480,0.98638
481,0.98638
482,0.98638
483,0.98638
484,0.98638
485,0.98638
486,0.98638
487,0.98638
488,0.98638
489,0.98638
490,0.98638
491,0.98638
492,0.98638
493,0.98638
494,0.98638
495,0.98638
496,0.98638
497,0.98638
498,0.98638
499,0.98638
500,0.98638
501,0.98638
502,0.98638
503,0.98638
504,0.98638
505,0.98638
506,0.98638
507,0.98638
508,0.98638
509,0.98638
510,0.98638
511,0.98638
512,0.98638
513,0.98638
514,0.98638
515,0.98638
516,0.98638
517,0.98638
518,0.98638
519,0.98638
520,0.98638
521,0.98638
522,0.98637
523,0.98637
524,0.98637
525,0.98637
526,0.98637
527,0.98637
528,0.98637
529,0.98637
530,0.98637
531,0.98637
532,0.98636
533,0.98636
534,0.98636
535,0.98636
536,0.98636
537,0.98636
538,0.98636
539,0.98636
540,0.98636
541,0.98636
542,0.98636
543,0.98636
544,0.98636
545,0.98636
546,0.98636
547,0.98636
548,0.98636
549,0.98636
550,0.98636
551,0.98636
552,0.98636
553,0.98636
554,0.98636
555,0.98636
556,0.98636
557,0.98636
558,0.98636
559,0.98636
560,0.98636
561,0.98635
562,0.98635
563,0.98635
564,0.98635
565,0.98635
566,0.98635
567,0.98635
568,0.98635
569,0.98635
570,0.98635
571,0.98635
572,0.98635
573,0.98635
574,0.98635
575,0.98635
576,0.98635
577,0.98635
578,0.98635
579,0.98635
580,0.98635
581,0.98635
582,0.98635
583,0.98635
584,0.98635
585,0.98635
586,0.98635
587,0.98635
588,0.98635
589,0.98635
590,0.98635
591,0.98635
592,0.98635
593,0.98635
594,0.98635
595,0.98635
596,0.98635
597,0.98635
598,0.98635
599,0.98635
600,0.98634
601,0.98634
602,0.98634
603,0.98634
604,0.98634
605,0.98634
606,0.98634
607,0.98634
608,0.98634
609,0.98634
610,0.98634
611,0.98634
612,0.98634
613,0.98634
614,0.98634
615,0.98634
616,0.98634
617,0.98634
618,0.98634
619,0.98634
620,0.98634
621,0.98634
622,0.98634
623,0.98634
624,0.98634
625,0.98634
626,0.98634
627,0.98634
628,0.98634
629,0.98634
630,0.98634
631,0.98634
632,0.98634
633,0.98634
634,0.98634
635,0.98634
636,0.98634
637,0.98634
638,0.98634
639,0.98634
640,0.98634
641,0.98634
642,0.98634
643,0.98634
644,0.98634
645,0.98634
646,0.98634
647,0.98634
648,0.98634
649,0.98634
650,0.98634
651,0.98634
652,0.98634
653,0.98634
654,0.98634
655,0.98634
656,0.98634
657,0.98634
658,0.98634
659,0.98634
660,0.98634
661,0.98634
662,0.98634
663,0.98634
664,0.98634
665,0.98634
666,0.98634
667,0.98634
668,0.98634
669,0.98634
670,0.98634
671,0.98634
672,0.98634
673,0.98634
674,0.98634
675,0.98634
676,0.98634
677,0.98634
678,0.98634
679,0.98634
680,0.98634
681,0.98634
682,0.98634
683,0.98634
684,0.98634
685,0.98634
686,0.98634
687,0.98634
688,0.98634
689,0.98634
690,0.98634
691,0.98634
692,0.98634
693,0.98634
694,0.98634
695,0.98634
696,0.98634
697,0.98634
698,0.98634
699,0.98634
700,0.98634
701,0.98634
702,0.98634
