rank,score
1,0.98901
2,0.98893
3,0.98854
4,0.98828
5,0.98825
6,0.98818
7,0.98812
8,0.98808
9,0.98808
10,0.98807
11,0.98807
12,0.98806
13,0.98803
14,0.98801
15,0.98799
16,0.98795
17,0.98795
18,0.98793
19,0.98787
20,0.98786
21,0.98781
22,0.98781
23,0.98776
24,0.98775
25,0.98774
26,0.98772
27,0.98771
28,0.98771
29,0.9877
30,0.98768
31,0.98768
32,0.98768
33,0.98768
34,0.98768
35,0.98767
36,0.98765
37,0.98765
38,0.98765
39,0.98765
40,0.98764
41,0.98763
42,0.98762
43,0.98761
44,0.98761
45,0.9876
46,0.9876
47,0.98759
48,0.98759
49,0.98758
50,0.98758
51,0.98757
52,0.98756
53,0.98756
54,0.98756
55,0.98756
56,0.98756
57,0.98755
58,0.98753
59,0.98753
60,0.98752
61,0.98752
62,0.98752
63,0.98752
64,0.98751
65,0.98751
66,0.98751
67,0.98751
68,0.98751
69,0.9875
70,0.9875
71,0.98749
72,0.98749
73,0.98749
74,0.98748
75,0.98748
76,0.98748
77,0.98748
78,0.98748
79,0.98748
80,0.98747
81,0.98747
82,0.98747
83,0.98747
84,0.98746
85,0.98746
86,0.98746
87,0.98746
88,0.98745
89,0.98745
90,0.98745
91,0.98745
92,0.98745
93,0.98745
94,0.98745
95,0.98745
96,0.98745
97,0.98745
98,0.98745
99,0.98744
100,0.98744
101,0.98743
102,0.98743
103,0.98742
104,0.98742
105,0.98742
106,0.98742
107,0.98742
108,0.98742
109,0.98741
110,0.98741
111,0.98741
112,0.98741
113,0.98741
114,0.98741
115,0.9874
116,0.9874
117,0.9874
118,0.9874
119,0.98739
120,0.98738
121,0.98738
122,0.98738
123,0.98738
124,0.98738
125,0.98737
126,0.98737
127,0.98736
128,0.98736
129,0.98736
130,0.98736
131,0.98735
132,0.98735
133,0.98735
134,0.98735
135,0.98735
136,0.98734
137,0.98734
138,0.98734
139,0.98734
140,0.98733
141,0.98733
142,0.98733
143,0.98733
144,0.98733
145,0.98733
146,0.98733
147,0.98733
148,0.98733
149,0.98732
150,0.98732
151,0.98732
152,0.98732
153,0.98732
154,0.98731
155,0.98731
156,0.98731
157,0.98731
158,0.9873
159,0.9873
160,0.9873
161,0.9873
162,0.98729
163,0.98729
164,0.98728
165,0.98728
166,0.98728
167,0.98728
168,0.98728
169,0.98728
170,0.98728
171,0.98728
172,0.98728
173,0.98727
174,0.98727
175,0.98727
176,0.98727
177,0.98727
178,0.98727
179,0.98727
180,0.98727
181,0.98727
182,0.98727
183,0.98727
184,0.98727
185,0.98727
186,0.98727
187,0.98726
188,0.98726
189,0.98726
190,0.98726
191,0.98726
192,0.98726
193,0.98726
194,0.98726
195,0.98725
196,0.98725
197,0.98725
198,0.98725
199,0.98725
200,0.98725
201,0.98724
202,0.98724
203,0.98724
204,0.98724
205,0.98724
206,0.98723
207,0.98723
208,0.98723
209,0.98723
210,0.98722
211,0.98722
212,0.98722
213,0.98721
214,0.98721
215,0.98721
216,0.98721
217,0.98721
218,0.98721
219,0.98721
220,0.98721
221,0.9872
222,0.9872
223,0.98719
224,0.98719
225,0.98719
226,0.98719
227,0.98719
228,0.98719
229,0.98719
230,0.98718
231,0.98718
232,0.98718
233,0.98718
234,0.98718
235,0.98718
236,0.98718
237,0.98718
238,0.98718
239,0.98717
240,0.98717
241,0.98717
242,0.98717
243,0.98717
244,0.98717
245,0.98716
246,0.98716
247,0.98716
248,0.98716
249,0.98716
250,0.98716
251,0.98716
252,0.98716
253,0.98716
254,0.98716
255,0.98716
256,0.98716
257,0.98716
258,0.98716
259,0.98715
260,0.98715
261,0.98715
262,0.98715
263,0.98715
264,0.98715
265,0.98715
266,0.98715
267,0.98715
268,0.98715
269,0.98715
270,0.98714
271,0.98714
272,0.98714
273,0.98714
274,0.98714
275,0.98714
276,0.98714
277,0.98714
278,0.98714
279,0.98713
280,0.98713
281,0.98713
282,0.98713
283,0.98713
284,0.98713
285,0.98713
286,0.98713
287,0.98713
288,0.98713
289,0.98712
290,0.98712
291,0.98712
292,0.98712
293,0.98712
294,0.98712
295,0.98712
296,0.98712
297,0.98711
298,0.98711
299,0.98711
300,0.98711
301,0.98711
302,0.98711
303,0.98711
304,0.9871
305,0.9871
306,0.9871
307,0.9871
308,0.9871
309,0.9871
310,0.9871
311,0.9871
312,0.9871
313,0.9871
314,0.9871
315,0.9871
316,0.98709
317,0.98709
318,0.98709
319,0.98709
320,0.98709
321,0.98709
322,0.98709
323,0.98709
324,0.98709
325,0.98709
326,0.98708
327,0.98708
328,0.98708
329,0.98708
330,0.98708
331,0.98708
332,0.98708
333,0.98708
334,0.98708
335,0.98708
336,0.98708
337,0.98707
338,0.98707
339,0.98707
340,0.98707
341,0.98707
342,0.98707
343,0.98707
344,0.98707
345,0.98707
346,0.98707
347,0.98707
348,0.98707
349,0.98707
350,0.98707
351,0.98707
352,0.98707
353,0.98707
354,0.98707
355,0.98706
356,0.98706
357,0.98706
358,0.98706
359,0.98706
360,0.98706
361,0.98706
362,0.98706
363,0.98706
364,0.98705
365,0.98705
366,0.98705
367,0.98705
368,0.98705
369,0.98704
370,0.98704
371,0.98704
372,0.98704
373,0.98704
374,0.98704
375,0.98704
376,0.98704
377,0.98704
378,0.98703
379,0.98703
380,0.98703
381,0.98703
382,0.98703
383,0.98702
384,0.98702
385,0.98702
386,0.98702
387,0.98702
388,0.98702
389,0.98702
390,0.98702
391,0.98701
392,0.98701
393,0.98701
394,0.98701
395,0.98701
396,0.98701
397,0.98701
398,0.98701
399,0.987
400,0.987
401,0.987
402,0.987
403,0.98699
404,0.98699
405,0.98699
406,0.98699
407,0.98699
408,0.98699
409,0.98699
410,0.98698
411,0.98698
412,0.98698
413,0.98698
414,0.98698
415,0.98697
416,0.98697
417,0.98697
418,0.98697
419,0.98697
420,0.98697
421,0.98697
422,0.98696
423,0.98696
424,0.98696
425,0.98696
426,0.98696
427,0.98695
428,0.98695
429,0.98695
430,0.98695
431,0.98695
432,0.98695
433,0.98695
434,0.98694
435,0.98694
436,0.98694
437,0.98694
438,0.98694
439,0.98694
440,0.98694
441,0.98694
442,0.98694
443,0.98693
444,0.98693
445,0.98693
446,0.98693
447,0.98693
448,0.98692
449,0.98692
450,0.98692
451,0.98692
452,0.98692
453,0.98692
454,0.98692
455,0.98692
456,0.98692
457,0.98692
458,0.98691
459,0.98691
460,0.98691
461,0.98691
462,0.98691
463,0.9869
464,0.9869
465,0.9869
466,0.9869
467,0.9869
468,0.9869
469,0.98689
470,0.98689
471,0.98689
472,0.98689
473,0.98689
474,0.98688
475,0.98688
476,0.98688
477,0.98688
478,0.98687
479,0.98687
480,0.98687
481,0.98687
482,0.98687
483,0.98687
484,0.98686
485,0.98686
486,0.98686
487,0.98686
488,0.98686
489,0.98686
490,0.98686
491,0.98686
492,0.98686
493,0.98685
494,0.98685
495,0.98685
496,0.98685
497,0.98685
498,0.98685
499,0.98684
500,0.98684
501,0.98684
502,0.98684
503,0.98684
504,0.98684
505,0.98684
506,0.98684
507,0.98684
508,0.98684
509,0.98684
510,0.98683
511,0.98683
512,0.98683
513,0.98683
514,0.98683
515,0.98683
516,0.98683
517,0.98683
518,0.98683
519,0.98683
520,0.98683
521,0.98683
522,0.98683
523,0.98683
524,0.98683
525,0.98683
526,0.98683
527,0.98683
528,0.98683
529,0.98682
530,0.98682
531,0.98682
532,0.98682
533,0.98682
534,0.98682
535,0.98682
536,0.98682
537,0.98682
538,0.98682
539,0.98682
540,0.98682
541,0.98681
542,0.98681
543,0.98681
544,0.98681
545,0.98681
546,0.98681
547,0.98681
548,0.98681
549,0.98681
550,0.98681
551,0.98681
552,0.98681
553,0.98681
554,0.98681
555,0.98681
556,0.98681
557,0.98681
558,0.98681
559,0.98681
560,0.98681
561,0.98681
562,0.98681
563,0.98681
564,0.98681
565,0.98681
566,0.98681
567,0.98681
568,0.98681
569,0.98681
570,0.98681
571,0.98681
572,0.98681
573,0.98681
574,0.98681
575,0.98681
576,0.98681
577,0.98681
578,0.98681
579,0.98681
580,0.98681
581,0.98681
582,0.98681
583,0.98681
584,0.98681
585,0.98681
586,0.98681
587,0.98681
588,0.98681
589,0.98681
590,0.98681
591,0.98681
592,0.98681
593,0.98681
594,0.9868
595,0.9868
596,0.9868
597,0.9868
598,0.9868
599,0.9868
600,0.9868
601,0.9868
602,0.9868
603,0.9868
604,0.9868
605,0.9868
606,0.98679
607,0.98679
608,0.98679
609,0.98679
610,0.98679
611,0.98679
612,0.98679
613,0.98679
614,0.98679
615,0.98678
616,0.98678
617,0.98678
618,0.98678
619,0.98678
620,0.98678
621,0.98678
622,0.98678
623,0.98678
624,0.98678
625,0.98678
626,0.98678
627,0.98678
628,0.98678
629,0.98678
630,0.98678
631,0.98677
632,0.98677
633,0.98677
634,0.98677
635,0.98677
636,0.98677
637,0.98677
638,0.98677
639,0.98677
640,0.98677
641,0.98677
642,0.98677
643,0.98677
644,0.98676
645,0.98676
646,0.98676
647,0.98676
648,0.98676
649,0.98676
650,0.98676
651,0.98676
652,0.98676
653,0.98676
654,0.98676
655,0.98675
656,0.98675
657,0.98675
658,0.98675
659,0.98675
660,0.98675
661,0.98675
662,0.98675
663,0.98675
664,0.98675
665,0.98675
666,0.98675
667,0.98675
668,0.98675
669,0.98674
670,0.98674
671,0.98674
672,0.98674
673,0.98674
674,0.98674
675,0.98674
676,0.98674
677,0.98674
678,0.98674
679,0.98674
680,0.98674
681,0.98674
682,0.98674
683,0.98673
684,0.98673
685,0.98673
686,0.98673
687,0.98673
688,0.98673
689,0.98673
690,0.98673
691,0.98673
692,0.98673
693,0.98673
694,0.98673
695,0.98673
696,0.98673
697,0.98673
698,0.98673
699,0.98673
700,0.98673
701,0.98673
702,0.98673
703,0.98673
704,0.98673
705,0.98673
706,0.98673
707,0.98673
708,0.98673
709,0.98673
710,0.98673
711,0.98673
712,0.98673
713,0.98673
714,0.98673
715,0.98673
716,0.98673
717,0.98673
718,0.98673
719,0.98673
720,0.98673
721,0.98673
722,0.98673
723,0.98673
724,0.98673
725,0.98673
726,0.98673
727,0.98673
728,0.98673
729,0.98673
730,0.98673
731,0.98673
732,0.98673
733,0.98673
734,0.98673
735,0.98673
736,0.98673
737,0.98673
738,0.98673
739,0.98673
740,0.98673
741,0.98673
742,0.98673
743,0.98673
744,0.98673
745,0.98673
746,0.98673
747,0.98673
748,0.98673
749,0.98673
750,0.98673
751,0.98673
752,0.98673
753,0.98673
754,0.98673
755,0.98673
756,0.98673
757,0.98673
758,0.98673
759,0.98673
760,0.98673
761,0.98673
762,0.98673
763,0.98673
764,0.98673
765,0.98673
766,0.98673
767,0.98673
768,0.98673
769,0.98673
770,0.98673
771,0.98673
772,0.98673
773,0.98673
774,0.98673
775,0.98673
776,0.98673
777,0.98673
778,0.98673
779,0.98673
780,0.98673
781,0.98673
782,0.98673
783,0.98673
784,0.98673
785,0.98673
786,0.98673
787,0.98673
788,0.98673
789,0.98673
790,0.98673
791,0.98673
792,0.98673
793,0.98673
794,0.98673
795,0.98673
796,0.98673
797,0.98673
798,0.98673
799,0.98673
800,0.98673
801,0.98673
802,0.98673
803,0.98673
804,0.98673
805,0.98673
806,0.98673
807,0.98673
808,0.98673
809,0.98673
810,0.98673
811,0.98673
812,0.98673
813,0.98673
814,0.98673
815,0.98673
816,0.98673
817,0.98673
818,0.98673
819,0.98673
820,0.98673
821,0.98673
822,0.98673
823,0.98673
824,0.98673
825,0.98673
826,0.98673
827,0.98673
828,0.98673
829,0.98673
830,0.98673
831,0.98673
832,0.98673
833,0.98673
834,0.98673
835,0.98673
836,0.98673
837,0.98673
838,0.98673
839,0.98673
840,0.98673
841,0.98673
842,0.98673
843,0.98673
844,0.98673
845,0.98673
846,0.98673
847,0.98673
848,0.98673
849,0.98673
850,0.98673
851,0.98673
852,0.98673
853,0.98673
854,0.98673
855,0.98673
856,0.98673
857,0.98673
858,0.98673
859,0.98673
860,0.98673
861,0.98673
862,0.98673
863,0.98673
864,0.98673
865,0.98673
866,0.98673
867,0.98673
868,0.98673
869,0.98673
870,0.98673
871,0.98673
872,0.98673
873,0.98673
874,0.98673
875,0.98673
876,0.98673
877,0.98673
878,0.98673
879,0.98673
880,0.98673
881,0.98673
882,0.98673
883,0.98673
884,0.98673
885,0.98673
886,0.98673
887,0.98673
888,0.98673
889,0.98673
890,0.98673
891,0.98673
892,0.98673
893,0.98673
894,0.98673
895,0.98673
896,0.98673
897,0.98673
898,0.98673
899,0.98673
900,0.98673
901,0.98673
902,0.98673
903,0.98673
904,0.98673
905,0.98673
906,0.98673
907,0.98673
908,0.98673
909,0.98673
910,0.98673
911,0.98673
912,0.98673
913,0.98673
914,0.98673
915,0.98673
916,0.98673
917,0.98673
918,0.98673
919,0.98673
920,0.98673
921,0.98673
922,0.98673
923,0.98673
924,0.98673
925,0.98673
926,0.98673
927,0.98673
928,0.98673
929,0.98673
930,0.98673
931,0.98673
932,0.98673
933,0.98673
934,0.98673
935,0.98673
936,0.98673
937,0.98673
938,0.98673
939,0.98673
940,0.98673
941,0.98673
942,0.98673
943,0.98673
944,0.98673
945,0.98673
946,0.98673
947,0.98673
948,0.98673
949,0.98673
950,0.98673
951,0.98673
952,0.98673
953,0.98673
954,0.98673
955,0.98673
956,0.98673
957,0.98673
958,0.98673
959,0.98673
960,0.98673
961,0.98673
962,0.98673
963,0.98673
964,0.98673
965,0.98673
966,0.98673
967,0.98673
968,0.98673
969,0.98673
970,0.98673
971,0.98673
972,0.98673
973,0.98673
974,0.98673
975,0.98673
976,0.98673
977,0.98673
978,0.98673
979,0.98673
980,0.98673
981,0.98673
982,0.98673
983,0.98673
984,0.98673
985,0.98673
986,0.98673
987,0.98673
988,0.98673
989,0.98673
990,0.98673
991,0.98673
992,0.98673
993,0.98673
994,0.98673
995,0.98673
996,0.98673
997,0.98673
998,0.98673
999,0.98673
1000,0.98673
1001,0.98673
1002,0.98673
1003,0.98673
1004,0.98673
1005,0.98673
1006,0.98673
1007,0.98673
1008,0.98673
1009,0.98673
1010,0.98673
1011,0.98673
1012,0.98673
1013,0.98673
1014,0.98673
1015,0.98673
1016,0.98673
1017,0.98673
1018,0.98672
1019,0.98672
1020,0.98672
1021,0.98672
1022,0.98671
1023,0.98671
1024,0.98671
1025,0.98671
1026,0.9867
1027,0.9867
1028,0.9867
1029,0.98669
1030,0.98669
1031,0.98669
1032,0.98669
1033,0.98669
1034,0.98669
1035,0.98669
1036,0.98669
1037,0.98669
1038,0.98669
1039,0.98669
1040,0.98669
1041,0.98669
1042,0.98669
1043,0.98669
1044,0.98669
1045,0.98668
1046,0.98667
1047,0.98667
1048,0.98666
1049,0.98666
1050,0.98665
1051,0.98665
1052,0.98665
1053,0.98665
1054,0.98664
1055,0.98664
1056,0.98664
1057,0.98663
1058,0.98662
1059,0.98662
1060,0.98662
1061,0.98662
1062,0.98662
1063,0.98662
1064,0.98661
1065,0.98661
1066,0.98661
1067,0.98661
1068,0.9866
1069,0.9866
1070,0.9866
1071,0.98659
1072,0.98659
1073,0.98659
1074,0.98659
1075,0.98658
1076,0.98658
1077,0.98658
1078,0.98658
1079,0.98658
1080,0.98658
1081,0.98657
1082,0.98657
1083,0.98657
1084,0.98657
1085,0.98656
1086,0.98656
1087,0.98656
1088,0.98656
1089,0.98655
1090,0.98655
1091,0.98655
1092,0.98655
1093,0.98655
1094,0.98655
1095,0.98655
1096,0.98655
1097,0.98654
1098,0.98654
1099,0.98654
1100,0.98654
1101,0.98654
1102,0.98654
1103,0.98653
1104,0.98653
1105,0.98653
1106,0.98653
1107,0.98653
1108,0.98653
1109,0.98653
1110,0.98653
1111,0.98653
1112,0.98653
1113,0.98652
1114,0.98652
1115,0.98652
1116,0.98651
1117,0.98651
1118,0.98651
1119,0.9865
1120,0.9865
1121,0.98649
1122,0.98649
1123,0.98649
1124,0.98648
1125,0.98648
1126,0.98647
1127,0.98646
1128,0.98646
1129,0.98646
1130,0.98646
1131,0.98646
1132,0.98646
1133,0.98645
1134,0.98645
1135,0.98645
1136,0.98645
1137,0.98645
1138,0.98644
1139,0.98644
1140,0.98644
1141,0.98642
1142,0.98641
1143,0.9864
1144,0.9864
1145,0.98639
1146,0.98639
1147,0.98639
1148,0.98639
1149,0.98639
1150,0.98639
1151,0.98639
1152,0.98638
1153,0.98637
1154,0.98637
1155,0.98637
1156,0.98637
1157,0.98637
1158,0.98637
1159,0.98637
1160,0.98637
1161,0.98637
1162,0.98637
1163,0.98637
1164,0.98637
1165,0.98637
1166,0.98637
1167,0.98637
1168,0.98637
1169,0.98637
1170,0.98637
1171,0.98637
1172,0.98636
1173,0.98635
1174,0.98635
1175,0.98634
1176,0.98633
1177,0.98633
1178,0.98633
1179,0.98632
1180,0.98632
1181,0.98631
1182,0.98631
1183,0.98631
1184,0.98631
1185,0.9863
1186,0.9863
1187,0.9863
1188,0.98629
1189,0.98629
1190,0.98629
1191,0.98628
1192,0.98627
1193,0.98627
1194,0.98627
1195,0.98627
1196,0.98626
1197,0.98626
1198,0.98625
1199,0.98625
1200,0.98625
1201,0.98624
1202,0.98623
1203,0.98623
1204,0.98623
1205,0.98622
1206,0.98622
1207,0.98621
1208,0.9862
1209,0.9862
1210,0.9862
1211,0.9862
1212,0.9862
1213,0.98619
1214,0.98619
1215,0.98618
1216,0.98618
1217,0.98618
1218,0.98617
1219,0.98617
1220,0.98617
1221,0.98617
1222,0.98617
1223,0.98616
1224,0.98616
1225,0.98614
1226,0.98614
1227,0.98613
1228,0.98613
1229,0.98612
1230,0.98612
1231,0.98612
1232,0.98612
1233,0.98611
1234,0.98611
1235,0.98611
1236,0.9861
1237,0.9861
1238,0.98609
1239,0.98608
1240,0.98608
1241,0.98608
1242,0.98607
1243,0.98607
1244,0.98607
1245,0.98607
1246,0.98607
1247,0.98606
1248,0.98605
1249,0.98605
1250,0.98603
1251,0.98603
1252,0.98603
1253,0.98603
1254,0.98603
1255,0.98603
1256,0.98603
1257,0.98602
1258,0.98602
1259,0.98602
1260,0.98602
1261,0.98602
1262,0.98602
1263,0.98602
1264,0.98602
1265,0.98602
1266,0.98602
1267,0.98602
1268,0.98602
1269,0.98602
1270,0.98602
1271,0.98602
1272,0.98602
1273,0.98602
1274,0.98602
1275,0.98602
1276,0.98602
1277,0.98602
1278,0.98602
1279,0.98602
1280,0.98602
1281,0.98602
1282,0.98602
1283,0.98602
1284,0.98602
1285,0.98602
1286,0.98602
1287,0.98602
1288,0.98602
1289,0.98602
1290,0.98602
1291,0.98602
1292,0.98602
1293,0.98602
1294,0.98602
1295,0.98602
1296,0.98602
1297,0.98602
1298,0.98602
1299,0.98602
1300,0.98602
1301,0.98602
1302,0.98602
1303,0.98602
1304,0.98602
1305,0.98602
1306,0.98602
1307,0.98602
1308,0.98602
1309,0.98602
1310,0.98602
1311,0.98602
1312,0.98602
1313,0.98602
1314,0.98602
1315,0.98602
1316,0.98602
1317,0.98602
1318,0.98602
1319,0.98602
1320,0.98602
1321,0.98602
1322,0.98602
1323,0.98602
1324,0.98602
1325,0.98601
1326,0.98601
1327,0.98601
1328,0.986
1329,0.986
1330,0.98599
1331,0.98599
1332,0.98599
1333,0.98599
1334,0.98598
1335,0.98598
1336,0.98598
1337,0.98598
1338,0.98598
1339,0.98597
1340,0.98597
1341,0.98597
1342,0.98596
1343,0.98595
1344,0.98595
1345,0.98594
1346,0.98594
1347,0.98593
1348,0.98592
1349,0.98591
1350,0.9859
1351,0.9859
1352,0.9859
1353,0.9859
1354,0.98589
1355,0.98589
1356,0.98586
1357,0.98586
1358,0.98586
1359,0.98585
1360,0.98585
1361,0.98583
1362,0.98583
1363,0.98582
1364,0.98582
1365,0.98582
1366,0.98582
1367,0.98582
1368,0.98582
1369,0.98582
1370,0.98582
1371,0.98582
1372,0.98582
1373,0.98582
1374,0.98582
1375,0.98582
1376,0.98582
1377,0.98582
1378,0.98582
1379,0.98582
1380,0.98581
1381,0.9858
1382,0.98579
1383,0.98579
1384,0.98579
1385,0.98578
1386,0.98577
1387,0.98577
1388,0.98577
1389,0.98577
1390,0.98576
1391,0.98576
1392,0.98576
1393,0.98576
1394,0.98575
1395,0.98575
1396,0.98575
1397,0.98575
1398,0.98575
1399,0.98575
1400,0.98575
1401,0.98575
1402,0.98575
1403,0.98575
1404,0.98575
1405,0.98573
1406,0.98573
1407,0.98571
1408,0.98571
1409,0.9857
1410,0.9857
1411,0.9857
1412,0.98568
1413,0.98568
1414,0.98567
1415,0.98566
1416,0.98566
1417,0.98566
1418,0.98565
1419,0.98565
1420,0.98565
1421,0.98564
1422,0.98564
1423,0.98563
1424,0.98562
1425,0.98562
1426,0.98562
1427,0.9856
1428,0.9856
1429,0.98558
1430,0.98558
1431,0.98555
1432,0.98555
1433,0.98554
1434,0.98554
1435,0.98553
1436,0.98553
1437,0.98553
1438,0.98553
1439,0.98553
1440,0.98553
1441,0.98552
1442,0.9855
1443,0.9855
1444,0.98549
1445,0.98549
1446,0.98549
1447,0.98549
1448,0.98548
1449,0.98547
1450,0.98547
1451,0.98546
1452,0.98546
1453,0.98546
1454,0.98544
1455,0.98543
1456,0.98542
1457,0.98542
1458,0.98542
1459,0.98541
1460,0.98541
1461,0.98541
1462,0.98541
1463,0.98541
1464,0.98541
1465,0.98541
1466,0.98541
1467,0.98541
1468,0.98541
1469,0.98541
1470,0.98541
1471,0.98541
1472,0.9854
1473,0.9854
1474,0.9854
1475,0.98539
1476,0.98539
1477,0.98539
1478,0.98539
1479,0.98538
1480,0.98538
1481,0.98537
1482,0.98536
1483,0.98535
1484,0.98533
1485,0.98532
1486,0.98531
1487,0.98531
1488,0.98529
1489,0.98528
1490,0.98527
1491,0.98527
1492,0.98527
1493,0.98526
1494,0.98526
1495,0.98526
1496,0.98523
1497,0.98522
1498,0.98522
1499,0.9852
1500,0.98519
1501,0.98519
1502,0.98519
1503,0.98517
1504,0.98517
1505,0.98517
1506,0.98517
1507,0.98515
1508,0.98515
1509,0.98515
1510,0.98515
1511,0.98515
1512,0.98515
1513,0.98515
1514,0.98515
1515,0.98515
1516,0.98515
1517,0.98515
1518,0.98515
1519,0.98515
1520,0.98515
1521,0.98515
1522,0.98515
1523,0.98515
1524,0.98515
1525,0.98515
1526,0.98515
1527,0.98515
1528,0.98515
1529,0.98515
1530,0.98515
1531,0.98515
1532,0.98515
1533,0.98515
1534,0.98514
1535,0.98514
1536,0.98513
1537,0.98512
1538,0.98512
1539,0.9851
1540,0.9851
1541,0.98505
1542,0.98505
1543,0.98505
1544,0.98504
1545,0.98503
1546,0.98503
1547,0.98501
1548,0.985
1549,0.98498
1550,0.98498
1551,0.98498
1552,0.98498
1553,0.98497
1554,0.98497
1555,0.98496
1556,0.98495
1557,0.98493
1558,0.98492
1559,0.98491
1560,0.9849
1561,0.98488
1562,0.98488
1563,0.98486
1564,0.98486
1565,0.98484
1566,0.98484
1567,0.98483
1568,0.98483
1569,0.98482
1570,0.98481
1571,0.98481
1572,0.98481
1573,0.98481
1574,0.98481
1575,0.98481
1576,0.9848
1577,0.9848
