rank,score
1,0.94734
2,0.9472
3,0.94707
4,0.94706
5,0.94683
6,0.94678
7,0.9466
8,0.9466
9,0.9465
10,0.94649
11,0.94635
12,0.94634
13,0.94633
14,0.94628
15,0.94608
16,0.94607
17,0.94605
18,0.94594
19,0.94592
20,0.94585
21,0.94583
22,0.94582
23,0.94582
24,0.94578
25,0.94576
26,0.94573
27,0.94572
28,0.94567
29,0.94566
30,0.94566
31,0.94566
32,0.9456
33,0.94556
34,0.94554
35,0.94543
36,0.94542
37,0.94536
38,0.94535
39,0.94528
40,0.94528
41,0.94525
42,0.94522
43,0.94514
44,0.94514
45,0.94511
46,0.94504
47,0.94498
48,0.94494
49,0.94487
50,0.94478
51,0.94478
52,0.94477
53,0.9447
54,0.94469
55,0.94468
56,0.94466
57,0.94451
58,0.94451
59,0.94451
60,0.94448
61,0.94435
62,0.94434
63,0.94432
64,0.94431
65,0.94425
66,0.94424
67,0.94424
68,0.94423
69,0.9442
70,0.94419
71,0.94417
72,0.94415
73,0.94413
74,0.94413
75,0.9441
76,0.94407
77,0.94407
78,0.94407
79,0.94404
80,0.94401
81,0.94393
82,0.94384
83,0.94383
84,0.94382
85,0.9438
86,0.94373
87,0.94372
88,0.94371
89,0.94371
90,0.9437
91,0.94369
92,0.94369
93,0.94369
94,0.94368
95,0.94366
96,0.94364
97,0.94362
98,0.94362
99,0.94361
100,0.94359
101,0.94356
102,0.94355
103,0.94355
104,0.9435
105,0.94347
106,0.94347
107,0.94347
108,0.94345
109,0.94345
110,0.94341
111,0.94341
112,0.94341
113,0.94336
114,0.94331
115,0.94329
116,0.94328
117,0.94327
118,0.94325
119,0.94324
120,0.94323
121,0.94315
122,0.94313
123,0.94313
124,0.94312
125,0.94312
126,0.94311
127,0.94308
128,0.94308
129,0.94307
130,0.94306
131,0.94304
132,0.943
133,0.94299
134,0.94298
135,0.94297
136,0.94297
137,0.94293
138,0.94292
139,0.94284
140,0.94284
141,0.94283
142,0.94281
143,0.94281
144,0.9428
145,0.94278
146,0.94274
147,0.94273
148,0.94269
149,0.94265
150,0.94265
151,0.94263
152,0.94262
153,0.94262
154,0.94256
155,0.94254
156,0.94253
157,0.94252
158,0.9425
159,0.94249
160,0.94244
161,0.94243
162,0.9424
163,0.94239
164,0.94237
165,0.94232
166,0.94231
167,0.94227
168,0.94226
169,0.94225
170,0.94221
171,0.94221
172,0.9422
173,0.94219
174,0.94218
175,0.94217
176,0.94212
177,0.94212
178,0.94211
179,0.94211
180,0.9421
181,0.9421
182,0.94209
183,0.94207
184,0.94207
185,0.94206
186,0.94203
187,0.942
188,0.94199
189,0.94199
190,0.94196
191,0.94195
192,0.94195
193,0.94195
194,0.94189
195,0.94187
196,0.94186
197,0.94185
198,0.94183
199,0.94183
200,0.94182
201,0.94182
202,0.94179
203,0.94179
204,0.94178
205,0.94178
206,0.94175
207,0.94175
208,0.94174
209,0.94173
210,0.94172
211,0.94172
212,0.9417
213,0.9417
214,0.94166
215,0.94164
216,0.94163
217,0.94162
218,0.9416
219,0.94158
220,0.94157
221,0.94157
222,0.94156
223,0.94155
224,0.94155
225,0.94153
226,0.94148
227,0.94146
228,0.94144
229,0.94142
230,0.94141
231,0.94137
232,0.94135
233,0.94135
234,0.94133
235,0.94129
236,0.94127
237,0.94127
238,0.94125
239,0.94124
240,0.94124
241,0.94123
242,0.94123
243,0.94123
244,0.94116
245,0.94116
246,0.94115
247,0.94114
248,0.94111
249,0.9411
250,0.94108
251,0.94107
252,0.94106
253,0.94106
254,0.94105
255,0.94103
256,0.94102
257,0.94097
258,0.94097
259,0.94094
260,0.94093
261,0.94092
262,0.94089
263,0.94088
264,0.94082
265,0.94082
266,0.94082
267,0.9408
268,0.9408
269,0.94078
270,0.94078
271,0.94076
272,0.94067
273,0.94067
274,0.94064
275,0.9406
276,0.94059
277,0.94057
278,0.94056
279,0.94055
280,0.94049
281,0.94044
282,0.94043
283,0.94043
284,0.94039
285,0.94039
286,0.94037
287,0.94032
288,0.94032
289,0.9403
290,0.9403
291,0.94029
292,0.94029
293,0.94027
294,0.94026
295,0.94026
296,0.94023
297,0.94023
298,0.9402
299,0.94019
300,0.94019
301,0.94017
302,0.94017
303,0.94017
304,0.94017
305,0.94017
306,0.94015
307,0.94012
308,0.94008
309,0.94008
310,0.94008
311,0.94007
312,0.94006
313,0.93996
314,0.93993
315,0.93992
316,0.93992
317,0.93992
318,0.93987
319,0.93986
320,0.93982
321,0.93978
322,0.93973
323,0.93971
324,0.9397
325,0.93966
326,0.93963
327,0.93952
328,0.93949
329,0.93941
330,0.9394
331,0.9394
332,0.93937
333,0.93936
334,0.93935
335,0.93927
336,0.93924
337,0.93923
338,0.93921
339,0.93921
340,0.93918
341,0.93918
342,0.93913
343,0.93912
344,0.9391
345,0.93908
346,0.93906
347,0.93904
348,0.93902
349,0.939
350,0.93898
351,0.93895
352,0.93891
353,0.93891
354,0.93889
355,0.93889
356,0.93881
357,0.9388
358,0.93879
359,0.93878
360,0.93875
361,0.93873
362,0.93873
363,0.9387
364,0.93869
365,0.93869
366,0.93868
367,0.93867
368,0.93864
369,0.93863
370,0.93863
371,0.93861
372,0.93857
373,0.93851
374,0.93851
375,0.9385
376,0.93849
377,0.93849
378,0.93839
379,0.93829
380,0.93823
381,0.93817
382,0.93815
383,0.93812
384,0.93811
385,0.93807
386,0.93805
387,0.93803
388,0.93797
389,0.93794
390,0.93793
391,0.93792
392,0.9378
393,0.93776
394,0.93772
395,0.9377
396,0.93758
397,0.93752
398,0.93749
399,0.93745
400,0.93744
401,0.93742
402,0.93738
403,0.93737
404,0.93737
405,0.93735
406,0.93732
407,0.93731
408,0.93731
409,0.93728
410,0.93725
411,0.93719
412,0.93718
413,0.93718
414,0.93716
415,0.93714
416,0.93709
417,0.93708
418,0.93708
419,0.93708
420,0.93708
421,0.93708
422,0.93708
423,0.93707
424,0.93705
425,0.93705
426,0.93702
427,0.93701
428,0.93699
429,0.93698
430,0.93696
431,0.93692
432,0.93692
433,0.93692
434,0.9369
435,0.9369
436,0.9369
437,0.93688
438,0.93688
439,0.93688
440,0.93688
441,0.93688
442,0.93688
443,0.93688
444,0.93688
445,0.93688
446,0.93688
447,0.93688
448,0.93688
449,0.93688
450,0.93688
451,0.93688
452,0.93688
453,0.93688
454,0.93688
455,0.93688
456,0.93688
457,0.93688
458,0.93688
459,0.93688
460,0.93688
461,0.93688
462,0.93688
463,0.93688
464,0.93688
465,0.93688
466,0.93688
467,0.93688
468,0.93688
469,0.93688
470,0.93688
471,0.93688
472,0.93688
473,0.93688
474,0.93688
475,0.93688
476,0.93688
477,0.93688
478,0.93688
479,0.93688
480,0.93688
481,0.93688
482,0.93688
483,0.93688
484,0.93688
485,0.93688
486,0.93688
487,0.93688
488,0.93688
489,0.93688
490,0.93688
491,0.93688
492,0.93688
493,0.93688
494,0.93688
495,0.93688
496,0.93688
497,0.93688
498,0.93688
499,0.93688
500,0.93688
501,0.93688
502,0.93688
503,0.93688
504,0.93688
505,0.93688
506,0.93688
507,0.93688
508,0.93688
509,0.93688
510,0.93688
511,0.93688
512,0.93688
513,0.93688
514,0.93688
515,0.93688
516,0.93688
517,0.93688
518,0.93688
519,0.93688
520,0.93688
521,0.93688
522,0.93688
523,0.93688
524,0.93688
525,0.93688
526,0.93688
527,0.93688
528,0.93688
529,0.93688
530,0.93688
531,0.93688
532,0.93688
533,0.93688
534,0.93688
535,0.93688
536,0.93688
537,0.93688
538,0.93688
539,0.93688
540,0.93688
541,0.93688
542,0.93688
543,0.93688
544,0.93688
545,0.93688
546,0.93688
547,0.93688
548,0.93688
549,0.93688
550,0.93688
551,0.93688
552,0.93688
553,0.93688
554,0.93688
555,0.93688
556,0.93688
557,0.93688
558,0.93688
559,0.93688
560,0.93688
561,0.93688
562,0.93688
563,0.93688
564,0.93686
565,0.93685
566,0.93685
567,0.93685
568,0.93685
569,0.93685
570,0.93685
571,0.93685
572,0.93684
573,0.9368
574,0.93676
575,0.93676
576,0.93676
577,0.93676
578,0.93676
579,0.93676
580,0.93676
581,0.93676
582,0.93676
583,0.93676
584,0.93676
585,0.93676
586,0.93671
587,0.9367
588,0.93669
589,0.93668
590,0.93667
591,0.93666
592,0.93665
593,0.93665
594,0.93664
595,0.93663
596,0.93662
597,0.93662
598,0.93661
599,0.93661
600,0.93658
601,0.93656
602,0.93655
603,0.93653
604,0.93649
605,0.93649
606,0.93648
607,0.93646
608,0.93645
609,0.93645
610,0.93644
611,0.93643
612,0.9364
613,0.9364
614,0.93639
615,0.93638
616,0.93637
617,0.93636
618,0.93631
619,0.93631
620,0.9363
621,0.9363
622,0.93629
623,0.93628
624,0.93627
625,0.93627
626,0.93626
627,0.93626
628,0.93626
629,0.93625
630,0.93623
631,0.93622
632,0.93614
633,0.93611
634,0.93611
635,0.9361
636,0.9361
637,0.93609
638,0.93608
639,0.93606
640,0.93606
641,0.93606
642,0.93605
643,0.93603
644,0.93602
645,0.936
646,0.93599
647,0.93598
648,0.93597
649,0.93597
650,0.93595
651,0.93595
652,0.93595
653,0.93595
654,0.93595
655,0.93595
656,0.93595
657,0.93595
658,0.93595
659,0.93595
660,0.93595
661,0.93595
662,0.93595
663,0.93595
664,0.93595
665,0.93595
666,0.93595
667,0.93595
668,0.93595
669,0.93595
670,0.93595
671,0.93595
672,0.93595
673,0.93595
674,0.93595
675,0.93595
676,0.93595
677,0.93595
678,0.93595
679,0.93595
680,0.93595
681,0.93595
682,0.93595
683,0.93595
684,0.93595
685,0.93595
686,0.93595
687,0.93595
688,0.93595
689,0.93595
690,0.93595
691,0.93595
692,0.93595
693,0.93595
694,0.93595
695,0.93595
696,0.93595
697,0.93595
698,0.93594
699,0.93594
700,0.93593
701,0.93592
702,0.9359
703,0.93589
704,0.93588
705,0.93585
706,0.93583
707,0.93583
708,0.93583
709,0.93579
710,0.93579
711,0.93576
712,0.93576
713,0.93575
714,0.9357
715,0.93568
716,0.93568
717,0.93568
718,0.93568
719,0.93568
720,0.93568
721,0.93568
722,0.93567
723,0.93567
724,0.93567
725,0.93566
726,0.93566
727,0.93566
728,0.93564
729,0.93563
730,0.93559
731,0.93559
732,0.93558
733,0.93558
734,0.93556
735,0.93555
736,0.93554
737,0.93554
738,0.93552
739,0.93552
740,0.93551
741,0.93551
742,0.9355
743,0.9355
744,0.93549
745,0.93549
746,0.93548
747,0.93546
748,0.93546
749,0.93546
750,0.93546
751,0.93545
752,0.93543
753,0.93543
754,0.93543
755,0.93543
756,0.93542
757,0.93542
758,0.93541
759,0.93541
760,0.93541
761,0.93541
762,0.9354
763,0.9354
764,0.9354
765,0.93539
766,0.93536
767,0.93535
768,0.93532
769,0.93531
770,0.93531
771,0.93529
772,0.93528
773,0.93527
774,0.93525
775,0.93523
776,0.93522
777,0.93521
778,0.9352
779,0.9352
780,0.93518
781,0.93517
782,0.93515
783,0.93515
784,0.93515
785,0.93515
786,0.93514
787,0.93514
788,0.93513
789,0.93513
790,0.93513
791,0.9351
792,0.9351
793,0.93509
794,0.93509
795,0.93508
796,0.93508
797,0.93508
798,0.93508
799,0.93507
800,0.93507
801,0.93507
802,0.93507
803,0.93507
804,0.93506
805,0.93505
806,0.93505
807,0.93505
808,0.93505
809,0.93503
810,0.93503
811,0.93502
812,0.93501
813,0.93501
814,0.93501
815,0.93501
816,0.93501
817,0.93501
818,0.935
819,0.935
820,0.93498
821,0.93498
822,0.93498
823,0.93495
824,0.93494
825,0.93494
826,0.93493
827,0.93492
828,0.93492
829,0.93492
830,0.93492
831,0.93491
832,0.9349
833,0.93489
834,0.93488
835,0.93488
836,0.93488
837,0.93488
838,0.93487
839,0.93487
840,0.93487
841,0.93487
842,0.93487
843,0.93486
844,0.93486
845,0.93486
846,0.93486
847,0.93486
848,0.93486
849,0.93485
850,0.93485
851,0.93485
852,0.93485
853,0.93485
854,0.93484
855,0.93484
856,0.93484
857,0.93484
858,0.93484
859,0.93484
860,0.93484
861,0.93483
862,0.93483
863,0.93482
864,0.93482
865,0.93482
866,0.93481
867,0.93481
868,0.93481
869,0.9348
870,0.93479
871,0.93479
872,0.93479
873,0.93478
874,0.93478
875,0.93477
876,0.93477
877,0.93477
878,0.93476
879,0.93476
880,0.93476
881,0.93476
882,0.93476
883,0.93475
884,0.93475
885,0.93475
886,0.93475
887,0.93474
888,0.93474
889,0.93474
890,0.93474
891,0.93474
892,0.93474
893,0.93473
894,0.93473
895,0.93473
896,0.93473
897,0.93473
898,0.93473
899,0.93472
900,0.93472
901,0.93472
902,0.93472
903,0.93472
904,0.93472
905,0.93471
906,0.93471
907,0.93471
908,0.93471
909,0.9347
910,0.9347
911,0.9347
912,0.9347
913,0.93469
914,0.93469
915,0.93469
916,0.93469
917,0.93469
918,0.93468
919,0.93468
920,0.93468
921,0.93468
922,0.93468
923,0.93468
924,0.93467
925,0.93467
926,0.93467
927,0.93467
928,0.93467
929,0.93466
930,0.93466
931,0.93466
932,0.93465
933,0.93465
934,0.93465
935,0.93465
936,0.93465
937,0.93465
938,0.93465
939,0.93464
940,0.93464
941,0.93464
942,0.93464
943,0.93464
944,0.93464
945,0.93463
946,0.93463
947,0.93463
948,0.93463
949,0.93463
950,0.93462
951,0.93462
952,0.93462
953,0.93462
954,0.93462
955,0.93462
956,0.93461
957,0.93461
958,0.9346
959,0.9346
960,0.9346
961,0.9346
962,0.9346
963,0.9346
964,0.93459
965,0.93459
966,0.93459
967,0.93458
968,0.93458
969,0.93458
970,0.93457
971,0.93457
972,0.93457
973,0.93457
974,0.93457
975,0.93457
976,0.93457
977,0.93456
978,0.93456
979,0.93456
980,0.93456
981,0.93456
982,0.93456
983,0.93455
984,0.93454
