rank,score
1,0.933208
2,0.931853
3,0.928415
4,0.927633
5,0.926279
6,0.925914
7,0.925184
8,0.924507
9,0.923205
10,0.922215
11,0.921329
12,0.921329
13,0.921121
14,0.920495
15,0.920183
16,0.918672
17,0.91862
18,0.918203
19,0.917838
20,0.916901
21,0.916588
22,0.916432
23,0.916275
24,0.916223
25,0.915911
26,0.915911
27,0.914035
28,0.912889
29,0.912368
30,0.912107
31,0.911951
32,0.911639
33,0.911274
34,0.911274
35,0.91117
36,0.910701
37,0.910284
38,0.910232
39,0.909867
40,0.909815
41,0.909763
42,0.909711
43,0.909659
44,0.909607
45,0.909607
46,0.909502
47,0.909502
48,0.909398
49,0.909346
50,0.909086
51,0.908877
52,0.908669
53,0.908408
54,0.908408
55,0.908356
56,0.907939
57,0.907939
58,0.907835
59,0.907627
60,0.907523
61,0.907366
62,0.907366
63,0.907366
64,0.907262
65,0.907262
66,0.90721
67,0.907158
68,0.907106
69,0.907106
70,0.907054
71,0.907054
72,0.906897
73,0.906533
74,0.906481
75,0.906481
76,0.90622
77,0.906064
78,0.906064
79,0.906012
80,0.906012
81,0.906012
82,0.90596
83,0.905908
84,0.905855
85,0.905855
86,0.905803
87,0.905751
88,0.905751
89,0.905751
90,0.905699
91,0.905543
92,0.905543
93,0.905491
94,0.905439
95,0.905439
96,0.905335
97,0.905282
98,0.905282
99,0.905282
100,0.905178
101,0.905074
102,0.905074
103,0.905022
104,0.905022
105,0.904918
106,0.904918
107,0.904866
108,0.904866
109,0.904814
110,0.904761
111,0.904761
112,0.904657
113,0.904501
114,0.904501
115,0.904397
116,0.904345
117,0.904293
118,0.90424
119,0.904136
120,0.904136
121,0.904084
122,0.904084
123,0.904084
124,0.904084
125,0.90398
126,0.903876
127,0.903876
128,0.903824
129,0.903772
130,0.903667
131,0.903615
132,0.903615
133,0.903511
134,0.903459
135,0.903407
136,0.903355
137,0.903355
138,0.903355
139,0.903251
140,0.903094
141,0.90299
142,0.902938
143,0.902834
144,0.90273
145,0.902625
146,0.902521
147,0.902521
148,0.902521
149,0.902469
150,0.902365
151,0.902313
152,0.902313
153,0.902313
154,0.902261
155,0.902156
156,0.902052
157,0.902052
158,0.902052
159,0.902
160,0.902
161,0.901948
162,0.901792
163,0.901583
164,0.901583
165,0.901531
166,0.901375
167,0.901323
168,0.901323
169,0.901323
170,0.901271
171,0.901271
172,0.901271
173,0.901219
174,0.901062
175,0.901062
176,0.900958
177,0.900906
178,0.900854
179,0.900854
180,0.900854
181,0.900802
182,0.90075
183,0.900698
184,0.900333
185,0.900281
186,0.900229
187,0.900229
188,0.900177
189,0.900125
190,0.900072
191,0.899916
192,0.899864
193,0.899864
194,0.899812
195,0.89976
196,0.89976
197,0.899708
198,0.899604
199,0.899551
200,0.899447
201,0.899395
202,0.899343
203,0.899239
204,0.899187
205,0.899135
206,0.899083
207,0.899083
208,0.898926
209,0.898874
210,0.898509
211,0.898405
212,0.898405
213,0.898301
214,0.898249
215,0.898197
216,0.898145
217,0.898093
218,0.898093
219,0.898041
220,0.898041
221,0.897936
222,0.897936
223,0.897884
224,0.89778
225,0.897728
226,0.897624
227,0.897415
228,0.897259
229,0.897207
230,0.897207
231,0.897155
232,0.897155
233,0.897155
234,0.896999
235,0.896999
236,0.896894
237,0.89679
238,0.89679
239,0.896686
240,0.896686
241,0.89653
242,0.896478
243,0.896478
244,0.896478
245,0.896425
246,0.896321
247,0.896165
248,0.896165
249,0.895957
250,0.895957
251,0.895904
252,0.895904
253,0.895852
254,0.895488
255,0.895331
256,0.895279
257,0.895279
258,0.895279
259,0.895175
260,0.895123
261,0.895123
262,0.894862
263,0.89481
264,0.894758
265,0.894654
266,0.894498
267,0.894289
268,0.894185
269,0.894133
270,0.894029
271,0.893768
272,0.89356
273,0.893456
274,0.893404
275,0.893352
276,0.893195
277,0.893195
278,0.893195
279,0.892987
280,0.892831
281,0.892414
282,0.892101
283,0.891632
284,0.89158
285,0.891476
286,0.891476
287,0.891424
288,0.891372
289,0.89132
290,0.891163
291,0.891059
292,0.891007
293,0.890382
294,0.890278
295,0.890121
296,0.890069
297,0.889913
298,0.889913
299,0.889757
300,0.889757
301,0.8896
302,0.889496
303,0.889444
304,0.889444
305,0.889444
306,0.889444
307,0.889392
308,0.88934
309,0.88934
310,0.889288
311,0.889184
312,0.889184
313,0.889027
314,0.888975
315,0.888975
316,0.888975
317,0.888923
318,0.888923
319,0.888871
320,0.888767
321,0.888663
322,0.888558
323,0.888558
324,0.888558
325,0.888506
326,0.888506
327,0.888506
328,0.888454
329,0.888402
330,0.888402
331,0.88835
332,0.88835
333,0.888298
334,0.888298
335,0.888298
336,0.888246
337,0.888194
338,0.888194
339,0.888194
340,0.88809
341,0.88809
342,0.888037
343,0.887985
344,0.887985
345,0.887985
346,0.887933
347,0.887933
348,0.887933
349,0.887933
350,0.887933
351,0.887881
352,0.887829
353,0.887829
354,0.887829
355,0.887829
356,0.887777
357,0.887777
358,0.887777
359,0.887777
360,0.887777
361,0.887777
362,0.887777
363,0.887777
364,0.887777
365,0.887777
366,0.887777
367,0.887777
368,0.887777
369,0.887777
370,0.887725
371,0.887725
372,0.887725
373,0.887621
374,0.887621
375,0.887621
376,0.887569
377,0.887516
378,0.887516
379,0.887516
380,0.887516
381,0.887464
382,0.887464
383,0.887412
384,0.887308
385,0.887308
386,0.887308
387,0.8871
388,0.887048
389,0.887048
390,0.887048
391,0.887048
392,0.887048
393,0.886995
394,0.886995
395,0.886891
396,0.886735
397,0.886735
398,0.886735
399,0.886683
400,0.886683
401,0.886683
402,0.886683
403,0.886683
404,0.886683
405,0.886683
406,0.886683
407,0.886683
408,0.886683
409,0.886683
410,0.886683
411,0.886683
412,0.886683
413,0.886683
414,0.886683
415,0.886683
416,0.886683
417,0.886683
418,0.886683
419,0.886683
420,0.886683
421,0.886683
422,0.886683
423,0.886683
424,0.886683
425,0.886683
426,0.886683
427,0.886683
428,0.886683
429,0.886683
430,0.886683
431,0.886683
432,0.886683
433,0.886683
434,0.886683
435,0.886683
436,0.886683
437,0.886683
438,0.886683
439,0.886683
440,0.886683
441,0.886683
442,0.886683
443,0.886683
444,0.886683
445,0.886683
446,0.886683
447,0.886683
448,0.886683
449,0.886683
450,0.886683
451,0.886683
452,0.886683
453,0.886683
454,0.886683
455,0.886683
456,0.886683
457,0.886683
458,0.886683
459,0.886683
460,0.886683
461,0.886683
462,0.886683
463,0.886683
464,0.886683
465,0.886683
466,0.886683
