rank,score
1,0.940907
2,0.934456
3,0.93404
4,0.933
5,0.931751
6,0.931543
7,0.930295
8,0.929879
9,0.928838
10,0.92863
11,0.928422
12,0.928422
13,0.928422
14,0.928006
15,0.927382
16,0.926133
17,0.925717
18,0.924677
19,0.924469
20,0.923845
21,0.923429
22,0.922388
23,0.922388
24,0.922388
25,0.921764
26,0.921348
27,0.920724
28,0.920516
29,0.920516
30,0.920307
31,0.920099
32,0.920099
33,0.919683
34,0.919683
35,0.919267
36,0.919267
37,0.918435
38,0.918435
39,0.918227
40,0.918019
41,0.918019
42,0.918019
43,0.918019
44,0.918019
45,0.917811
46,0.917811
47,0.917811
48,0.917602
49,0.917394
50,0.917186
51,0.917186
52,0.916978
53,0.916978
54,0.91677
55,0.916562
56,0.916562
57,0.916354
58,0.916354
59,0.915938
60,0.91573
61,0.91573
62,0.915522
63,0.915522
64,0.915522
65,0.915522
66,0.915106
67,0.915106
68,0.915106
69,0.914898
70,0.914898
71,0.914481
72,0.914481
73,0.914481
74,0.914481
75,0.914481
76,0.914273
77,0.914065
78,0.914065
79,0.913857
80,0.913857
81,0.913857
82,0.913649
83,0.913649
84,0.913649
85,0.913441
86,0.913441
87,0.913233
88,0.913233
89,0.913025
90,0.912817
91,0.912609
92,0.912609
93,0.912609
94,0.912609
95,0.912401
96,0.912401
97,0.912401
98,0.912193
99,0.911985
100,0.911776
101,0.911776
102,0.911776
103,0.911776
104,0.911776
105,0.911568
106,0.911568
107,0.911568
108,0.91136
109,0.91136
110,0.91136
111,0.91136
112,0.911152
113,0.911152
114,0.911152
115,0.910944
116,0.910944
117,0.910736
118,0.910736
119,0.910736
120,0.910528
121,0.910528
122,0.910528
123,0.910528
124,0.91032
125,0.91032
126,0.91032
127,0.91032
128,0.910112
129,0.910112
130,0.910112
131,0.910112
132,0.910112
133,0.910112
134,0.909904
135,0.909696
136,0.909696
137,0.909488
138,0.909488
139,0.90928
140,0.90928
141,0.909071
142,0.909071
143,0.908863
144,0.908863
145,0.908863
146,0.908655
147,0.908655
148,0.908447
149,0.908239
150,0.908239
151,0.908239
152,0.908239
153,0.908031
154,0.908031
155,0.908031
156,0.907823
157,0.907823
158,0.907823
159,0.907823
160,0.907407
161,0.907199
162,0.907199
163,0.906991
164,0.906991
165,0.906783
166,0.906783
167,0.906783
168,0.906783
169,0.906575
170,0.906575
171,0.906575
172,0.906575
173,0.906367
174,0.906367
175,0.906367
176,0.906367
177,0.906158
178,0.906158
179,0.906158
180,0.90595
181,0.905742
182,0.905534
183,0.905534
184,0.905534
185,0.905534
186,0.905326
187,0.905326
188,0.905326
189,0.905326
190,0.905118
191,0.905118
192,0.90491
193,0.90491
194,0.90491
195,0.90491
196,0.904702
197,0.904702
198,0.904702
199,0.904702
200,0.904702
201,0.904702
202,0.904286
203,0.904078
204,0.904078
205,0.904078
206,0.904078
207,0.90387
208,0.90387
209,0.90387
210,0.903662
211,0.903662
212,0.903245
213,0.903245
214,0.902829
215,0.902829
216,0.902621
217,0.902621
218,0.902621
219,0.902413
220,0.902413
221,0.902413
222,0.902205
223,0.902205
224,0.902205
225,0.902205
226,0.902205
227,0.901997
228,0.901997
229,0.901997
230,0.901789
231,0.901581
232,0.901581
233,0.900957
234,0.90054
235,0.900332
236,0.900332
237,0.900332
238,0.900332
239,0.899916
240,0.899916
241,0.899916
242,0.899916
243,0.899708
244,0.8995
245,0.899084
246,0.898668
247,0.898668
248,0.89846
249,0.89846
250,0.89846
251,0.89846
252,0.89846
253,0.898044
254,0.898044
255,0.898044
256,0.897627
257,0.897419
258,0.897419
259,0.897419
260,0.897419
261,0.897211
262,0.897003
263,0.896795
264,0.896587
265,0.896379
266,0.896171
267,0.896171
268,0.895963
269,0.895755
270,0.895755
271,0.895339
272,0.895339
273,0.894923
274,0.894923
275,0.894714
276,0.894298
277,0.89409
278,0.89409
279,0.893674
280,0.893674
281,0.893466
282,0.892842
283,0.892634
284,0.892634
285,0.892426
286,0.892426
287,0.892426
288,0.892426
289,0.892426
290,0.892218
291,0.892009
292,0.891593
293,0.891385
294,0.891177
295,0.890761
296,0.890553
297,0.890553
298,0.890137
299,0.889929
300,0.889929
301,0.889305
302,0.889096
303,0.889096
304,0.888888
305,0.888472
306,0.888264
307,0.888056
308,0.888056
309,0.887848
310,0.887432
311,0.887432
312,0.887432
313,0.887432
314,0.887432
315,0.887224
316,0.887016
317,0.887016
318,0.886808
319,0.886808
320,0.8866
321,0.8866
322,0.8866
323,0.886183
324,0.885975
325,0.885975
326,0.885975
327,0.885767
328,0.885559
329,0.884935
330,0.884727
331,0.884727
332,0.884103
333,0.883687
334,0.882438
335,0.882438
336,0.882438
337,0.882438
338,0.882438
339,0.882438
340,0.882438
341,0.882438
342,0.882438
343,0.882438
344,0.882438
345,0.882438
346,0.882438
347,0.882438
348,0.881814
349,0.881606
350,0.88119
351,0.88119
352,0.880774
353,0.879941
354,0.879525
355,0.879525
356,0.879317
357,0.879109
358,0.878901
359,0.878901
360,0.878901
361,0.878693
362,0.878693
363,0.878693
364,0.878277
365,0.878069
366,0.877652
367,0.877236
368,0.87682
369,0.876612
370,0.876612
371,0.876404
372,0.876404
373,0.876196
374,0.87578
375,0.875572
376,0.875572
377,0.875364
378,0.875364
379,0.875364
380,0.875364
381,0.875156
382,0.875156
383,0.875156
384,0.874947
385,0.874947
386,0.874947
387,0.874947
388,0.874739
389,0.874739
390,0.874739
391,0.874739
392,0.874739
393,0.874739
394,0.874739
395,0.874739
396,0.874531
397,0.874531
398,0.874531
399,0.874531
400,0.874531
401,0.874531
402,0.874531
403,0.874531
404,0.874531
405,0.874531
406,0.874323
407,0.874115
408,0.874115
409,0.874115
410,0.874115
411,0.874115
412,0.874115
413,0.874115
414,0.874115
415,0.874115
416,0.874115
417,0.873907
418,0.873907
419,0.873907
420,0.873699
421,0.873699
422,0.873699
423,0.873699
424,0.873699
425,0.873699
426,0.873699
427,0.873699
428,0.873491
429,0.873491
430,0.873491
431,0.873491
432,0.873491
433,0.873491
434,0.873491
435,0.873491
436,0.873491
437,0.873491
438,0.873491
439,0.873491
440,0.873491
441,0.873491
442,0.873491
443,0.873491
444,0.873491
445,0.873491
446,0.873491
447,0.873491
448,0.873491
449,0.873491
450,0.873491
451,0.873491
452,0.873491
453,0.873491
454,0.873491
455,0.873491
456,0.873491
457,0.873491
458,0.873491
459,0.873491
460,0.873491
461,0.873491
462,0.873491
463,0.873491
464,0.873491
465,0.873491
466,0.873491
467,0.873491
468,0.873491
469,0.873491
470,0.873491
471,0.873491
472,0.873491
473,0.873491
474,0.873491
475,0.873491
476,0.873491
477,0.873491
478,0.873491
479,0.873491
480,0.873491
481,0.873491
482,0.873491
483,0.873491
484,0.873491
485,0.873491
486,0.873491
487,0.873491
488,0.873491
489,0.873491
490,0.873491
491,0.873491
492,0.873491
493,0.873491
494,0.873491
495,0.873491
496,0.873491
497,0.873491
498,0.873491
499,0.873491
500,0.873491
501,0.873491
502,0.873491
503,0.873491
504,0.873491
505,0.873491
506,0.873491
507,0.873491
508,0.873491
509,0.873491
510,0.873491
511,0.873491
512,0.873491
513,0.873491
514,0.873491
515,0.873491
516,0.873491
517,0.873491
518,0.873491
519,0.873491
520,0.873491
521,0.873491
522,0.873283
523,0.873283
524,0.873283
525,0.873283
526,0.873283
527,0.873283
528,0.873283
529,0.873075
530,0.873075
531,0.873075
532,0.872867
533,0.872867
534,0.872867
535,0.872867
536,0.872867
537,0.872867
538,0.872867
539,0.872867
540,0.872867
541,0.872867
542,0.872867
543,0.872867
544,0.872867
545,0.872867
546,0.872867
547,0.872867
548,0.872867
549,0.872867
550,0.872867
551,0.872867
552,0.872867
553,0.872867
554,0.872867
555,0.872867
556,0.872867
557,0.872867
558,0.872867
559,0.872867
560,0.872867
561,0.872867
562,0.872867
563,0.872867
564,0.872867
565,0.872867
566,0.872867
567,0.872867
568,0.872867
569,0.872867
570,0.872867
571,0.872867
572,0.872867
573,0.872867
574,0.872867
575,0.872867
576,0.872867
577,0.872867
578,0.872867
579,0.872867
580,0.872867
581,0.872867
582,0.872867
583,0.872867
584,0.872867
585,0.872867
586,0.872867
587,0.872867
588,0.872867
589,0.872867
590,0.872867
591,0.872867
592,0.872867
593,0.872867
594,0.872867
595,0.872867
596,0.872867
597,0.872867
598,0.872867
599,0.872867
600,0.872867
601,0.872867
602,0.872867
603,0.872867
604,0.872867
605,0.872867
606,0.872867
607,0.872867
608,0.872867
609,0.872867
610,0.872867
611,0.872867
612,0.872867
613,0.872867
614,0.872867
615,0.872867
616,0.872867
617,0.872867
618,0.872867
619,0.872867
620,0.872867
621,0.872867
622,0.872867
623,0.872867
624,0.872867
625,0.872867
626,0.872867
627,0.872867
628,0.872867
629,0.872867
630,0.872867
631,0.872867
632,0.872867
633,0.872867
634,0.872867
635,0.872867
636,0.872867
637,0.872867
638,0.872867
639,0.872867
640,0.872867
641,0.872867
642,0.872867
643,0.872867
644,0.872867
645,0.872867
646,0.872867
647,0.872867
648,0.872867
649,0.872867
650,0.872867
651,0.872867
652,0.872867
653,0.872867
654,0.872867
655,0.872867
656,0.872867
657,0.872867
658,0.872867
659,0.872867
660,0.872867
661,0.872867
662,0.872867
663,0.872867
664,0.872867
665,0.872867
666,0.872867
667,0.872867
668,0.872867
669,0.872867
670,0.872867
671,0.872867
672,0.872451
673,0.872451
674,0.872451
675,0.872243
676,0.872243
677,0.872034
678,0.872034
679,0.871826
680,0.871826
681,0.871826
682,0.871826
683,0.871202
684,0.871202
685,0.870994
686,0.87037
687,0.869746
688,0.869746
689,0.86933
690,0.868497
691,0.868497
692,0.868289
693,0.868289
694,0.868289
695,0.868289
696,0.868289
697,0.868289
698,0.868081
699,0.867873
700,0.867665
701,0.867665
702,0.867665
703,0.867665
704,0.867457
705,0.866833
706,0.866625
707,0.866208
708,0.865792
709,0.86496
710,0.864336
711,0.864336
712,0.864128
713,0.86392
714,0.863712
715,0.863295
716,0.863087
717,0.862879
718,0.862463
719,0.862463
720,0.862463
721,0.862463
722,0.862463
723,0.862463
724,0.862255
725,0.862047
726,0.862047
727,0.862047
728,0.862047
729,0.862047
730,0.862047
731,0.862047
732,0.862047
733,0.862047
734,0.862047
735,0.862047
736,0.862047
737,0.862047
738,0.862047
739,0.862047
740,0.862047
741,0.862047
