rank,score
1,0.56528
2,0.56977
3,0.57221
4,0.57413
5,0.57508
6,0.58712
7,0.58943
8,0.58949
9,0.59133
10,0.59741
11,0.59819
12,0.59836
13,0.59871
14,0.59872
15,0.59874
16,0.59876
17,0.59884
18,0.59895
19,0.59902
20,0.59902
21,0.59903
22,0.59913
23,0.59913
24,0.59914
25,0.59933
26,0.59942
27,0.59944
28,0.5995
29,0.59951
30,0.59956
31,0.59956
32,0.59957
33,0.59959
34,0.59967
35,0.59969
36,0.59972
37,0.59975
38,0.59985
39,0.59988
40,0.59989
41,0.60001
42,0.60002
43,0.60006
44,0.60011
45,0.60013
46,0.60019
47,0.60021
48,0.60023
49,0.60023
50,0.60037
51,0.60043
52,0.60051
53,0.60051
54,0.60051
55,0.60052
56,0.60056
57,0.60056
58,0.60061
59,0.60063
60,0.60063
61,0.60065
62,0.60066
63,0.6007
64,0.6007
65,0.60082
66,0.60083
67,0.60087
68,0.60089
69,0.60092
70,0.60093
71,0.60098
72,0.60098
73,0.60098
74,0.60099
75,0.601
76,0.60104
77,0.60104
78,0.60104
79,0.60105
80,0.60107
81,0.60108
82,0.60108
83,0.6011
84,0.60113
85,0.60113
86,0.60114
87,0.60115
88,0.60116
89,0.60119
90,0.60122
91,0.60123
92,0.60123
93,0.60124
94,0.60125
95,0.60125
96,0.60125
97,0.60125
98,0.60125
99,0.60128
100,0.60129
101,0.6013
102,0.60133
103,0.60133
104,0.60134
105,0.60136
106,0.60139
107,0.60141
108,0.60141
109,0.60141
110,0.60142
111,0.60143
112,0.60144
113,0.60145
114,0.60145
115,0.60145
116,0.60149
117,0.60149
118,0.60149
119,0.6015
120,0.60152
121,0.60154
122,0.60157
123,0.60157
124,0.60158
125,0.60158
126,0.60159
127,0.60159
128,0.60159
129,0.60161
130,0.60161
131,0.60162
132,0.60162
133,0.60162
134,0.60164
135,0.60164
136,0.60164
137,0.60165
138,0.60165
139,0.60165
140,0.60165
141,0.60165
142,0.60166
143,0.60166
144,0.60167
145,0.60167
146,0.60167
147,0.60168
148,0.60168
149,0.60169
150,0.60169
151,0.60169
152,0.60169
153,0.60169
154,0.60169
155,0.60169
156,0.60169
157,0.60169
158,0.60169
159,0.60169
160,0.60169
161,0.60169
162,0.60169
163,0.60169
164,0.60169
165,0.60169
166,0.60169
167,0.60169
168,0.60169
169,0.60169
170,0.60169
171,0.60169
172,0.60169
173,0.60169
174,0.60169
175,0.60169
176,0.60169
177,0.60169
178,0.60169
179,0.60169
180,0.60169
181,0.60169
182,0.60169
183,0.60169
184,0.60169
185,0.60169
186,0.60169
187,0.60169
188,0.60169
189,0.60169
190,0.60169
191,0.60169
192,0.60169
193,0.60169
194,0.60169
195,0.60169
196,0.60169
197,0.60169
198,0.60169
199,0.60169
200,0.60169
201,0.60169
202,0.60169
203,0.60169
204,0.60169
205,0.60169
206,0.6017
207,0.60174
208,0.60174
209,0.60176
210,0.60176
211,0.60177
212,0.60179
213,0.6018
214,0.6018
215,0.60181
216,0.60184
217,0.60187
218,0.60188
219,0.60188
220,0.60193
221,0.60194
222,0.60195
223,0.60196
224,0.60198
225,0.60199
226,0.60199
227,0.60201
228,0.60201
229,0.60201
230,0.60201
231,0.60201
232,0.60203
233,0.60207
234,0.60207
235,0.60208
236,0.6021
237,0.6021
238,0.6021
239,0.60216
240,0.60217
241,0.6022
242,0.60221
243,0.60223
244,0.60224
245,0.60227
246,0.60234
247,0.60239
248,0.60244
249,0.60245
250,0.60248
251,0.60253
252,0.60261
253,0.60262
254,0.60265
255,0.60265
256,0.60267
257,0.60271
258,0.60279
259,0.60279
260,0.60282
261,0.60291
262,0.60296
263,0.60298
264,0.603
265,0.603
266,0.60301
267,0.60306
268,0.60309
269,0.6031
270,0.60312
271,0.60318
272,0.60318
273,0.60327
274,0.60331
275,0.60331
276,0.60331
277,0.60337
278,0.60337
279,0.60337
280,0.60338
281,0.60344
282,0.60345
283,0.60348
284,0.60348
285,0.60348
286,0.60348
287,0.60348
288,0.60348
289,0.60348
290,0.60348
291,0.60348
292,0.60348
293,0.60348
294,0.60348
295,0.60348
296,0.60352
297,0.60355
298,0.60357
299,0.60357
300,0.60357
301,0.60366
302,0.60367
303,0.60368
304,0.60369
305,0.60372
306,0.60375
307,0.60379
308,0.60383
309,0.60383
310,0.60383
311,0.60384
312,0.60387
313,0.60392
314,0.60392
315,0.60394
316,0.60404
317,0.60409
318,0.60409
319,0.60411
320,0.60413
321,0.60413
322,0.60418
323,0.60421
324,0.60424
325,0.60426
326,0.60426
327,0.60443
328,0.6045
329,0.6045
330,0.60452
331,0.60456
332,0.60474
333,0.60475
334,0.60476
335,0.6048
336,0.6048
337,0.60485
338,0.60492
339,0.60497
340,0.60504
341,0.60506
342,0.60506
343,0.60507
344,0.60508
345,0.6051
346,0.60511
