rank,score
1,0.95
2,0.95
3,0.944
4,0.942
5,0.94
6,0.939
7,0.934
8,0.92
9,0.91
10,0.903
11,0.903
12,0.901
13,0.901
14,0.9
15,0.9
16,0.897
17,0.896
18,0.894
19,0.891
20,0.888
21,0.88
22,0.878
23,0.874
24,0.873
25,0.873
26,0.87
27,0.866
28,0.866
29,0.862
30,0.862
31,0.858
32,0.851
33,0.849
34,0.848
35,0.838
36,0.838
37,0.838
38,0.834
39,0.833
40,0.832
41,0.828
42,0.824
43,0.822
44,0.819
45,0.819
46,0.819
47,0.809
48,0.802
49,0.8
50,0.8
51,0.79
52,0.79
53,0.788
54,0.783
55,0.781
56,0.771
57,0.766
58,0.76
59,0.76
60,0.758
61,0.755
62,0.755
63,0.754
64,0.751
65,0.749
66,0.743
67,0.737
68,0.735
69,0.734
70,0.732
71,0.73
72,0.725
73,0.724
74,0.722
75,0.722
76,0.72
77,0.719
78,0.718
79,0.717
80,0.715
81,0.714
82,0.709
83,0.709
84,0.707
85,0.704
86,0.703
87,0.696
88,0.693
89,0.687
90,0.684
91,0.684
92,0.683
93,0.675
94,0.669
95,0.669
96,0.665
97,0.664
98,0.661
99,0.658
100,0.658
101,0.656
102,0.656
103,0.656
104,0.652
105,0.652
106,0.65
107,0.644
108,0.643
109,0.643
110,0.639
111,0.639
112,0.637
113,0.637
114,0.635
115,0.634
116,0.632
117,0.631
118,0.63
119,0.629
120,0.624
121,0.624
122,0.623
123,0.622
124,0.622
125,0.622
126,0.621
127,0.62
128,0.62
129,0.619
130,0.616
131,0.616
132,0.616
133,0.615
134,0.612
135,0.612
136,0.611
137,0.609
138,0.608
139,0.608
140,0.606
141,0.605
142,0.605
143,0.602
144,0.602
145,0.601
146,0.599
147,0.599
148,0.598
149,0.598
150,0.597
151,0.596
152,0.594
153,0.594
154,0.594
155,0.593
156,0.593
157,0.591
158,0.59
159,0.586
160,0.583
161,0.576
162,0.566
163,0.566
164,0.566
165,0.565
166,0.565
167,0.565
168,0.565
169,0.564
170,0.564
171,0.564
172,0.564
173,0.564
174,0.564
175,0.564
176,0.564
177,0.564
178,0.564
179,0.564
180,0.564
181,0.564
182,0.564
183,0.564
184,0.564
185,0.564
186,0.564
187,0.564
188,0.564
189,0.564
190,0.564
191,0.564
192,0.564
193,0.564
194,0.564
195,0.564
196,0.564
197,0.564
198,0.564
199,0.564
200,0.564
201,0.564
202,0.564
203,0.564
204,0.564
205,0.559
206,0.556
207,0.55
208,0.549
209,0.526
210,0.523
211,0.519
212,0.512
213,0.511
214,0.511
215,0.456
216,0.445
217,0.439
218,0.424
219,0.393
220,0.383
221,0.349
222,0.336
223,0.333
224,0.311
225,0.306
226,0.286
227,0.26
228,0.26
229,0.243
230,0.232
231,0.177
232,0.159
233,0.14
234,0.122
235,0.112
236,0.093
237,0.082
238,0.031
239,0.031
240,0.03
241,0.015
242,0.004
243,0.003
244,0.003
245,0.003
246,0.003
247,0.003
248,0.003
249,0.003
250,0.003
251,0.003
252,0.003
253,0.003
254,0.003
255,0.003
256,0.003
257,0.003
258,0.003
259,0.003
260,0.003
261,0.003
262,0.003
263,0.003
264,0.003
265,0.002
266,0.001
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
