rank,score
1,0.95
2,0.949
3,0.943
4,0.939
5,0.938
6,0.937
7,0.932
8,0.921
9,0.907
10,0.903
11,0.902
12,0.9
13,0.9
14,0.9
15,0.897
16,0.896
17,0.895
18,0.893
19,0.889
20,0.887
21,0.882
22,0.877
23,0.873
24,0.872
25,0.87
26,0.868
27,0.865
28,0.864
29,0.861
30,0.861
31,0.858
32,0.857
33,0.853
34,0.847
35,0.847
36,0.838
37,0.837
38,0.832
39,0.831
40,0.827
41,0.824
42,0.822
43,0.822
44,0.819
45,0.817
46,0.816
47,0.808
48,0.801
49,0.799
50,0.797
51,0.791
52,0.788
53,0.786
54,0.784
55,0.78
56,0.767
57,0.763
58,0.758
59,0.757
60,0.756
61,0.754
62,0.752
63,0.752
64,0.747
65,0.742
66,0.737
67,0.736
68,0.734
69,0.733
70,0.729
71,0.728
72,0.724
73,0.724
74,0.723
75,0.72
76,0.718
77,0.717
78,0.716
79,0.715
80,0.712
81,0.712
82,0.709
83,0.708
84,0.706
85,0.703
86,0.702
87,0.696
88,0.696
89,0.687
90,0.685
91,0.683
92,0.678
93,0.673
94,0.67
95,0.668
96,0.667
97,0.662
98,0.659
99,0.657
100,0.657
101,0.654
102,0.654
103,0.654
104,0.649
105,0.649
106,0.648
107,0.642
108,0.641
109,0.641
110,0.638
111,0.637
112,0.636
113,0.635
114,0.635
115,0.631
116,0.631
117,0.629
118,0.629
119,0.628
120,0.623
121,0.623
122,0.621
123,0.621
124,0.621
125,0.621
126,0.62
127,0.62
128,0.619
129,0.619
130,0.615
131,0.614
132,0.614
133,0.611
134,0.611
135,0.609
136,0.608
137,0.606
138,0.605
139,0.605
140,0.604
141,0.603
142,0.6
143,0.599
144,0.599
145,0.598
146,0.597
147,0.597
148,0.596
149,0.596
150,0.594
151,0.59
152,0.59
153,0.59
154,0.589
155,0.589
156,0.589
157,0.587
158,0.587
159,0.586
160,0.584
161,0.582
162,0.576
163,0.561
164,0.561
165,0.561
166,0.561
167,0.561
168,0.561
169,0.561
170,0.561
171,0.561
172,0.561
173,0.561
174,0.561
175,0.561
176,0.561
177,0.561
178,0.561
179,0.561
180,0.561
181,0.561
182,0.561
183,0.561
184,0.561
185,0.561
186,0.561
187,0.561
188,0.561
189,0.561
190,0.561
191,0.561
192,0.561
193,0.56
194,0.56
195,0.56
196,0.56
197,0.56
198,0.56
199,0.56
200,0.56
201,0.56
202,0.56
203,0.56
204,0.56
205,0.557
206,0.555
207,0.548
208,0.548
209,0.523
210,0.523
211,0.515
212,0.513
213,0.494
214,0.494
215,0.456
216,0.443
217,0.441
218,0.415
219,0.387
220,0.381
221,0.352
222,0.34
223,0.33
224,0.313
225,0.303
226,0.279
227,0.259
228,0.255
229,0.242
230,0.233
231,0.178
232,0.155
233,0.133
234,0.119
235,0.112
236,0.092
237,0.084
238,0.029
239,0.028
240,0.028
241,0.015
242,0.005
243,0.003
244,0.003
245,0.003
246,0.003
247,0.003
248,0.003
249,0.003
250,0.003
251,0.003
252,0.003
253,0.003
254,0.003
255,0.003
256,0.003
257,0.003
258,0.003
259,0.003
260,0.003
261,0.003
262,0.003
263,0.003
264,0.003
265,0.002
266,0.001
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
