rank,score
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0002
26,0.00053
27,0.0007
28,0.00073
29,0.00278
30,0.00303
31,0.00367
32,0.00381
33,0.00443
34,0.00446
35,0.00456
36,0.0046
37,0.00519
38,0.00527
39,0.00534
40,0.00544
41,0.00544
42,0.00544
43,0.00544
44,0.00546
45,0.00562
46,0.00566
47,0.00567
48,0.00567
49,0.00567
50,0.00567
51,0.00567
52,0.00567
53,0.00567
54,0.00567
55,0.00567
56,0.00581
57,0.00581
58,0.00603
59,0.00605
60,0.00605
61,0.00609
62,0.00619
63,0.00631
64,0.00635
65,0.00673
66,0.00679
67,0.00688
68,0.00697
69,0.00707
70,0.00708
71,0.00731
72,0.00752
73,0.00785
74,0.00786
75,0.00787
76,0.00787
77,0.00791
78,0.00791
79,0.00791
80,0.00801
81,0.0081
82,0.0082
83,0.00825
84,0.00843
85,0.00844
86,0.00848
87,0.00855
88,0.00875
89,0.00876
90,0.00896
91,0.009
92,0.009
93,0.009
94,0.009
95,0.009
96,0.009
97,0.009
98,0.009
99,0.009
100,0.009
101,0.009
102,0.009
103,0.00919
104,0.00936
105,0.00936
106,0.00936
107,0.00936
108,0.00936
109,0.00939
110,0.00945
111,0.00955
112,0.00961
113,0.00993
114,0.01047
115,0.0107
116,0.01072
117,0.01102
118,0.0113
119,0.01143
120,0.0115
121,0.01158
122,0.01159
123,0.01161
124,0.01174
125,0.01201
126,0.01204
127,0.01208
128,0.01211
129,0.01221
130,0.01227
131,0.0125
132,0.01268
133,0.0129
134,0.01308
135,0.01309
136,0.01323
137,0.01334
138,0.01339
139,0.01357
140,0.01365
141,0.01377
142,0.01401
143,0.01408
144,0.01411
145,0.01413
146,0.0143
147,0.01433
148,0.01444
149,0.01458
150,0.01464
151,0.01497
152,0.01505
153,0.01508
154,0.01519
155,0.01522
156,0.01523
157,0.01523
158,0.01526
159,0.01526
160,0.01526
161,0.0155
162,0.01552
163,0.01564
164,0.01573
165,0.01584
166,0.01602
167,0.01604
168,0.01616
169,0.01635
170,0.01638
171,0.01667
172,0.01672
173,0.01703
174,0.01703
175,0.01704
176,0.0171
177,0.01719
178,0.01741
179,0.0175
180,0.0175
181,0.01767
182,0.0178
183,0.01784
184,0.01793
185,0.01796
186,0.01796
187,0.01798
188,0.01798
189,0.01806
190,0.01806
191,0.01817
192,0.01819
193,0.01828
194,0.0183
195,0.01834
196,0.01841
197,0.01848
198,0.01874
199,0.01908
200,0.01925
201,0.01932
202,0.01935
203,0.01935
204,0.01935
205,0.01935
206,0.01938
207,0.01939
208,0.0194
209,0.01942
210,0.01942
211,0.01946
212,0.01946
213,0.01946
214,0.01946
215,0.01947
216,0.01958
217,0.01973
