rank,score
1,0.84128
2,0.84095
3,0.83992
4,0.83786
5,0.83743
6,0.8367
7,0.8367
8,0.83663
9,0.83637
10,0.83627
11,0.83593
12,0.83592
13,0.83591
14,0.83588
15,0.83583
16,0.83581
17,0.83578
18,0.83572
19,0.83569
20,0.83565
21,0.83564
22,0.83562
23,0.83555
24,0.83552
25,0.83551
26,0.83549
27,0.83548
28,0.83536
29,0.83532
30,0.83532
31,0.83531
32,0.8353
33,0.83525
34,0.83525
35,0.83525
36,0.83525
37,0.83525
38,0.83525
39,0.83525
40,0.83525
41,0.83525
42,0.83525
43,0.83525
44,0.83525
45,0.83525
46,0.83525
47,0.83525
48,0.83525
49,0.83525
50,0.83525
51,0.83525
52,0.83525
53,0.83525
54,0.83525
55,0.83525
56,0.83525
57,0.83525
58,0.83525
59,0.83524
60,0.83523
61,0.83523
62,0.83523
63,0.83523
64,0.83523
65,0.83523
66,0.83523
67,0.83523
68,0.83523
69,0.83523
70,0.83523
71,0.83523
72,0.83523
73,0.83523
74,0.83523
75,0.83523
76,0.83523
77,0.83523
78,0.83523
79,0.83523
80,0.83523
81,0.83523
82,0.83523
83,0.83523
84,0.83523
85,0.83523
86,0.83523
87,0.83523
88,0.83523
89,0.83523
90,0.83523
91,0.83523
92,0.83523
93,0.83523
94,0.83523
95,0.83523
96,0.83523
97,0.83523
98,0.83523
99,0.83523
100,0.83523
101,0.83523
102,0.83523
103,0.83523
104,0.83523
105,0.83523
106,0.83523
107,0.83523
108,0.83523
109,0.83523
110,0.83523
111,0.83523
112,0.83522
113,0.83519
114,0.83518
115,0.83518
116,0.83518
117,0.83518
118,0.83518
119,0.83518
120,0.83518
121,0.83518
122,0.83518
123,0.83518
124,0.83518
125,0.83518
126,0.83518
127,0.83518
128,0.83518
129,0.83518
130,0.83518
131,0.83518
132,0.83518
133,0.83518
134,0.83518
135,0.83518
136,0.83518
137,0.83518
138,0.83518
139,0.83518
140,0.83518
141,0.83518
142,0.83518
143,0.83518
144,0.83518
145,0.83518
146,0.83518
147,0.83518
148,0.83518
149,0.83518
150,0.83518
151,0.83518
152,0.83518
153,0.83518
154,0.83518
155,0.83518
156,0.83518
157,0.83518
158,0.83518
159,0.83518
160,0.83518
161,0.83518
162,0.83518
163,0.83518
164,0.83518
165,0.83518
166,0.83518
167,0.83518
168,0.83518
169,0.83518
170,0.83518
171,0.83518
172,0.83518
173,0.83518
174,0.83518
175,0.83518
176,0.83518
177,0.83518
178,0.83518
179,0.83518
180,0.83518
181,0.83518
182,0.83518
183,0.83518
184,0.83518
185,0.83518
186,0.83518
187,0.83518
188,0.83518
189,0.83518
190,0.83518
191,0.83518
192,0.83518
193,0.83518
194,0.83518
195,0.83518
196,0.83518
197,0.83518
198,0.83518
199,0.83517
200,0.83517
201,0.83515
202,0.83509
203,0.83508
204,0.83502
205,0.83496
206,0.83495
207,0.83494
208,0.83491
209,0.83488
210,0.83487
211,0.83487
212,0.83487
213,0.83487
214,0.83487
215,0.83487
216,0.83487
217,0.83487
218,0.83487
219,0.83487
220,0.83487
221,0.83487
222,0.83487
223,0.83487
224,0.83487
225,0.83487
226,0.83487
227,0.83487
228,0.83487
229,0.83487
230,0.83487
231,0.83487
232,0.83487
233,0.83487
234,0.83487
235,0.83487
236,0.83487
237,0.83487
238,0.83487
239,0.83487
240,0.83487
241,0.83487
242,0.83487
243,0.83487
244,0.83487
245,0.83487
246,0.83487
247,0.83487
248,0.83487
249,0.83487
250,0.83487
251,0.83487
252,0.83487
253,0.83487
254,0.83487
255,0.83487
256,0.83487
257,0.83487
258,0.83487
259,0.83487
260,0.83487
261,0.83487
262,0.83487
263,0.83487
264,0.83485
265,0.83484
266,0.83483
267,0.83478
268,0.83472
269,0.83471
