rank,score
1,0.83322
2,0.83183
3,0.82829
4,0.82824
5,0.8273
6,0.82719
7,0.82683
8,0.82638
9,0.82616
10,0.82572
11,0.82564
12,0.82554
13,0.82552
14,0.82544
15,0.82543
16,0.82541
17,0.82528
18,0.82501
19,0.825
20,0.82491
21,0.82489
22,0.82488
23,0.82484
24,0.82484
25,0.82484
26,0.82475
27,0.82473
28,0.82469
29,0.82469
30,0.82468
31,0.82467
32,0.82466
33,0.82465
34,0.82462
35,0.82462
36,0.82462
37,0.82462
38,0.82462
39,0.82462
40,0.82462
41,0.82462
42,0.82462
43,0.82461
44,0.82461
45,0.82458
46,0.82458
47,0.82453
48,0.82453
49,0.82453
50,0.82451
51,0.82447
52,0.82444
53,0.82444
54,0.82444
55,0.82444
56,0.82444
57,0.82444
58,0.82444
59,0.82444
60,0.82444
61,0.82444
62,0.82443
63,0.8244
64,0.8244
65,0.8244
66,0.82435
67,0.82433
68,0.82433
69,0.82433
70,0.82433
71,0.82433
72,0.82433
73,0.82433
74,0.82433
75,0.82433
76,0.82433
77,0.82433
78,0.82433
79,0.82433
80,0.82433
81,0.82433
82,0.82433
83,0.82433
84,0.82433
85,0.82433
86,0.82433
87,0.82433
88,0.82433
89,0.82433
90,0.82433
91,0.82433
92,0.82433
93,0.82433
94,0.82433
95,0.82433
96,0.82433
97,0.82433
98,0.82433
99,0.82433
100,0.82433
101,0.82433
102,0.82433
103,0.82433
104,0.82433
105,0.82433
106,0.82433
107,0.82433
108,0.82433
109,0.82433
110,0.82433
111,0.82433
112,0.82433
113,0.82433
114,0.82433
115,0.82433
116,0.82433
117,0.82433
118,0.82433
119,0.82433
120,0.82433
121,0.82433
122,0.82433
123,0.82433
124,0.82433
125,0.82433
126,0.82433
127,0.82433
128,0.82433
129,0.82433
130,0.82433
131,0.82433
132,0.82433
133,0.82433
134,0.82433
135,0.82433
136,0.82433
137,0.82433
138,0.82433
139,0.82433
140,0.82433
141,0.82433
142,0.82433
143,0.82433
144,0.82433
145,0.82433
146,0.82433
147,0.82433
