rank,score
1,0.559289
2,0.559423
3,0.559581
4,0.560951
5,0.561368
6,0.561661
7,0.562084
8,0.563239
9,0.563578
10,0.563866
11,0.563989
12,0.564197
13,0.564645
14,0.56466
15,0.564951
16,0.565026
17,0.565091
18,0.565101
19,0.565111
20,0.565186
21,0.565266
22,0.565357
23,0.565415
24,0.565507
25,0.565513
26,0.565561
27,0.565598
28,0.565882
29,0.565971
30,0.566082
31,0.56626
32,0.566376
33,0.566422
34,0.566546
35,0.566641
36,0.566772
37,0.566854
38,0.56694
39,0.566973
40,0.566998
41,0.567006
42,0.567099
43,0.567271
44,0.567313
45,0.56742
46,0.567446
47,0.567459
48,0.567523
49,0.567525
50,0.567551
51,0.567617
52,0.56762
53,0.567624
54,0.567629
55,0.567658
56,0.567701
57,0.567718
58,0.567745
59,0.567752
60,0.567797
61,0.567818
62,0.567863
63,0.56792
64,0.567966
65,0.567995
66,0.568015
67,0.568021
68,0.568028
69,0.568037
70,0.568052
71,0.568116
72,0.568151
73,0.568175
74,0.568179
75,0.568187
76,0.56819
77,0.568192
78,0.568196
79,0.568224
80,0.568233
81,0.568248
82,0.568255
83,0.568263
84,0.56827
85,0.568277
86,0.568277
87,0.568279
88,0.568292
89,0.568351
90,0.568395
91,0.568443
92,0.568463
93,0.56847
94,0.568492
95,0.568502
96,0.568515
97,0.568518
98,0.56853
99,0.568543
100,0.568552
101,0.568569
102,0.568579
103,0.56859
104,0.568599
105,0.56861
106,0.56862
107,0.568624
108,0.568624
109,0.568624
110,0.568624
111,0.568624
112,0.568624
113,0.568624
114,0.568624
115,0.568624
116,0.568624
117,0.568624
118,0.568624
119,0.568624
120,0.568624
121,0.568637
122,0.568654
123,0.568656
124,0.568658
125,0.568658
126,0.568667
127,0.568667
128,0.568671
129,0.568686
130,0.568716
131,0.568721
132,0.568745
133,0.568749
134,0.568753
135,0.568753
136,0.568763
137,0.568766
138,0.568767
139,0.568768
140,0.568769
141,0.56877
142,0.568778
143,0.568791
144,0.568796
145,0.568802
146,0.568808
147,0.568812
148,0.568816
149,0.568828
150,0.56883
151,0.568831
152,0.568841
153,0.568843
154,0.568845
155,0.568852
156,0.568854
157,0.568854
158,0.568855
159,0.568856
160,0.568859
161,0.56886
162,0.56886
163,0.56886
164,0.56886
165,0.56886
166,0.56886
167,0.56886
168,0.56886
169,0.56886
170,0.56886
171,0.56886
172,0.56886
173,0.56886
174,0.56886
175,0.56886
176,0.56886
177,0.56886
178,0.56886
179,0.56886
180,0.56886
181,0.56886
182,0.56886
183,0.56886
184,0.56886
185,0.56886
186,0.56886
187,0.56886
188,0.56886
189,0.56886
190,0.56886
191,0.56886
192,0.56886
193,0.56886
194,0.56886
195,0.56886
196,0.56886
197,0.56886
198,0.56886
199,0.56886
200,0.56886
201,0.56886
202,0.56886
203,0.56886
204,0.56886
205,0.56886
206,0.56886
207,0.56886
208,0.56886
209,0.56886
210,0.56886
211,0.56886
212,0.56886
213,0.56886
214,0.56886
215,0.56886
216,0.56886
217,0.56886
218,0.56886
219,0.56886
220,0.56886
221,0.56886
222,0.56886
223,0.56886
224,0.56886
225,0.56886
226,0.56886
227,0.56886
228,0.56886
229,0.56886
230,0.56886
231,0.56886
232,0.56886
233,0.56886
234,0.56886
235,0.56886
236,0.56886
237,0.56886
238,0.56886
239,0.56886
240,0.56886
241,0.56886
242,0.56886
243,0.56886
244,0.56886
245,0.56886
246,0.56886
247,0.56886
248,0.56886
249,0.56886
250,0.56886
251,0.56886
252,0.56886
253,0.56886
254,0.56886
255,0.56886
256,0.56886
257,0.56886
258,0.56886
259,0.56886
260,0.56886
261,0.56886
262,0.56886
263,0.56886
264,0.56886
265,0.56886
266,0.56886
267,0.56886
268,0.56886
269,0.56886
270,0.56886
271,0.56886
272,0.56886
273,0.56886
274,0.56886
275,0.56886
276,0.56886
277,0.56886
278,0.56886
279,0.56886
280,0.56886
281,0.56886
282,0.56886
283,0.56886
284,0.56886
285,0.56886
286,0.56886
287,0.56886
288,0.56886
289,0.56886
290,0.56886
291,0.56886
292,0.56886
293,0.56886
294,0.56886
295,0.56886
296,0.56886
297,0.56886
298,0.56886
299,0.56886
300,0.56886
301,0.56886
302,0.56886
303,0.56886
304,0.56886
305,0.56886
306,0.56886
307,0.56886
308,0.56886
309,0.56886
310,0.56886
311,0.56886
312,0.56886
313,0.56886
314,0.56886
315,0.56886
316,0.56886
317,0.56886
318,0.56886
319,0.56886
320,0.56886
321,0.56886
322,0.56886
323,0.56886
324,0.56886
325,0.56886
326,0.56886
327,0.56886
328,0.56886
329,0.56886
330,0.56886
331,0.56886
332,0.56886
333,0.56886
334,0.56886
335,0.56886
336,0.56886
337,0.56886
338,0.56886
339,0.56886
340,0.56886
341,0.56886
342,0.56886
343,0.56886
344,0.56886
345,0.56886
346,0.56886
347,0.56886
348,0.56886
349,0.56886
350,0.56886
351,0.56886
352,0.56886
353,0.56886
354,0.56886
355,0.56886
356,0.56886
357,0.56886
358,0.56886
359,0.56886
360,0.56886
361,0.56886
362,0.56886
363,0.56886
364,0.56886
365,0.56886
366,0.56886
367,0.56886
368,0.56886
369,0.56886
370,0.56886
371,0.56886
372,0.56886
373,0.56886
374,0.56886
375,0.56886
376,0.56886
377,0.56886
378,0.56886
379,0.56886
380,0.56886
381,0.56886
382,0.56886
383,0.56886
384,0.56886
385,0.56886
386,0.56886
387,0.56886
388,0.56886
389,0.56886
390,0.56886
391,0.56886
392,0.568863
393,0.568865
394,0.568866
395,0.568876
396,0.568885
397,0.568886
398,0.568887
399,0.568891
400,0.568898
401,0.568898
402,0.568898
403,0.568898
404,0.568903
405,0.568904
406,0.56891
407,0.568914
408,0.568923
409,0.568933
410,0.568941
411,0.568943
412,0.568943
413,0.568955
414,0.568963
415,0.568965
416,0.568971
417,0.568974
418,0.568984
419,0.569003
420,0.569015
421,0.569016
422,0.569016
423,0.569016
424,0.569017
425,0.569021
426,0.569027
427,0.569041
428,0.569041
429,0.569041
430,0.569048
431,0.56905
432,0.569056
433,0.569059
434,0.569061
435,0.569069
436,0.569096
437,0.569104
438,0.569108
439,0.569121
440,0.569124
441,0.569127
442,0.569137
443,0.569178
444,0.569185
445,0.569185
446,0.569199
447,0.569208
448,0.569208
449,0.569235
450,0.569244
451,0.569266
452,0.569268
453,0.569269
454,0.569275
455,0.569278
456,0.569297
457,0.569303
458,0.569313
459,0.56932
460,0.569329
461,0.569332
462,0.56935
463,0.569359
464,0.56936
465,0.569365
466,0.569372
467,0.569373
468,0.569374
469,0.569391
470,0.569401
471,0.56942
472,0.569435
473,0.569441
474,0.569454
475,0.569458
476,0.569461
477,0.569463
478,0.569464
